"decode","uuid:ID","codeSystem","id","codeSystemVersion","code","instanceType"
"Body Position","25b7fa9d-3441-44be-b4b3-331b00b996cb","NCI Thesaurus","Code_243","","C62164","Code"
"Heart Rate","1f8d2fb3-79cc-4633-b7a7-33adb79dd275","NCI Thesaurus","Code_236","","C49677","Code"
"Clinical Test Result","43f7d6a0-d918-493c-a674-368217ddda4d","NCI Thesaurus","Code_245","","C77140","Code"
"Pascal","89d409fd-37aa-4c76-9b4b-c537ca3e6168","http://www.cdisc.org","Code_246","2023-09-29","C42547","Code"
"Unit of Pressure","e80a33be-8e01-4f82-b10e-3c08773fc22f","NCI Thesaurus","Code_247","","C49669","Code"
"Anatomic Site","5d2c86b4-d8b8-407b-af5e-8766e59f17ff","NCI Thesaurus","Code_248","","C13717","Code"
"Laterality","02928ea0-10e6-47e9-ae65-cc2533e07549","NCI Thesaurus","Code_249","","C25185","Code"
"Test Method","6fc3a461-4117-42da-be34-0988443eec60","NCI Thesaurus","Code_250","","C82535","Code"
"Body Position","735584c1-0b65-4530-9153-0b1aa4efb69a","NCI Thesaurus","Code_251","","C62164","Code"
"Systolic Blood Pressure","5c9bbf33-2eed-4b6f-88ad-c57e851f78bc","NCI Thesaurus","Code_244","","C25298","Code"
"Clinical Test Result","d30150dd-4e98-4d6f-bce2-de33c8dd4e78","NCI Thesaurus","Code_253","","C77140","Code"
"Pascal","fcda2cd2-0e9a-431f-82fe-fc3f4dfde5e2","http://www.cdisc.org","Code_254","2023-09-29","C42547","Code"
"Unit of Pressure","a35f9eab-fe1f-4309-b1a0-1715aa682398","NCI Thesaurus","Code_255","","C49669","Code"
"Anatomic Site","9d86dffb-891b-42b0-bad8-83d0a5901277","NCI Thesaurus","Code_256","","C13717","Code"
"Laterality","80eb658a-76dc-48e0-9f0e-8e0d4eaa092a","NCI Thesaurus","Code_257","","C25185","Code"
"Test Method","33a5b4da-e603-4c15-90b3-26e1d6ce0b8b","NCI Thesaurus","Code_258","","C82535","Code"
"Body Position","4373b3f5-1cee-4f06-aa2a-06a59b276c77","NCI Thesaurus","Code_259","","C62164","Code"
"Diastolic Blood Pressure","756611a6-0e5b-404c-bef6-f3841052a754","NCI Thesaurus","Code_252","","C25299","Code"
"Clinical Test Result","a2118e2b-4bdc-4e06-b19b-5f4c76edcc0c","NCI Thesaurus","Code_261","","C77140","Code"
"Beats per Minute","28f2778d-5420-472d-b847-30be6b5c8875","http://www.cdisc.org","Code_262","2023-09-29","C49673","Code"
"Count per Minute","9878737e-9b8d-4156-946f-0a029864ee41","NCI Thesaurus","Code_263","","C73688","Code"
"Anatomic Site","530a8b5b-5520-41ec-81b7-48f54fc3a089","NCI Thesaurus","Code_264","","C13717","Code"
"Laterality","6f4f7e9e-eb0b-4d7e-9a0c-5feb80893331","NCI Thesaurus","Code_265","","C25185","Code"
"Test Method","9fc6751d-e3b9-4160-a926-6e751cbd774b","NCI Thesaurus","Code_266","","C82535","Code"
"Body Position","330f2abc-304e-4d0c-9397-4beaee1cfaea","NCI Thesaurus","Code_267","","C62164","Code"
"Heart Rate","7914e633-df8b-45bc-bf22-767ac3c43f92","NCI Thesaurus","Code_260","","C49677","Code"
"Placebo Comparator Arm","7015a940-186f-466d-89ac-dbdfd4a985c0","http://www.cdisc.org","Code_123","2023-09-29","C174268","Code"
"Data Generated Within Study","c610f4e4-3af2-4a55-a5be-506d2303762b","http://www.cdisc.org","Code_124","2023-09-29","C188866","Code"
"Active Comparator Arm","d578fee4-ed25-40e7-b2d4-c058d4d499cd","http://www.cdisc.org","Code_125","2023-09-29","C174267","Code"
"Data Generated Within Study","f4a1d777-012e-4cfb-8c05-264a09c4bd80","http://www.cdisc.org","Code_126","2023-09-29","C188866","Code"
"Active Comparator Arm","137454c9-5237-4828-b438-9f4757fa4a57","http://www.cdisc.org","Code_127","2023-09-29","C174267","Code"
"Data Generated Within Study","ddad9dda-64e1-42b4-a8c9-1bb0dd754b81","http://www.cdisc.org","Code_128","2023-09-29","C188866","Code"
"Double Blind Study","b3ac0457-2f23-4704-8ec2-200d6076ba80","http://www.cdisc.org","Code_136","2023-09-29","C15228","Code"
"Trial Screening","031d6780-7c5b-452b-8d51-3d169f3ef14c","http://www.cdisc.org","Code_129","2023-09-29","C48262","Code"
"Treatment Epoch","18ba1d45-1179-4ccb-bcf9-2152acae0ca6","http://www.cdisc.org","Code_130","2023-09-29","C101526","Code"
"Treatment Epoch","3e2e2089-7f84-4dfe-b10a-dbbd3f7020d6","http://www.cdisc.org","Code_131","2023-09-29","C101526","Code"
"Treatment Epoch","c2733e14-57ba-4687-ae3d-5277e7b7f5c2","http://www.cdisc.org","Code_132","2023-09-29","C101526","Code"
"Clinical Study Follow-up","f557f799-a446-4f04-b8e0-16b43102ce0a","http://www.cdisc.org","Code_133","2023-09-29","C99158","Code"
"Alzheimer's disease; unspecified","7b019ca2-d517-4e0f-abfb-b4b182157d73","ICD-10-CM","Code_327","1","G30.9","Code"
"Alzheimer's disease","8bf3420d-84f3-4b42-ac57-06f449ca8fd1","SNOMED","Code_328","January 31, 2018","26929004","Code"
"Sponsor","e40dc7e3-41ac-4227-a84c-596033b9ea63","http://www.cdisc.org","Code_142","2023-09-29","C70793","Code"
"Trial Primary Objective","77513d62-4c04-4c01-86e6-f16f1decedae","http://www.cdisc.org","Code_332","2023-09-29","C85826","Code"
"Primary Endpoint","6deb9e9f-e1cf-48d9-a555-1af3f49a3bd4","http://www.cdisc.org","Code_331","2023-09-29","C94496","Code"
"Primary Endpoint","a02ab31f-e41a-4657-bd97-9b2cc9fc5859","http://www.cdisc.org","Code_333","2023-09-29","C94496","Code"
"Trial Primary Objective","b08b8ed7-60fc-475b-8b59-bb6be4078b17","http://www.cdisc.org","Code_335","2023-09-29","C85826","Code"
"Primary Endpoint","4794e85b-66d9-45c9-b862-14c8dc357210","http://www.cdisc.org","Code_334","2023-09-29","C94496","Code"
"Primary Endpoint","5f362f50-9e99-4b41-baa7-530971d7cb11","http://www.cdisc.org","Code_336","2023-09-29","C94496","Code"
"Primary Endpoint","d8cd1e0c-f692-4ed3-a57a-d48ce61b1ee1","http://www.cdisc.org","Code_337","2023-09-29","C94496","Code"
"Trial Secondary Objective","451c04e7-b7a5-4847-97e0-4fcae3f90554","http://www.cdisc.org","Code_339","2023-09-29","C85827","Code"
"Secondary Endpoint","40d043f5-cff7-4602-a706-66517fce973f","http://www.cdisc.org","Code_338","2023-09-29","C139173","Code"
"Secondary Endpoint","83f20607-2daa-4029-90ce-6af2e3f69b50","http://www.cdisc.org","Code_340","2023-09-29","C139173","Code"
"Secondary Endpoint","f7805d07-a05c-4fa5-a5d0-d5b8827873a5","http://www.cdisc.org","Code_341","2023-09-29","C139173","Code"
"Trial Secondary Objective","b1d47a17-24a1-4929-9b89-35bc1fddd45a","http://www.cdisc.org","Code_343","2023-09-29","C85827","Code"
"Secondary Endpoint","cd083c1b-7585-4eb1-af04-df7e0ccb7908","http://www.cdisc.org","Code_342","2023-09-29","C139173","Code"
"Trial Secondary Objective","9f4440c5-21fc-40fe-bbae-594455fe9857","http://www.cdisc.org","Code_345","2023-09-29","C85827","Code"
"Secondary Endpoint","19a7bd6f-7f7e-4e80-8cf8-74509ef1f636","http://www.cdisc.org","Code_344","2023-09-29","C139173","Code"
"Trial Secondary Objective","b83d4a11-61c4-48da-9f1e-f20a6f3f5b41","http://www.cdisc.org","Code_347","2023-09-29","C85827","Code"
"Secondary Endpoint","ab9f5e0c-f5a3-4f8c-84b0-72406cfde4de","http://www.cdisc.org","Code_346","2023-09-29","C139173","Code"
"Inclusion Criteria","218eccc4-b3a1-44ec-a5f0-bf9733140f9a","http://www.cdisc.org","Code_348","2023-09-29","C25532","Code"
"Inclusion Criteria","ba1adcc9-1115-4359-9b44-775be5c4f545","http://www.cdisc.org","Code_349","2023-09-29","C25532","Code"
"Inclusion Criteria","4d348a8f-aec7-4e6e-a54c-10288844a6f2","http://www.cdisc.org","Code_350","2023-09-29","C25532","Code"
"Inclusion Criteria","e5eb04c4-f892-435d-a9fb-d406e9d0fdff","http://www.cdisc.org","Code_351","2023-09-29","C25532","Code"
"Inclusion Criteria","0301acc0-8b1c-4c34-82f1-1f03861023f6","http://www.cdisc.org","Code_352","2023-09-29","C25532","Code"
"Inclusion Criteria","a8d4cec1-ed36-4635-98bb-0e2fbfe0b5ec","http://www.cdisc.org","Code_353","2023-09-29","C25532","Code"
"Inclusion Criteria","527e3ef3-9dec-40ae-932c-ec79709a7b8d","http://www.cdisc.org","Code_354","2023-09-29","C25532","Code"
"Inclusion Criteria","b0783432-8b17-4e71-98af-8f3ed72d3b09","http://www.cdisc.org","Code_355","2023-09-29","C25532","Code"
"Exclusion Criteria","e6f4cb08-c506-4348-a6a1-c93a81005c3b","http://www.cdisc.org","Code_356","2023-09-29","C25370","Code"
"Exclusion Criteria","2186831b-8909-4f58-ba86-840576a214e8","http://www.cdisc.org","Code_357","2023-09-29","C25370","Code"
"Exclusion Criteria","d82f33ef-da25-41b5-993d-a73e6a12dc7a","http://www.cdisc.org","Code_358","2023-09-29","C25370","Code"
"Exclusion Criteria","ac82eb57-dddd-44bc-b535-faa1e2feb637","http://www.cdisc.org","Code_359","2023-09-29","C25370","Code"
"Exclusion Criteria","9bb53fdb-335f-49f6-a2b2-4dd4db1e9c65","http://www.cdisc.org","Code_360","2023-09-29","C25370","Code"
"Exclusion Criteria","90b8436f-0e94-4b07-87db-9d494920e91c","http://www.cdisc.org","Code_361","2023-09-29","C25370","Code"
"Exclusion Criteria","0a8ee80d-4d83-4cf5-b7e6-66de16cd9b6d","http://www.cdisc.org","Code_362","2023-09-29","C25370","Code"
"Exclusion Criteria","9daf26de-072d-46da-aa7c-965a3ecf3c3b","http://www.cdisc.org","Code_363","2023-09-29","C25370","Code"
"Exclusion Criteria","1c8aaa78-7bc4-4a9c-802c-e4e31a2d4385","http://www.cdisc.org","Code_364","2023-09-29","C25370","Code"
"Exclusion Criteria","b53fa167-a1c8-4b19-a4e7-bee749beddf3","http://www.cdisc.org","Code_365","2023-09-29","C25370","Code"
"Exclusion Criteria","b5a7b42e-73a5-427d-9236-f998dbd5a308","http://www.cdisc.org","Code_366","2023-09-29","C25370","Code"
"Exclusion Criteria","58474339-60e8-456e-97fc-f55feb12909f","http://www.cdisc.org","Code_367","2023-09-29","C25370","Code"
"Exclusion Criteria","3dae14f4-c5d4-4b10-bb36-b24ffaa54db9","http://www.cdisc.org","Code_368","2023-09-29","C25370","Code"
"Exclusion Criteria","891c5fd8-0aea-4bbe-b86d-dc2bcca59dae","http://www.cdisc.org","Code_369","2023-09-29","C25370","Code"
"Exclusion Criteria","c53460f3-c4ba-4ee7-ba25-f8489e2074ff","http://www.cdisc.org","Code_370","2023-09-29","C25370","Code"
"Exclusion Criteria","2a92f57f-05e8-4f2e-be2a-679becf56270","http://www.cdisc.org","Code_371","2023-09-29","C25370","Code"
"Exclusion Criteria","b232eff8-5cc9-42e9-a0b5-38653839ed4c","http://www.cdisc.org","Code_372","2023-09-29","C25370","Code"
"Exclusion Criteria","b8ddeb79-9e25-438d-9f3e-b45644003ca5","http://www.cdisc.org","Code_373","2023-09-29","C25370","Code"
"Exclusion Criteria","d424d7f6-7505-4931-977a-db55016f672e","http://www.cdisc.org","Code_374","2023-09-29","C25370","Code"
"Exclusion Criteria","9a76c047-97f5-4389-8fa9-6a1f98b587d1","http://www.cdisc.org","Code_375","2023-09-29","C25370","Code"
"Exclusion Criteria","fb37dec3-04d3-4949-8afd-ae34e6a3e554","http://www.cdisc.org","Code_376","2023-09-29","C25370","Code"
"Exclusion Criteria","16fc0e6f-8185-4d7d-afcc-fd06d4d7c9bf","http://www.cdisc.org","Code_377","2023-09-29","C25370","Code"
"Exclusion Criteria","050ff79e-05ef-4b72-9113-5feb9b9e0c6e","http://www.cdisc.org","Code_378","2023-09-29","C25370","Code"
"Year","42a549e1-79de-4644-881d-528cd416dd25","http://www.cdisc.org","Code_329","2023-09-29","C29848","Code"
"Before","b944ccf0-b983-4731-8182-a9702837ed77","http://www.cdisc.org","Code_14","2023-09-29","C201357","Code"
"Start to Start","50144ed2-5500-4563-a08b-ac377a50dc4d","http://www.cdisc.org","Code_15","2023-09-29","C201355","Code"
"Before","cad676e2-5e9e-44ce-a2a1-e479b83dedea","http://www.cdisc.org","Code_16","2023-09-29","C201357","Code"
"Start to Start","9921f565-b336-45e2-aa44-d934fe61b9a6","http://www.cdisc.org","Code_17","2023-09-29","C201355","Code"
"Fixed Reference","5ab3baf0-595e-4fef-a0a2-78bdf69f6142","http://www.cdisc.org","Code_19","2023-09-29","C201358","Code"
"Start to Start","2e3cac11-0ee4-4fd9-a5e3-7583ece436fc","http://www.cdisc.org","Code_20","2023-09-29","C201355","Code"
"After","e093d809-a45b-4a5d-9430-e059bf551621","http://www.cdisc.org","Code_21","2023-09-29","C201356","Code"
"Start to Start","c4dc0b16-5ff8-47c6-842b-3ce4c2fe7f06","http://www.cdisc.org","Code_22","2023-09-29","C201355","Code"
"After","58d68e3f-ed6d-478a-b6ba-cb0c5872b417","http://www.cdisc.org","Code_24","2023-09-29","C201356","Code"
"Start to Start","d97d275f-2184-4ca2-b52d-5721cdf9b0f7","http://www.cdisc.org","Code_25","2023-09-29","C201355","Code"
"After","2d79108d-4ac2-4015-ab7a-2c7682c07e31","http://www.cdisc.org","Code_27","2023-09-29","C201356","Code"
"Start to Start","dde01f93-65c5-4c7b-af5b-b968fc1c5066","http://www.cdisc.org","Code_28","2023-09-29","C201355","Code"
"After","8480eed5-8d8f-4fe2-82c7-a4eb29ff05fe","http://www.cdisc.org","Code_30","2023-09-29","C201356","Code"
"Start to Start","7dfbfbbd-c596-4404-bb93-d83cb25aa356","http://www.cdisc.org","Code_31","2023-09-29","C201355","Code"
"After","cfaed2ad-0502-4fed-9743-6367a6b16c06","http://www.cdisc.org","Code_35","2023-09-29","C201356","Code"
"Start to Start","ca47ccbd-7452-4a6c-9b59-4275bd03b4d9","http://www.cdisc.org","Code_36","2023-09-29","C201355","Code"
"After","3c10814f-a716-4cef-95a9-2b3d66e8afad","http://www.cdisc.org","Code_40","2023-09-29","C201356","Code"
"Start to Start","49ac0f02-f651-44a6-abe2-b478eae7b00f","http://www.cdisc.org","Code_41","2023-09-29","C201355","Code"
"After","346dbcd5-51a7-404c-9b35-d775e62dd413","http://www.cdisc.org","Code_45","2023-09-29","C201356","Code"
"Start to Start","c3aa94b0-dcc4-4fb8-9260-1a9cda68026e","http://www.cdisc.org","Code_46","2023-09-29","C201355","Code"
"After","6cdcdc3e-a844-4b09-9d93-72651ec30d2a","http://www.cdisc.org","Code_50","2023-09-29","C201356","Code"
"Start to Start","2ed5d8cb-ea2d-4514-971c-95df226d0f9b","http://www.cdisc.org","Code_51","2023-09-29","C201355","Code"
"After","e18de671-fa92-4f3a-a4d2-d3f634561be2","http://www.cdisc.org","Code_53","2023-09-29","C201356","Code"
"Start to Start","ad250632-5dd3-496d-b12d-c65575c7a184","http://www.cdisc.org","Code_54","2023-09-29","C201355","Code"
"After","117c6726-acf2-41d3-97c7-778533984d38","http://www.cdisc.org","Code_33","2023-09-29","C201356","Code"
"Start to Start","9603994a-9f7f-4d43-8663-bf96cc409e18","http://www.cdisc.org","Code_34","2023-09-29","C201355","Code"
"After","6597a0c3-10df-4cac-a71f-d2160ff54698","http://www.cdisc.org","Code_38","2023-09-29","C201356","Code"
"Start to Start","08e78cbc-457b-4657-8a41-448d8fa1c591","http://www.cdisc.org","Code_39","2023-09-29","C201355","Code"
"After","0d45d692-070e-4be7-bc72-bd966eb5ff51","http://www.cdisc.org","Code_43","2023-09-29","C201356","Code"
"Start to Start","dea8d240-da29-4361-aec3-4a49b9f34d5d","http://www.cdisc.org","Code_44","2023-09-29","C201355","Code"
"After","745f1e0c-e080-400e-b76c-75a718e1980e","http://www.cdisc.org","Code_48","2023-09-29","C201356","Code"
"Start to Start","e66032c1-ffe7-41a1-9a37-0d6dbcd8f626","http://www.cdisc.org","Code_49","2023-09-29","C201355","Code"
"Fixed Reference","b6017752-e846-4bd5-a8bd-a6b2be387071","http://www.cdisc.org","Code_56","2023-09-29","C201358","Code"
"Start to Start","f4ec1914-92df-4614-8dd0-15c60229927b","http://www.cdisc.org","Code_57","2023-09-29","C201355","Code"
"Fixed Reference","9cf5f28e-7b77-44b2-b577-d8d157773d5d","http://www.cdisc.org","Code_58","2023-09-29","C201358","Code"
"Start to Start","cf8e00b3-2dff-48ed-96f9-89f70f1bf77f","http://www.cdisc.org","Code_59","2023-09-29","C201355","Code"
"Fixed Reference","57a07c01-f130-416b-aa9b-e0dd1d918a35","http://www.cdisc.org","Code_60","2023-09-29","C201358","Code"
"Start to Start","b9a39f53-278e-4e5c-9a9a-65465711e3f9","http://www.cdisc.org","Code_61","2023-09-29","C201355","Code"
"After","c85a31fb-5de8-47c1-b7be-5174e20401f5","http://www.cdisc.org","Code_62","2023-09-29","C201356","Code"
"Start to Start","526bf0bf-baaa-4d94-8de0-52d1a64eeae0","http://www.cdisc.org","Code_63","2023-09-29","C201355","Code"
"After","f3fa73b4-ab1a-48ff-bcde-d60769677532","http://www.cdisc.org","Code_64","2023-09-29","C201356","Code"
"End to Start","d861edc8-848f-4d48-904e-867489db8440","http://www.cdisc.org","Code_65","2023-09-29","C201353","Code"
"After","59f741fb-f2df-4cb8-989a-87e60ae26eac","http://www.cdisc.org","Code_66","2023-09-29","C201356","Code"
"Start to Start","8e8aa632-6c8b-45c4-b47a-d2c56137ebe3","http://www.cdisc.org","Code_67","2023-09-29","C201355","Code"
"After","0f8022fd-9754-4c5f-9227-c6439e6c7fea","http://www.cdisc.org","Code_68","2023-09-29","C201356","Code"
"End to Start","54f43eff-4287-4e7b-bd30-ff5e56c0e698","http://www.cdisc.org","Code_69","2023-09-29","C201353","Code"
"After","2d653330-7f79-4c9e-b022-9ae58fa8d518","http://www.cdisc.org","Code_70","2023-09-29","C201356","Code"
"Start to Start","26380ece-22b8-41ce-9726-b4be6572dd19","http://www.cdisc.org","Code_71","2023-09-29","C201355","Code"
"Clinical Study Sponsor","a2d001c2-d7a2-465d-84a1-bcc66f58bfa0","http://www.cdisc.org","Code_379","2023-09-29","C70793","Code"
"United Kingdom of Great Britain and Northern Ireland","747fb024-7f35-4525-9bf3-4908785029de","ISO 3166 1 alpha3","Code_380","2020-08","GBR","Code"
"Study Acronym","92e5a22f-9935-4c7c-ab36-4fa2e16ca7e2","http://www.cdisc.org","Code_3","2023-09-29","C94108","Code"
"Brief Study Title","8a793973-50b2-4692-9b57-2fa400da4edd","http://www.cdisc.org","Code_5","2023-09-29","C99905x1","Code"
"Official Study Title","5645a037-c263-462e-bf30-1c24027c5043","http://www.cdisc.org","Code_6","2023-09-29","C99905x2","Code"
"Public Study Title","42ba47af-7832-4e82-9438-e4146565b7e5","http://www.cdisc.org","Code_7","2023-09-29","C99905x3","Code"
"Final","0e5f3f5c-ed26-4d5c-960b-1d86eefdc748","http://www.cdisc.org","Code_8","2023-09-29","C25508","Code"
"Protocol Effective Date","7ef06b7e-9e43-4dd3-bed0-3c1ccf1beb59","http://www.cdisc.org","Code_11","2023-09-29","C99903x1","Code"
"Region","3af2d7a8-fac7-4093-aecd-6e324c3d355e","http://www.cdisc.org","Code_13","2023-09-29","C41129","Code"
"Europe","73df06e1-06f7-403b-ae08-f076617a1cd3","ISO 3166 1 alpha3","Code_12","2020-08","150","Code"
