"decode","uuid:ID","id","instanceType","codeSystemVersion","code","codeSystem"
"Heart Rate","724c435b-4500-433e-9ab5-a992310b3d7c","Code_236","Code","","C49677","NCI Thesaurus"
"Clinical Test Result","b8f73012-a726-47b7-b93b-a1cfc848bd56","Code_245","Code","","C77140","NCI Thesaurus"
"Pascal","ed1f2424-29c7-44fa-9b05-3270fd9dafe1","Code_246","Code","2023-09-29","C42547","http://www.cdisc.org"
"Unit of Pressure","3ca82f6f-acf0-4f14-a2bd-fbb65ccab3bd","Code_247","Code","","C49669","NCI Thesaurus"
"Anatomic Site","3ce52508-ab3f-44d5-a023-c5d2a2cc83e1","Code_248","Code","","C13717","NCI Thesaurus"
"Laterality","84966896-a0db-44e5-84d6-68fabc57fcc0","Code_249","Code","","C25185","NCI Thesaurus"
"Test Method","0d95f181-c8b0-4111-a9dd-cf950ee4f9ae","Code_250","Code","","C82535","NCI Thesaurus"
"Body Position","82d398a4-c1ad-44af-a77d-73e1f2482b67","Code_251","Code","","C62164","NCI Thesaurus"
"Systolic Blood Pressure","24507ef4-7c0f-402a-b450-df28bfcd031b","Code_244","Code","","C25298","NCI Thesaurus"
"Clinical Test Result","481127be-5030-424f-9c63-d648719a589c","Code_253","Code","","C77140","NCI Thesaurus"
"Pascal","4e63e34f-8f45-4659-a840-522e331bd8af","Code_254","Code","2023-09-29","C42547","http://www.cdisc.org"
"Unit of Pressure","988fd2c0-5511-43a3-b0fa-cbefd58c9e50","Code_255","Code","","C49669","NCI Thesaurus"
"Anatomic Site","2b1ed10e-7edc-421a-8507-d101a972a38c","Code_256","Code","","C13717","NCI Thesaurus"
"Laterality","e56a895b-fa0d-4668-953d-e7c0a8ed93c9","Code_257","Code","","C25185","NCI Thesaurus"
"Test Method","e39e4386-13f7-4e51-aebf-7852d9d9ee24","Code_258","Code","","C82535","NCI Thesaurus"
"Body Position","e5be9e04-91b1-4675-8be2-182636553760","Code_259","Code","","C62164","NCI Thesaurus"
"Diastolic Blood Pressure","9427cc7f-410f-4e61-af9f-e1d714240441","Code_252","Code","","C25299","NCI Thesaurus"
"Clinical Test Result","f7330e6e-2fde-47b6-8505-779b09b78e6f","Code_261","Code","","C77140","NCI Thesaurus"
"Beats per Minute","6da1b0e5-f1d7-4bd5-b0bc-120e7effcf96","Code_262","Code","2023-09-29","C49673","http://www.cdisc.org"
"Count per Minute","7c4e3312-7c6a-4a57-bc3b-2aae95b01eb5","Code_263","Code","","C73688","NCI Thesaurus"
"Anatomic Site","855af802-a6ce-44cc-80a6-fba82e07f1a8","Code_264","Code","","C13717","NCI Thesaurus"
"Laterality","c5aae97b-b976-4a29-8631-274cd4c61f7d","Code_265","Code","","C25185","NCI Thesaurus"
"Test Method","7a258b54-571a-48d4-82d8-d8898b7d7815","Code_266","Code","","C82535","NCI Thesaurus"
"Body Position","6328124f-2312-4d4f-91ea-33c704e68d42","Code_267","Code","","C62164","NCI Thesaurus"
"Heart Rate","67ca52b5-acf0-4430-80cc-f1ebc620864d","Code_260","Code","","C49677","NCI Thesaurus"
"Placebo Comparator Arm","fe18dc02-5e4f-4f96-929a-2c6873bea348","Code_123","Code","2023-09-29","C174268","http://www.cdisc.org"
"Data Generated Within Study","0fcd8603-abc4-4102-83d9-e5aedf2432f5","Code_124","Code","2023-09-29","C188866","http://www.cdisc.org"
"Active Comparator Arm","339314e9-11c1-43ab-9423-874f475eeda4","Code_125","Code","2023-09-29","C174267","http://www.cdisc.org"
"Data Generated Within Study","edcbf7db-35d0-4cfa-ada6-202a4c5d64bd","Code_126","Code","2023-09-29","C188866","http://www.cdisc.org"
"Active Comparator Arm","4ac698d4-a5be-4920-922d-c88703494c6a","Code_127","Code","2023-09-29","C174267","http://www.cdisc.org"
"Data Generated Within Study","9a12a121-b0a3-437c-a2a9-415d73e0e39e","Code_128","Code","2023-09-29","C188866","http://www.cdisc.org"
"Double Blind Study","703531b5-76be-4f14-9c14-85d4beadd72b","Code_136","Code","2023-09-29","C15228","http://www.cdisc.org"
"Trial Screening","073d8830-1ca5-474f-920b-45da93e4736a","Code_129","Code","2023-09-29","C48262","http://www.cdisc.org"
"Treatment Epoch","9028fc7e-2606-43ff-a813-ae2535126949","Code_130","Code","2023-09-29","C101526","http://www.cdisc.org"
"Treatment Epoch","2f08374a-1bf2-4ed4-b4b1-157d487cc9ff","Code_131","Code","2023-09-29","C101526","http://www.cdisc.org"
"Treatment Epoch","163654dc-bbaf-4598-a68a-fb2b2c99c067","Code_132","Code","2023-09-29","C101526","http://www.cdisc.org"
"Clinical Study Follow-up","3498c7f2-bf26-48ac-aeda-c62cb02ac104","Code_133","Code","2023-09-29","C99158","http://www.cdisc.org"
"Alzheimer's disease; unspecified","fd6c226c-6e50-4b2a-8cb4-aeff5e0e3df8","Code_327","Code","1","G30.9","ICD-10-CM"
"Alzheimer's disease","11659889-ae7c-45e2-b656-1aaa55c2da0d","Code_328","Code","January 31, 2018","26929004","SNOMED"
"Sponsor","7e516f33-a607-417d-9437-c58c9452eddb","Code_142","Code","2023-09-29","C70793","http://www.cdisc.org"
"Trial Primary Objective","71530421-4980-4b16-aeef-245c70d8f38a","Code_332","Code","2023-09-29","C85826","http://www.cdisc.org"
"Primary Endpoint","d114fd6a-6944-4ead-a352-bc840b000428","Code_331","Code","2023-09-29","C94496","http://www.cdisc.org"
"Primary Endpoint","955a2b47-cfbf-4d07-8d1b-f2c5ea79d871","Code_333","Code","2023-09-29","C94496","http://www.cdisc.org"
"Trial Primary Objective","781366af-2050-4e23-8469-97350c683c4f","Code_335","Code","2023-09-29","C85826","http://www.cdisc.org"
"Primary Endpoint","b3857be4-7850-44f6-ad67-45edd4b4a193","Code_334","Code","2023-09-29","C94496","http://www.cdisc.org"
"Primary Endpoint","9102b95a-540e-45e5-8ea3-937d2c4bb559","Code_336","Code","2023-09-29","C94496","http://www.cdisc.org"
"Primary Endpoint","18afe951-045b-4019-b520-b5fdbd105d78","Code_337","Code","2023-09-29","C94496","http://www.cdisc.org"
"Trial Secondary Objective","429ea415-acfc-4d35-a464-f900a947190b","Code_339","Code","2023-09-29","C85827","http://www.cdisc.org"
"Secondary Endpoint","24069e40-7805-4a0a-b85a-96cae0383718","Code_338","Code","2023-09-29","C139173","http://www.cdisc.org"
"Secondary Endpoint","42303b7a-c736-4475-a9ac-a5ace52585b0","Code_340","Code","2023-09-29","C139173","http://www.cdisc.org"
"Secondary Endpoint","b6c80660-568d-4679-b675-25319b2842dc","Code_341","Code","2023-09-29","C139173","http://www.cdisc.org"
"Trial Secondary Objective","7d7af005-b378-4d19-b3d4-6708fe199017","Code_343","Code","2023-09-29","C85827","http://www.cdisc.org"
"Secondary Endpoint","c810c763-a446-43ed-a987-8824dc0df65a","Code_342","Code","2023-09-29","C139173","http://www.cdisc.org"
"Trial Secondary Objective","4b76461a-3251-4b94-ba5d-2024a4064a99","Code_345","Code","2023-09-29","C85827","http://www.cdisc.org"
"Secondary Endpoint","4690d71f-bd4c-4f67-830e-190c004da58d","Code_344","Code","2023-09-29","C139173","http://www.cdisc.org"
"Trial Secondary Objective","0f998460-a9ba-4ce1-8a91-d8a6c27dee13","Code_347","Code","2023-09-29","C85827","http://www.cdisc.org"
"Secondary Endpoint","44426e50-2312-4abc-b16f-6cf9f336c720","Code_346","Code","2023-09-29","C139173","http://www.cdisc.org"
"Inclusion Criteria","8fcea67a-c3f8-4dc7-9807-41f787d27fc7","Code_348","Code","2023-09-29","C25532","http://www.cdisc.org"
"Inclusion Criteria","9a288054-98ff-4714-a8c9-aaf756384a5e","Code_349","Code","2023-09-29","C25532","http://www.cdisc.org"
"Inclusion Criteria","0f76346a-62c8-4d57-961f-b30fbd8336e7","Code_350","Code","2023-09-29","C25532","http://www.cdisc.org"
"Inclusion Criteria","ade72fd3-55d3-4b15-af29-721770d0addc","Code_351","Code","2023-09-29","C25532","http://www.cdisc.org"
"Inclusion Criteria","a849f329-80e8-45be-921c-29615c61be6b","Code_352","Code","2023-09-29","C25532","http://www.cdisc.org"
"Inclusion Criteria","d17e863f-7dd9-4b8c-995e-e34202b65815","Code_353","Code","2023-09-29","C25532","http://www.cdisc.org"
"Inclusion Criteria","880aed7c-1580-4fb9-b344-c4f7e311538d","Code_354","Code","2023-09-29","C25532","http://www.cdisc.org"
"Inclusion Criteria","74879278-71a3-4988-9730-17880932a218","Code_355","Code","2023-09-29","C25532","http://www.cdisc.org"
"Exclusion Criteria","d50706e1-ed89-4649-a4dd-2bc51fba57d8","Code_356","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","00ab61f6-86be-4354-8f1b-9ba9e83278cf","Code_357","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","0ba51f32-309e-4caa-b0f2-71cb60712828","Code_358","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","1b04c7ba-3e9f-4663-81bb-1219da2f3859","Code_359","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","f67e3c05-b5a6-43cb-a7cc-7d88db922596","Code_360","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","eeaa0cec-5c42-4060-b7d5-2e652f246edf","Code_361","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","37e1fc82-2c8b-4e60-907e-62a1cbd022b0","Code_362","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","589adb07-518d-41b1-9a94-4b842de83618","Code_363","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","39061836-ded0-4128-9f94-766051daeea2","Code_364","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","e577691a-a33a-462b-8777-4141d2788060","Code_365","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","d10d3f1b-c4ce-4567-a35e-d85bd85542d2","Code_366","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","126ed593-9f9d-4750-a957-f9aa946e575f","Code_367","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","732edc4d-91be-4b12-930a-2e4bee3fcc3f","Code_368","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","a9a61546-caa9-416a-a30e-a87539f7ba81","Code_369","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","f9f6262a-8554-407d-90ac-39dd1e184a65","Code_370","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","536b6775-4338-490c-9441-f350086713c9","Code_371","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","9a80d4a4-c044-4024-bd00-c3fdbb7d1a29","Code_372","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","66d14387-f6fd-4347-9ea0-6305b9b8ac59","Code_373","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","9fbca34c-98b0-4457-ad68-ff3b88ecad62","Code_374","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","2fd16b9e-1015-4ece-9511-be54a4386431","Code_375","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","bb28cbb9-12e5-4583-87f2-db888036be08","Code_376","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","e77c9a9f-0075-4b80-9c05-75d93b0ce79b","Code_377","Code","2023-09-29","C25370","http://www.cdisc.org"
"Exclusion Criteria","26a0deb6-fe8a-4e39-ba39-7fe74c10bad6","Code_378","Code","2023-09-29","C25370","http://www.cdisc.org"
"Year","eeb359fd-12da-4656-8b8f-92f53333fb9f","Code_329","Code","2023-09-29","C29848","http://www.cdisc.org"
"Before","c0f5bdbe-6b24-4591-bda7-aa290a6b02b8","Code_14","Code","2023-09-29","C201357","http://www.cdisc.org"
"Start to Start","ac92d9ff-35f9-4070-849a-d0d4cd1a2d32","Code_15","Code","2023-09-29","C201355","http://www.cdisc.org"
"Before","3fd538d4-ee52-4979-b56f-41ba92d437b9","Code_16","Code","2023-09-29","C201357","http://www.cdisc.org"
"Start to Start","f33daa2b-b758-41c6-b6ac-b253a2d6adcb","Code_17","Code","2023-09-29","C201355","http://www.cdisc.org"
"Fixed Reference","8f181aeb-2803-4d62-a849-eeeb454922bf","Code_19","Code","2023-09-29","C201358","http://www.cdisc.org"
"Start to Start","f29a8372-90fc-43d4-9035-978666dcc10d","Code_20","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","c9ef302e-6267-4eef-89ce-ee704f6fefc2","Code_21","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","3a464460-f97d-4397-a1c0-d356767b89ed","Code_22","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","a8c23b60-ccf3-430e-96ef-f54170f2a730","Code_24","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","d284b81b-8b2b-4fcc-8aef-f6a91ae42b25","Code_25","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","e85e40db-3bf9-4019-8baa-a4bc88405695","Code_27","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","0095134e-09f3-4ee2-95d9-bb6a48c1ada1","Code_28","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","372bfa3e-b747-48c8-9e91-4c052e410c1a","Code_30","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","13de1aca-08c1-4657-9673-4b5922e75e6e","Code_31","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","0607f9df-5368-48a0-97ba-9e32c4d28121","Code_35","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","b8b7ddaa-c5d1-4465-93be-4e6fa7e4b843","Code_36","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","542f262e-ca5c-425a-9c12-74f17817dc52","Code_40","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","b3773f29-f87b-4711-a52e-c024bd18c07b","Code_41","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","eb99e9e9-2023-4a95-a1ed-f1d738c62179","Code_45","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","b689c43e-d619-461f-a2d5-c7c8526fd246","Code_46","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","a1365eb7-3ea3-47c9-8cb4-1ad39ce8e9a9","Code_50","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","ade901b1-dce4-4326-950b-1da418dc3618","Code_51","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","d5e27337-3c23-46d6-bc30-6ec3ffe0b469","Code_53","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","03f661c9-733b-4e20-b901-e3a57f17e636","Code_54","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","c32776dc-68a0-41c8-ad5b-51a9bf3155e6","Code_33","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","d448e47a-a534-4c3d-9891-d1ebfb5fe863","Code_34","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","38083408-6597-4b6d-91db-44a8b020327e","Code_38","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","82383ccc-44bc-49cc-9d2a-f3ab9b9da07b","Code_39","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","743cd47d-502c-4406-a425-469e4afbbfe1","Code_43","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","6baeb1a0-edaf-43a3-bcc5-7966c17c0d3d","Code_44","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","6f007a5c-c18c-4354-8052-27947f2c3976","Code_48","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","d21e257e-8a4d-4740-8e59-93cd9d26becb","Code_49","Code","2023-09-29","C201355","http://www.cdisc.org"
"Fixed Reference","bca4440d-9f43-4df0-851f-6120c78463a2","Code_56","Code","2023-09-29","C201358","http://www.cdisc.org"
"Start to Start","d90001fd-3530-4282-aaf3-119123f7996e","Code_57","Code","2023-09-29","C201355","http://www.cdisc.org"
"Fixed Reference","dd130eb3-9c7f-4a6e-80c6-72572959d22a","Code_58","Code","2023-09-29","C201358","http://www.cdisc.org"
"Start to Start","b8bcbdeb-2225-42c6-97d0-f22f4c952293","Code_59","Code","2023-09-29","C201355","http://www.cdisc.org"
"Fixed Reference","bf7bd612-afa7-49e3-8da3-6dc6d0b37a31","Code_60","Code","2023-09-29","C201358","http://www.cdisc.org"
"Start to Start","dcc11d1d-5762-49a3-bf3c-b9358ab3ce95","Code_61","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","e77fb978-07d7-4991-a12d-c29512686c4d","Code_62","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","5a43952e-2332-4358-98ee-2922cd8b93d0","Code_63","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","f57ae044-eb23-49e8-b461-a45b5aca0cca","Code_64","Code","2023-09-29","C201356","http://www.cdisc.org"
"End to Start","91e8817c-2b44-4c1f-9de2-00ba80fbbcd5","Code_65","Code","2023-09-29","C201353","http://www.cdisc.org"
"After","db423bb9-5903-45fb-8331-32e0cae9ccf4","Code_66","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","c77888f7-8cb7-4077-b5ec-e78a4784ebec","Code_67","Code","2023-09-29","C201355","http://www.cdisc.org"
"After","1bb0e811-91f0-4928-858e-b5f1222da5b9","Code_68","Code","2023-09-29","C201356","http://www.cdisc.org"
"End to Start","68a864fc-8901-4c4a-9fd4-eb81b2abf3f8","Code_69","Code","2023-09-29","C201353","http://www.cdisc.org"
"After","b2683f17-b1bf-4782-8a29-94e5d07c78da","Code_70","Code","2023-09-29","C201356","http://www.cdisc.org"
"Start to Start","fbd529c0-1196-461a-84c6-64388b275a54","Code_71","Code","2023-09-29","C201355","http://www.cdisc.org"
"Clinical Study Sponsor","491f548d-c986-48ee-907a-90a63d46bb22","Code_379","Code","2023-09-29","C70793","http://www.cdisc.org"
"United Kingdom of Great Britain and Northern Ireland","b957a705-d78e-4a2f-99f4-2a35e2c91a2f","Code_380","Code","2020-08","GBR","ISO 3166 1 alpha3"
"Study Acronym","3f3769d6-3123-4f39-981c-71106a2e0c01","Code_3","Code","2023-09-29","C94108","http://www.cdisc.org"
"Brief Study Title","6dc20853-9126-4dba-a30e-c4cdac966036","Code_5","Code","2023-09-29","C99905x1","http://www.cdisc.org"
"Official Study Title","97a8d8df-4fd0-427a-87a2-0fc7883c8b3f","Code_6","Code","2023-09-29","C99905x2","http://www.cdisc.org"
"Public Study Title","fe252159-3cce-46c7-a029-1ae29c33fdfb","Code_7","Code","2023-09-29","C99905x3","http://www.cdisc.org"
"Final","850b33a3-c1b4-4374-9554-3362fa304eb6","Code_8","Code","2023-09-29","C25508","http://www.cdisc.org"
"Protocol Effective Date","46e804e7-304a-4cb9-b079-fd8ecca22844","Code_11","Code","2023-09-29","C99903x1","http://www.cdisc.org"
"Region","286dc8f6-d74a-45c2-80be-5463fded15b3","Code_13","Code","2023-09-29","C41129","http://www.cdisc.org"
"Europe","2f73ba87-d484-4c17-9129-5ac1da0008ed","Code_12","Code","2020-08","150","ISO 3166 1 alpha3"
