"decode","codeSystem","id","codeSystemVersion","uuid:ID","code","instanceType"
"No","http://www.cdisc.org","Code_173","2023-12-15","b9566b28-624e-4f88-bf2f-830604ce19bb","C49487","Code"
"Yes","http://www.cdisc.org","Code_174","2023-12-15","4c464a1e-3d9c-4b4d-855f-37604a1e7c8d","C49488","Code"
"Adverse Event associated with Hospitalization","http://www.cdisc.org","Code_175","2023-12-15","df303e21-20e6-4791-bd77-290ec472f6cf","C83052","Code"
"No","http://www.cdisc.org","Code_176","2023-12-15","e51c4852-ce7b-415b-a9b3-a230004aae9e","C49487","Code"
"Yes","http://www.cdisc.org","Code_177","2023-12-15","253b0244-a482-40d9-b109-e4ebcb53ba66","C49488","Code"
"Life Threatening Adverse Event","http://www.cdisc.org","Code_178","2023-12-15","9c940592-6db5-444d-b608-fea96da147b6","C84266","Code"
"No","http://www.cdisc.org","Code_179","2023-12-15","e8244e91-f529-4e75-b8a6-e9ededb11f28","C49487","Code"
"Yes","http://www.cdisc.org","Code_180","2023-12-15","4151cc37-4774-4c7f-875c-010757a4c4fc","C49488","Code"
"Adverse Event Occurred with Overdose","http://www.cdisc.org","Code_181","2023-12-15","4a8bc518-b26f-4a9d-bf76-47927996ee19","C83214","Code"
"No","http://www.cdisc.org","Code_182","2023-12-15","20ebc6b9-d4de-4d8e-8b81-d1735e4559fd","C49487","Code"
"Yes","http://www.cdisc.org","Code_183","2023-12-15","50002a21-6b51-45b2-b7b9-f4a737ceabf5","C49488","Code"
"Adverse Event Associated with Serious Medical Event","http://www.cdisc.org","Code_184","2023-12-15","72e435ff-926f-416f-8015-8040c63d6001","C83053","Code"
"No","http://www.cdisc.org","Code_185","2023-12-15","62498321-cf3a-49a9-a5cf-2f7a55e4e71b","C49487","Code"
"Yes","http://www.cdisc.org","Code_186","2023-12-15","9f17d037-7324-4b37-9210-3d9d78b185e3","C49488","Code"
"Adverse Event Concomitant Treatment","http://www.cdisc.org","Code_187","2023-12-15","614228c9-e13b-449e-9a1c-4fc7af9badae","C83199","Code"
"Adverse Event Start Date Time","http://www.cdisc.org","Code_188","2023-12-15","07e4e12c-1031-46a8-b3f2-d38c62efb7f3","C83215","Code"
"Adverse Event End Date Time","http://www.cdisc.org","Code_189","2023-12-15","634a2c5d-c399-40b9-899e-3196ce91e9da","C83201","Code"
"Solicited Adverse Event","http://www.cdisc.org","Code_190","2023-12-15","6889a9c8-b2ff-4906-a1fa-45f89681133e","C179175","Code"
"SYSBP","http://www.cdisc.org","Code_191","2023-12-15","9daaf79d-588b-4d19-939b-3432f303479d","C25298","Code"
"Clinical Test Result","http://www.cdisc.org","Code_192","2023-12-15","c76dd0ab-118b-4b8f-bb1f-01e7222cf54c","C77140","Code"
"Unit of Pressure","http://www.cdisc.org","Code_193","2023-12-15","20b807da-26a7-49b1-ba6b-a5229c2dd01e","C49669","Code"
"Sitting","http://www.cdisc.org","Code_194","2023-12-15","4abe6ebf-a388-44ca-9d6b-b3c031d900fc","C62122","Code"
"Standing","http://www.cdisc.org","Code_195","2023-12-15","dcc0075a-a7f3-4298-9968-8327aaa1c7bf","C62166","Code"
"Supine Position","http://www.cdisc.org","Code_196","2023-12-15","4f5dff7a-629c-4b20-8364-4172b52f3a73","C62167","Code"
"Body Position","http://www.cdisc.org","Code_197","2023-12-15","3c00c373-16bb-4b00-96b0-586763effdbb","C62164","Code"
"Brachial Artery","http://www.cdisc.org","Code_198","2023-12-15","5b625880-d9dc-47b1-9752-aa54c6451886","C12681","Code"
"Common Carotid Artery","http://www.cdisc.org","Code_199","2023-12-15","28492870-b21f-463d-91c5-47a911492619","C12687","Code"
"Dorsalis Pedis Artery","http://www.cdisc.org","Code_200","2023-12-15","a7f00cb2-9db6-4410-8a7f-939c48cf0dc8","C32478","Code"
"Femoral Artery","http://www.cdisc.org","Code_201","2023-12-15","8710f53e-3281-40ca-9cca-721b6b576846","C12715","Code"
"Radial Artery","http://www.cdisc.org","Code_202","2023-12-15","e5f96637-9a01-4f2c-88f0-d806db97fbe3","C12838","Code"
"Anatomic Site","http://www.cdisc.org","Code_203","2023-12-15","f56140d8-755e-4a55-8786-bcf23d52b890","C13717","Code"
"Left","http://www.cdisc.org","Code_204","2023-12-15","b9595077-6b2f-4a33-b943-1bfc0346681d","C25229","Code"
"Right","http://www.cdisc.org","Code_205","2023-12-15","6b481470-2852-4c56-a5ab-aa52def2feb2","C25228","Code"
"Laterality","http://www.cdisc.org","Code_206","2023-12-15","9f64b558-eede-4765-8633-53fd72a55308","C25185","Code"
"SYSBP","http://www.cdisc.org","Code_207","2023-12-15","f3bbad72-b51d-4eed-89be-f00c95fa4962","C25298","Code"
"DIABP","http://www.cdisc.org","Code_208","2023-12-15","59c8c455-3f9b-4622-ae73-d274c1c201d7","C25299","Code"
"Clinical Test Result","http://www.cdisc.org","Code_209","2023-12-15","5f608b4e-b9db-428d-99ab-5aa05fd8a857","C77140","Code"
"Unit of Pressure","http://www.cdisc.org","Code_210","2023-12-15","f6f502bd-75c1-4657-bb1b-f1959fd21d0c","C49669","Code"
"Sitting","http://www.cdisc.org","Code_211","2023-12-15","f331892f-4e0c-4660-b00d-00455c910a20","C62122","Code"
"Standing","http://www.cdisc.org","Code_212","2023-12-15","61efc6fc-ba8f-4844-ab48-f623caa94477","C62166","Code"
"Supine Position","http://www.cdisc.org","Code_213","2023-12-15","1a13cc3e-f399-45c3-8308-3929ab60086c","C62167","Code"
"Body Position","http://www.cdisc.org","Code_214","2023-12-15","19423901-0a21-4649-b5b6-699917302063","C62164","Code"
"Brachial Artery","http://www.cdisc.org","Code_215","2023-12-15","4d7878ad-1dd6-420c-9c07-0e7345df546f","C12681","Code"
"Common Carotid Artery","http://www.cdisc.org","Code_216","2023-12-15","a330c2f0-f333-4d32-9f71-fe4dbde0c374","C12687","Code"
"Dorsalis Pedis Artery","http://www.cdisc.org","Code_217","2023-12-15","202462a2-af7b-47da-8b76-6744a6c98f58","C32478","Code"
"Femoral Artery","http://www.cdisc.org","Code_218","2023-12-15","f7c65a18-5348-45a0-a687-a04a66349d83","C12715","Code"
"Radial Artery","http://www.cdisc.org","Code_219","2023-12-15","2082f192-9d5c-410e-b355-5c758442e58f","C12838","Code"
"Anatomic Site","http://www.cdisc.org","Code_220","2023-12-15","9acf171f-d2ec-4753-94de-4a917893d89b","C13717","Code"
"Left","http://www.cdisc.org","Code_221","2023-12-15","3baf0ade-895e-4345-8093-bc457f5fdd26","C25229","Code"
"Right","http://www.cdisc.org","Code_222","2023-12-15","137c5477-1aea-49ff-9eab-d8b25d09694b","C25228","Code"
"Laterality","http://www.cdisc.org","Code_223","2023-12-15","5b46bb1b-7a6f-467c-b487-fa9b4ad8b66b","C25185","Code"
"DIABP","http://www.cdisc.org","Code_224","2023-12-15","4c1038ac-9252-4bd9-97d5-4479e85645e3","C25299","Code"
"TEMP","http://www.cdisc.org","Code_225","2023-12-15","da874279-467f-4de1-8bba-e767e02cda55","C174446","Code"
"Clinical Test Result","http://www.cdisc.org","Code_226","2023-12-15","8df74c6b-f64e-4b8a-8d7e-d95af2000bcc","C77140","Code"
"Degree Celsius","http://www.cdisc.org","Code_227","2023-12-15","7270ee5d-1e7d-40f7-bde3-45cb177db9a6","C42559","Code"
"Degree Fahrenheit","http://www.cdisc.org","Code_228","2023-12-15","f20ad74b-8374-48df-bd46-338b230988ef","C44277","Code"
"Kelvin","http://www.cdisc.org","Code_229","2023-12-15","5ebff5ee-d9eb-4a2d-baa8-008b0bf630f3","C42537","Code"
"Unit of Temperature","http://www.cdisc.org","Code_230","2023-12-15","e43aad8b-2eea-48e2-9079-fcaee90964a3","C44276","Code"
"Axilla","http://www.cdisc.org","Code_231","2023-12-15","bfed2523-3c17-4c6d-ae2b-84da567e9860","C12674","Code"
"Ear","http://www.cdisc.org","Code_232","2023-12-15","7c008d6b-2acc-43aa-8f48-1ff28a6e443b","C12394","Code"
"Forehead","http://www.cdisc.org","Code_233","2023-12-15","ba044777-f91b-44d2-b307-1f805232d076","C89803","Code"
"Oral Cavity","http://www.cdisc.org","Code_234","2023-12-15","05edb618-5fce-4f34-9425-79f2dafff71b","C12421","Code"
"Rectum","http://www.cdisc.org","Code_235","2023-12-15","784fd46a-01b8-4581-b235-8b7c360c4304","C12390","Code"
"Anatomic Site","http://www.cdisc.org","Code_236","2023-12-15","62461516-915a-4d9e-be0f-f839d3fb97da","C13717","Code"
"TEMP","http://www.cdisc.org","Code_237","2023-12-15","fba39da5-da47-4e97-914c-d04705460e17","C174446","Code"
"WEIGHT","http://www.cdisc.org","Code_238","2023-12-15","5f4a695a-018a-4478-ba74-160e3d8ffc99","C25208","Code"
"Clinical Test Result","http://www.cdisc.org","Code_239","2023-12-15","5e7903ed-bdef-47bd-81d2-269636f46cb0","C77140","Code"
"Pound","http://www.cdisc.org","Code_240","2023-12-15","39e07cb4-ec65-4090-9059-e1251591c38e","C48531","Code"
"Gram","http://www.cdisc.org","Code_241","2023-12-15","38c0c924-5349-4a74-a47f-a465fe898d58","C48155","Code"
"Kilogram","http://www.cdisc.org","Code_242","2023-12-15","7634c61e-c5ee-4364-8e25-1a337e691957","C28252","Code"
"Unit of Weight","http://www.cdisc.org","Code_243","2023-12-15","7ed3ce95-7c52-4bf2-bf27-38d3e54d8635","C48208","Code"
"WEIGHT","http://www.cdisc.org","Code_244","2023-12-15","f679ad93-9922-4a44-948c-702b853083e5","C25208","Code"
"HEIGHT","http://www.cdisc.org","Code_245","2023-12-15","b06b4a28-ccef-449b-be23-d2cc3d05399d","C25347","Code"
"Clinical Test Result","http://www.cdisc.org","Code_246","2023-12-15","51ba8f60-db3d-4bb5-a702-bf52a49b3030","C77140","Code"
"Centimeter","http://www.cdisc.org","Code_247","2023-12-15","6350c7bb-339c-4460-aa6b-103d4db741f9","C49668","Code"
"Inch","http://www.cdisc.org","Code_248","2023-12-15","ad6c0859-7116-4c6e-b30c-b677bd1474ce","C48500","Code"
"Meter","http://www.cdisc.org","Code_249","2023-12-15","fca209f0-5e4a-48b1-a471-2c665835f9d6","C41139","Code"
"Unit of Height","http://www.cdisc.org","Code_250","2023-12-15","65c35767-3c66-4f79-a64c-4a6abb42b829","C168688","Code"
"HEIGHT","http://www.cdisc.org","Code_251","2023-12-15","7689cd9f-cb7e-4b7a-80de-2b0ad6edbb48","C25347","Code"
"ALT","http://www.cdisc.org","Code_252","2023-12-15","e884b6f6-67b2-46ed-9d8d-92f9d87f3ee3","C64433","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_253","2023-12-15","5be3039f-fbc5-4b56-ad53-94374ca06eb0","C36292","Code"
"Unit per Liter","http://www.cdisc.org","Code_254","2023-12-15","94a5451e-f482-41fe-a685-29bacd9734fe","C67456","Code"
"Microkatal per Liter","http://www.cdisc.org","Code_255","2023-12-15","bb2acdbe-433e-4ff4-aa05-4abc35ed30a0","C67397","Code"
"International Unit per Liter","http://www.cdisc.org","Code_256","2023-12-15","83299b5e-854c-4e83-a6a0-84d84df768f0","C67376","Code"
"Nanokatal per Liter","http://www.cdisc.org","Code_257","2023-12-15","96f8b413-9bab-4d33-9ab8-f47a5878285d","C70510","Code"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_258","2023-12-15","155a20cc-d83e-4107-9a50-113552c4ffc2","C67365","Code"
"Biospecimen Type","http://www.cdisc.org","Code_259","2023-12-15","3eb91453-6cab-47e6-bb67-c8348e056e3b","C70713","Code"
"No","http://www.cdisc.org","Code_260","2023-12-15","84a3be3d-d365-41d0-bc0a-93ce345cb454","C49487","Code"
"Yes","http://www.cdisc.org","Code_261","2023-12-15","bcc432ea-14b8-4a9d-a8d4-91c4a9d53415","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_262","2023-12-15","79362ef4-c611-4a88-9690-d62b0d2ee3a6","C83309","Code"
"ALT","http://www.cdisc.org","Code_263","2023-12-15","7d22275f-694d-466b-b40c-eb96edb2d32e","C64433","Code"
"ALB","http://www.cdisc.org","Code_264","2023-12-15","b9894c74-ca03-4b3a-b3b3-ebba8fd77122","C64431","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_265","2023-12-15","f9cf7470-dfe5-43a3-a76b-61158f0a9829","C36292","Code"
"Biospecimen Type","http://www.cdisc.org","Code_266","2023-12-15","6e7c4ab0-c9f4-407a-9509-276344091780","C70713","Code"
"No","http://www.cdisc.org","Code_267","2023-12-15","9ccd2858-0ffd-4771-a58e-b38e650ff699","C49487","Code"
"Yes","http://www.cdisc.org","Code_268","2023-12-15","8e6e71a7-5c39-4838-86e7-d4c7327afc06","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_269","2023-12-15","79eeb40c-2004-4acc-8f82-6c0f7971158e","C83309","Code"
"ALB","http://www.cdisc.org","Code_270","2023-12-15","2f8a6525-a746-4eba-8e29-fec9fa92f10b","C64431","Code"
"ALP","http://www.cdisc.org","Code_271","2023-12-15","16443a2a-0880-4add-b8c8-9c30e4b5ccb8","C64432","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_272","2023-12-15","9209de17-438a-4429-8ac7-6a4164271d7e","C36292","Code"
"Unit per Liter","http://www.cdisc.org","Code_273","2023-12-15","401bef24-8478-4552-bdcf-e96c84766a25","C67456","Code"
"Microkatal per Liter","http://www.cdisc.org","Code_274","2023-12-15","252bce6b-e12a-45b6-b4f4-58789bd0dea7","C67397","Code"
"International Unit per Liter","http://www.cdisc.org","Code_275","2023-12-15","0d0d3aa0-6bea-4293-a7ec-69c39d5dfb73","C67376","Code"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_276","2023-12-15","eaf9a571-c835-4e9c-a8a9-a10f74f39b03","C67365","Code"
"Biospecimen Type","http://www.cdisc.org","Code_277","2023-12-15","b5853a99-b102-486c-a956-660a177d7289","C70713","Code"
"No","http://www.cdisc.org","Code_278","2023-12-15","eb169ea8-93e4-44de-9498-ffd3a497ff66","C49487","Code"
"Yes","http://www.cdisc.org","Code_279","2023-12-15","592a0a03-37d7-4956-9dca-1f7b385da32c","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_280","2023-12-15","af79b3c8-3969-401c-b167-2323de4c6c4c","C83309","Code"
"ALP","http://www.cdisc.org","Code_281","2023-12-15","f3cb9eb2-176a-4ad4-b33b-48c7391f3915","C64432","Code"
"AST","http://www.cdisc.org","Code_282","2023-12-15","55fbf820-4023-45aa-9649-74775e1e6de1","C64467","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_283","2023-12-15","620d4517-076a-4c02-8e52-c56a7986f517","C36292","Code"
"Unit per Liter","http://www.cdisc.org","Code_284","2023-12-15","cf412903-a8ce-48df-adc1-7d64c161c0b1","C67456","Code"
"Microkatal per Liter","http://www.cdisc.org","Code_285","2023-12-15","5a42d0cd-7f55-4594-b752-be62be92e077","C67397","Code"
"International Unit per Liter","http://www.cdisc.org","Code_286","2023-12-15","39a4c45b-802f-41a3-b0db-7f849e3cf7ad","C67376","Code"
"Unit of Catalytic Activity Concentration","http://www.cdisc.org","Code_287","2023-12-15","b2930fad-5064-4e81-9bb9-a9f36f10b1aa","C67365","Code"
"Biospecimen Type","http://www.cdisc.org","Code_288","2023-12-15","1605eb7d-d0f2-4b66-b8e4-cbbd731ce29b","C70713","Code"
"No","http://www.cdisc.org","Code_289","2023-12-15","fc575ecd-dfed-4acb-b8f4-48dd190f2807","C49487","Code"
"Yes","http://www.cdisc.org","Code_290","2023-12-15","352e3412-1721-4269-b07b-8e79432f7b01","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_291","2023-12-15","4b5d130a-4e1b-4ebd-a52a-a26a2310960e","C83309","Code"
"AST","http://www.cdisc.org","Code_292","2023-12-15","a3fa1de8-d54a-4e19-a480-0d1622d1f13c","C64467","Code"
"CREAT","http://www.cdisc.org","Code_293","2023-12-15","ec1d69c3-18e2-4d38-ad7f-c5ad1db957fb","C64547","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_294","2023-12-15","e9bb3d28-c414-46fc-988a-8339e5331273","C36292","Code"
"Milligram per Deciliter","http://www.cdisc.org","Code_295","2023-12-15","bb6f7e4c-aabe-4e1c-843d-34e613c04957","C67015","Code"
"Microgram per Milliliter","http://www.cdisc.org","Code_296","2023-12-15","2981323e-4f83-4167-a7f5-7c283b37a3d7","C64572","Code"
"Millimole per Liter","http://www.cdisc.org","Code_297","2023-12-15","ff3c96bc-173c-4bfd-a52e-9eb1029c0d51","C64387","Code"
"Micromole per Liter","http://www.cdisc.org","Code_298","2023-12-15","a4585ead-7c79-4ac5-adfe-2d2fd554216d","C48508","Code"
"Unit of Concentration","http://www.cdisc.org","Code_299","2023-12-15","c9f78ba3-ca1a-4df8-8c06-c4830a18181b","C48207","Code"
"Biospecimen Type","http://www.cdisc.org","Code_300","2023-12-15","94a12d0d-b36f-4fdc-b697-d63ffa349480","C70713","Code"
"No","http://www.cdisc.org","Code_301","2023-12-15","247939cd-d597-45a4-9c26-39fb3e030552","C49487","Code"
"Yes","http://www.cdisc.org","Code_302","2023-12-15","f7387baa-37fa-43d8-9cf6-9eed6ce51af6","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_303","2023-12-15","b12fa8af-d7d1-4c49-81d4-09798fa57820","C83309","Code"
"CREAT","http://www.cdisc.org","Code_304","2023-12-15","ffbb35a5-286e-4b04-8190-de6aa4d796f0","C64547","Code"
"K","http://www.cdisc.org","Code_305","2023-12-15","5ae4c479-e6aa-4605-b700-f077858a66f3","C64853","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_306","2023-12-15","5802d8a2-78e1-4eca-83ff-4d5a8b639e62","C36292","Code"
"Milliequivalent per Liter","http://www.cdisc.org","Code_307","2023-12-15","c3c30990-0eef-4468-8aea-7c6f93551b32","C67474","Code"
"Milliequivalent per Deciliter","http://www.cdisc.org","Code_308","2023-12-15","c83e246c-1c83-4385-a6b8-f1f4a3a27d32","C67473","Code"
"Millimole per Liter","http://www.cdisc.org","Code_309","2023-12-15","3bf98093-1eba-4080-9634-63b954b959bd","C64387","Code"
"Molarity Unit","http://www.cdisc.org","Code_310","2023-12-15","04928101-fdb5-458b-9c5b-3121a5f15cbe","C64567","Code"
"Biospecimen Type","http://www.cdisc.org","Code_311","2023-12-15","b5e30b55-673d-4e5d-945c-87cea40e04ec","C70713","Code"
"No","http://www.cdisc.org","Code_312","2023-12-15","a3915a6e-c9c2-4bf3-9d25-0e8f6f68921a","C49487","Code"
"Yes","http://www.cdisc.org","Code_313","2023-12-15","966d9eb9-43cb-493b-86c3-fd4dbf97f22b","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_314","2023-12-15","ac58b6dd-fb4c-407d-a941-b460fdb9d928","C83309","Code"
"K","http://www.cdisc.org","Code_315","2023-12-15","0a3e1e57-4dd3-4383-9e80-f24b616d9466","C64853","Code"
"SODIUM","http://www.cdisc.org","Code_316","2023-12-15","a219b496-c69c-43ed-9fb9-c38561d4553a","C64809","Code"
"Laboratory Test Result","http://www.cdisc.org","Code_317","2023-12-15","dcf2cc72-992a-4027-9f61-924ef262e8a5","C36292","Code"
"Milliequivalent per Liter","http://www.cdisc.org","Code_318","2023-12-15","7b4914fe-5aeb-42b9-b0c8-0eb8219acb87","C67474","Code"
"Milliequivalent per Deciliter","http://www.cdisc.org","Code_319","2023-12-15","a571acf2-685b-4366-9720-e33d2744d4c6","C67473","Code"
"Millimole per Liter","http://www.cdisc.org","Code_320","2023-12-15","288a20e9-030c-4e5b-ae1c-e021fa17394a","C64387","Code"
"Molarity Unit","http://www.cdisc.org","Code_321","2023-12-15","ade3553c-793a-43ef-b2fe-fa26064ca78b","C64567","Code"
"Biospecimen Type","http://www.cdisc.org","Code_322","2023-12-15","c245278b-d1d6-420f-babb-79c4e182a4e1","C70713","Code"
"No","http://www.cdisc.org","Code_323","2023-12-15","4f8acf76-08a1-4c43-b385-af035f191270","C49487","Code"
"Yes","http://www.cdisc.org","Code_324","2023-12-15","30b7d461-3d21-4e35-ac7c-eb29043bc622","C49488","Code"
"Laboratory Test Fasting Status","http://www.cdisc.org","Code_325","2023-12-15","382cc88b-f051-476d-a941-b191d3e5017d","C83309","Code"
"SODIUM","http://www.cdisc.org","Code_326","2023-12-15","cfe3136a-866e-4bb2-b065-f9d6849252db","C64809","Code"
"SYSBP","http://www.cdisc.org","Code_327","2023-12-15","44d76f3f-35b5-4c5f-8f14-42c5c7e16ba4","C25298","Code"
"Clinical Test Result","http://www.cdisc.org","Code_328","2023-12-15","da9d9a35-5058-4040-9f01-fe853ca809bf","C77140","Code"
"Unit of Pressure","http://www.cdisc.org","Code_329","2023-12-15","28fd7d38-9cf0-4859-9161-3865d4d0ec2d","C49669","Code"
"Sitting","http://www.cdisc.org","Code_330","2023-12-15","414d89b4-3692-4745-9eaf-05dca78dfa20","C62122","Code"
"Standing","http://www.cdisc.org","Code_331","2023-12-15","a4bc6da2-4c0f-4687-bdd5-6a19ff797728","C62166","Code"
"Supine Position","http://www.cdisc.org","Code_332","2023-12-15","3958d8a2-ece0-411f-bf28-3c1d6b4c0499","C62167","Code"
"Body Position","http://www.cdisc.org","Code_333","2023-12-15","8f222716-52e8-4032-ba58-8c67cdd22266","C62164","Code"
"Brachial Artery","http://www.cdisc.org","Code_334","2023-12-15","a0a2a779-9be1-4acb-ba1e-850b4b10f85c","C12681","Code"
"Common Carotid Artery","http://www.cdisc.org","Code_335","2023-12-15","baac0b76-1a5e-44be-83e5-468f6a0409aa","C12687","Code"
"Dorsalis Pedis Artery","http://www.cdisc.org","Code_336","2023-12-15","0247ca1e-3b91-47b7-b5ca-b4445d45e223","C32478","Code"
"Femoral Artery","http://www.cdisc.org","Code_337","2023-12-15","d3f39199-1458-4ab8-9df0-101bb63d17fb","C12715","Code"
"Radial Artery","http://www.cdisc.org","Code_338","2023-12-15","731c0287-c26f-448a-ad97-f7c9ac0f7832","C12838","Code"
"Anatomic Site","http://www.cdisc.org","Code_339","2023-12-15","1908f613-9b27-4f8b-a6c7-f0b7ee658994","C13717","Code"
"Left","http://www.cdisc.org","Code_340","2023-12-15","90afcf8b-c49d-4b39-b3fc-f21fe41032b9","C25229","Code"
"Right","http://www.cdisc.org","Code_341","2023-12-15","56317384-83d3-4a28-8c5b-01ede8b33ec7","C25228","Code"
"Laterality","http://www.cdisc.org","Code_342","2023-12-15","956ac8ea-a7c4-4890-be4e-a044b1dc11b5","C25185","Code"
"SYSBP","http://www.cdisc.org","Code_343","2023-12-15","8a9038c5-35fd-49b2-b176-e6a87b0c7b96","C25298","Code"
"DIABP","http://www.cdisc.org","Code_344","2023-12-15","a416aadb-9361-4df4-be29-3a98de9785f9","C25299","Code"
"Clinical Test Result","http://www.cdisc.org","Code_345","2023-12-15","055fa876-8041-4fec-b79e-d9507385e8d9","C77140","Code"
"Unit of Pressure","http://www.cdisc.org","Code_346","2023-12-15","ec2bea2b-e93b-4e52-9a6b-09074a1cdd77","C49669","Code"
"Sitting","http://www.cdisc.org","Code_347","2023-12-15","dc232595-8b50-4dc2-b7dc-db3470271691","C62122","Code"
"Standing","http://www.cdisc.org","Code_348","2023-12-15","9173fbe2-413e-4f65-9b8c-24c9e2b24e83","C62166","Code"
"Supine Position","http://www.cdisc.org","Code_349","2023-12-15","1819f105-ac6f-4876-a8e2-48b9933230b1","C62167","Code"
"Body Position","http://www.cdisc.org","Code_350","2023-12-15","f42f3a21-4c04-4f18-971e-ba760531b7aa","C62164","Code"
"Brachial Artery","http://www.cdisc.org","Code_351","2023-12-15","0f273913-dbbe-4962-888f-f24c5dd086be","C12681","Code"
"Common Carotid Artery","http://www.cdisc.org","Code_352","2023-12-15","fa945906-034e-4535-ac2b-daedad073b80","C12687","Code"
"Dorsalis Pedis Artery","http://www.cdisc.org","Code_353","2023-12-15","0f28598e-829b-4f06-8cb6-9b0d1254e7a0","C32478","Code"
"Femoral Artery","http://www.cdisc.org","Code_354","2023-12-15","88deb7ec-dda2-4874-8c5c-b35fd257401d","C12715","Code"
"Radial Artery","http://www.cdisc.org","Code_355","2023-12-15","a2812b04-0079-4b01-8733-8f1c65c67b9e","C12838","Code"
"Anatomic Site","http://www.cdisc.org","Code_356","2023-12-15","490a226a-add3-4407-8d62-d216b2dd4dea","C13717","Code"
"Left","http://www.cdisc.org","Code_357","2023-12-15","2d30f799-67cb-477e-82b2-db48f17367a8","C25229","Code"
"Right","http://www.cdisc.org","Code_358","2023-12-15","767e34b2-29c0-4599-8f25-f5a0a80b0219","C25228","Code"
"Laterality","http://www.cdisc.org","Code_359","2023-12-15","57a8298e-8dab-4aa6-9a67-67f7f943cc2d","C25185","Code"
"DIABP","http://www.cdisc.org","Code_360","2023-12-15","ce4e8ba3-2cb6-4b03-9b1b-5f222f611b60","C25299","Code"
"HR","http://www.cdisc.org","Code_361","2023-12-15","5d01466b-d7a6-4975-93c2-e273ff122c87","C49677","Code"
"Clinical Test Result","http://www.cdisc.org","Code_362","2023-12-15","ae500b83-2e34-4708-9b55-7f774239bc4a","C77140","Code"
"Count per Minute","http://www.cdisc.org","Code_363","2023-12-15","baf20341-b782-4ef3-bc2f-1aca97b3ee38","C73688","Code"
"Sitting","http://www.cdisc.org","Code_364","2023-12-15","607da5e9-ef8a-4bef-9df2-5b54323e24c5","C62122","Code"
"Standing","http://www.cdisc.org","Code_365","2023-12-15","13ecb4a8-a78a-4576-8369-22588f025067","C62166","Code"
"Supine Position","http://www.cdisc.org","Code_366","2023-12-15","e2fdb289-5e57-4f58-ace8-b81670b32da1","C62167","Code"
"Body Position","http://www.cdisc.org","Code_367","2023-12-15","34a2d82f-c6f5-40dc-a868-5f4459e116a4","C62164","Code"
"Brachial Artery","http://www.cdisc.org","Code_368","2023-12-15","e17953e0-4a86-4b0d-8ef8-1e1f1efcdcc3","C12681","Code"
"Common Carotid Artery","http://www.cdisc.org","Code_369","2023-12-15","cf0849b2-5ce4-4360-84b5-3eff399bc9fc","C12687","Code"
"Dorsalis Pedis Artery","http://www.cdisc.org","Code_370","2023-12-15","ff094cec-cff0-4e79-a67a-324e3844e128","C32478","Code"
"Femoral Artery","http://www.cdisc.org","Code_371","2023-12-15","53c2960e-ea5d-4e80-9826-18d79ee56310","C12715","Code"
"Radial Artery","http://www.cdisc.org","Code_372","2023-12-15","5d426e17-1aba-4068-ab00-cb7e3cb29a45","C12838","Code"
"Anatomic Site","http://www.cdisc.org","Code_373","2023-12-15","7b25c50c-c093-494f-a262-c7ea9196a6cd","C13717","Code"
"Left","http://www.cdisc.org","Code_374","2023-12-15","ea067280-3e66-4f17-a694-b5fbda083b02","C25229","Code"
"Right","http://www.cdisc.org","Code_375","2023-12-15","f178cb0a-ef5a-4bc2-b3c9-3c2a13032692","C25228","Code"
"Laterality","http://www.cdisc.org","Code_376","2023-12-15","c55a9847-81f7-48be-8a1b-96e4776fecf3","C25185","Code"
"HR","http://www.cdisc.org","Code_377","2023-12-15","63e14227-e1a6-4d82-a34e-6a577f92a807","C49677","Code"
"SYSBP","http://www.cdisc.org","Code_378","2023-12-15","c5824779-234b-406d-96cc-6f287df3b2e3","C25298","Code"
"Clinical Test Result","http://www.cdisc.org","Code_379","2023-12-15","dbdd65de-3473-4214-bc73-e8c6dfad6e35","C77140","Code"
"Unit of Pressure","http://www.cdisc.org","Code_380","2023-12-15","6760c400-e1fc-40d2-bd6b-bb8038374701","C49669","Code"
"Sitting","http://www.cdisc.org","Code_381","2023-12-15","8f85e0db-0ad9-4a32-b019-70b7b66a498a","C62122","Code"
"Standing","http://www.cdisc.org","Code_382","2023-12-15","f1571d8a-dd09-4289-84bc-417931b7cd80","C62166","Code"
