"codeSystem","uuid:ID","codeSystemVersion","instanceType","decode","id","code"
"http://www.cdisc.org","0ce37c27-c20f-4f47-a4e8-8713e7fbdea3","2023-09-29","Code","Beats per Minute","Code_247","C49673"
"NCI Thesaurus","e32b9f23-9205-4d65-b63b-274ec5f285f8","","Code","Count per Minute","Code_248","C73688"
"NCI Thesaurus","930b9fe6-d425-4650-908d-abc3e5947ce3","","Code","Vital Signs Location","Code_249","C83088"
"NCI Thesaurus","aa38de97-83a7-4e3a-9df2-20043c429b2b","","Code","Vital Signs Laterality","Code_250","C123975"
"NCI Thesaurus","297bb428-8582-450b-a602-97a688f33f55","","Code","Test Method","Code_251","C82535"
"NCI Thesaurus","008ca874-a683-4b09-86cb-91344e3e9815","","Code","Vital Signs Position","Code_252","C83114"
"NCI Thesaurus","3c1b18db-623d-4897-b5aa-9ff3f130581a","","Code","Heart Rate","Code_245","C49677"
"NCI Thesaurus","55bba809-7547-4241-b8e3-2373a40e5bfd","","Code","Vital Signs Result","Code_254","C173522"
"http://www.cdisc.org","5bae636a-57b4-4e64-8ada-e76c299a9f2b","2023-09-29","Code","Pascal","Code_255","C42547"
"NCI Thesaurus","a2e61105-dd64-48a7-a82a-a3bccbcbe15f","","Code","Unit of Pressure","Code_256","C49669"
"NCI Thesaurus","67765a55-86e2-476a-845d-a2ea0c55fb64","","Code","Vital Signs Location","Code_257","C83088"
"NCI Thesaurus","a4d73b5b-bdc5-4a9a-aac6-fd144b748b12","","Code","Vital Signs Laterality","Code_258","C123975"
"NCI Thesaurus","22252609-a5a8-4b59-ad59-f819a0251139","","Code","Test Method","Code_259","C82535"
"NCI Thesaurus","2f8a0966-3314-436c-bdd7-eb06d53c0d6a","","Code","Vital Signs Position","Code_260","C83114"
"NCI Thesaurus","583c039c-5ffc-4051-b782-bbdb9df4ce52","","Code","Systolic Blood Pressure","Code_253","C25298"
"NCI Thesaurus","9dacda1c-c54f-40aa-9c70-87311064f5cd","","Code","Vital Signs Result","Code_262","C173522"
"http://www.cdisc.org","a2b3b6c6-e6e3-4460-80d5-1c0a2f22f6b9","2023-09-29","Code","Pascal","Code_263","C42547"
"NCI Thesaurus","2338ed22-3982-45a8-b917-f0e8eb368517","","Code","Unit of Pressure","Code_264","C49669"
"NCI Thesaurus","995fcb44-3056-4847-810e-5a9601c700ef","","Code","Vital Signs Location","Code_265","C83088"
"NCI Thesaurus","70522049-dec1-4991-a969-f46090de29dc","","Code","Vital Signs Laterality","Code_266","C123975"
"NCI Thesaurus","73ee6bad-4110-4a95-a9a6-50d4eb0f65c8","","Code","Test Method","Code_267","C82535"
"NCI Thesaurus","73922ca5-3549-4d4b-81bc-4bf7624fce9c","","Code","Vital Signs Position","Code_268","C83114"
"NCI Thesaurus","90349c14-ea21-43a9-9bbf-9725c0cacf09","","Code","Diastolic Blood Pressure","Code_261","C25299"
"NCI Thesaurus","e9e944e4-67a7-4eac-a5c6-1e39063e9020","","Code","Vital Signs Result","Code_270","C173522"
"http://www.cdisc.org","f6c6cf51-df1e-4472-a18b-4310a2981f07","2023-09-29","Code","Beats per Minute","Code_271","C49673"
"NCI Thesaurus","a8e9acfb-90c6-414e-a318-0e74dbd8d443","","Code","Count per Minute","Code_272","C73688"
"NCI Thesaurus","87225d66-fbac-4816-abd7-6c468c37a32e","","Code","Vital Signs Location","Code_273","C83088"
"NCI Thesaurus","9be75d3e-afaf-48cb-ade3-596c52818ed0","","Code","Vital Signs Laterality","Code_274","C123975"
"NCI Thesaurus","ee6ca571-e9ac-4d5f-82c7-6fc89621ffb4","","Code","Test Method","Code_275","C82535"
"NCI Thesaurus","208220d1-11d5-4c74-baf2-9b381bcb2ff4","","Code","Vital Signs Position","Code_276","C83114"
"NCI Thesaurus","d7903c16-a3e8-4539-add4-ea4875131af5","","Code","Heart Rate","Code_269","C49677"
"http://www.cdisc.org","30c448d5-3522-421e-806b-9a0e23ae4f8f","2023-09-29","Code","Placebo Comparator Arm","Code_122","C174268"
"http://www.cdisc.org","38f3401d-7ab3-480f-b14a-a7e4b7e70049","2023-09-29","Code","Data Generated Within Study","Code_123","C188866"
"http://www.cdisc.org","54bcb4d8-8254-428d-9ddf-9e4baf5985d8","2023-09-29","Code","Active Comparator Arm","Code_124","C174267"
"http://www.cdisc.org","5e44d4ac-eab8-4faa-9a6d-d9846caa217f","2023-09-29","Code","Data Generated Within Study","Code_125","C188866"
"http://www.cdisc.org","1ea22f02-a7d8-4d0c-b44d-5fe1d1de6a61","2023-09-29","Code","Active Comparator Arm","Code_126","C174267"
"http://www.cdisc.org","49cfe435-5d44-4806-a19d-9e616352dd66","2023-09-29","Code","Data Generated Within Study","Code_127","C188866"
"http://www.cdisc.org","033ae45a-47eb-4f10-8128-e49ae47001e8","2023-09-29","Code","Double Blind Study","Code_135","C15228"
"http://www.cdisc.org","0a1901a7-627b-4d21-809d-a694871344bd","2023-09-29","Code","Trial Screening","Code_128","C48262"
"http://www.cdisc.org","f16f65ff-3038-4e5c-a618-c5445b929501","2023-09-29","Code","Treatment Epoch","Code_129","C101526"
"http://www.cdisc.org","0d1061f3-def8-4f50-b118-f76530f5bfa4","2023-09-29","Code","Treatment Epoch","Code_130","C101526"
"http://www.cdisc.org","98bb1a00-c107-4d99-8fc0-04ca015e488c","2023-09-29","Code","Treatment Epoch","Code_131","C101526"
"http://www.cdisc.org","ab11a370-3149-4d53-adcf-46df70fd4d6f","2023-09-29","Code","Clinical Study Follow-up","Code_132","C99158"
"ICD-10-CM","417e01e2-586e-4c0a-b62f-5d72ba1536e4","1","Code","Alzheimer's disease; unspecified","Code_330","G30.9"
"SNOMED","e3c6be18-7a8c-4ce1-83f0-aed136d702ac","January 31, 2018","Code","Alzheimer's disease","Code_331","26929004"
"http://www.cdisc.org","7fae5f4e-442f-41d5-a485-423d6282104d","2023-09-29","Code","Sponsor","Code_141","C70793"
"http://www.cdisc.org","1845f2d6-a878-4a3f-b613-12ae9fd441c6","2023-09-29","Code","Trial Primary Objective","Code_335","C85826"
"http://www.cdisc.org","3bcb8ff7-fcfd-4602-b600-19fb072d3e5c","2023-09-29","Code","Primary Endpoint","Code_334","C94496"
"http://www.cdisc.org","843cc3fa-ace2-49be-a687-793c3488443a","2023-09-29","Code","Primary Endpoint","Code_336","C94496"
"http://www.cdisc.org","a190779f-86ae-445a-aaf3-6bb718229431","2023-09-29","Code","Trial Primary Objective","Code_338","C85826"
"http://www.cdisc.org","7ccf7555-2a55-4f63-86ba-00807fe9f1a2","2023-09-29","Code","Primary Endpoint","Code_337","C94496"
"http://www.cdisc.org","7395bad3-269f-4482-9a97-981ad3763c28","2023-09-29","Code","Primary Endpoint","Code_339","C94496"
"http://www.cdisc.org","8a62cb1d-dd70-40f4-92ce-a6ea4a99707e","2023-09-29","Code","Primary Endpoint","Code_340","C94496"
"http://www.cdisc.org","42c1ad46-f17d-4800-a4e6-6519043fd336","2023-09-29","Code","Trial Secondary Objective","Code_342","C85827"
"http://www.cdisc.org","4d55d6c1-2f93-4402-af05-63ff97916a89","2023-09-29","Code","Secondary Endpoint","Code_341","C139173"
"http://www.cdisc.org","b6120acb-53ba-4e0a-8e60-3d7b4eedd379","2023-09-29","Code","Secondary Endpoint","Code_343","C139173"
"http://www.cdisc.org","c89ab3cb-95eb-4bce-a25f-c06b1a6b30ef","2023-09-29","Code","Secondary Endpoint","Code_344","C139173"
"http://www.cdisc.org","d9af746c-87c2-4988-a538-9da34b1bfa10","2023-09-29","Code","Inclusion Criteria","Code_345","C25532"
"http://www.cdisc.org","eb261daf-4ff7-4577-9c04-00c1430c1eeb","2023-09-29","Code","Inclusion Criteria","Code_346","C25532"
"http://www.cdisc.org","89e4eeac-f339-4e27-8cfd-998493569717","2023-09-29","Code","Inclusion Criteria","Code_347","C25532"
"http://www.cdisc.org","f1abdf3c-bac0-46b5-83c2-b90f8a6abfb5","2023-09-29","Code","Exclusion Criteria","Code_348","C25370"
"http://www.cdisc.org","921ba7e9-de9d-4919-90a0-9533e7e7bd1e","2023-09-29","Code","Year","Code_332","C29848"
"http://www.cdisc.org","4f524c8f-c344-4ac4-ad97-15365de92a84","2023-09-29","Code","Before","Code_14","C201264"
"http://www.cdisc.org","4437f6f3-622c-4b6b-a73a-d940d7f0311a","2023-09-29","Code","Start to Start","Code_15","C201265"
"http://www.cdisc.org","a9125afe-c2d3-4d94-a227-8983f62cfaef","2023-09-29","Code","Before","Code_16","C201264"
"http://www.cdisc.org","12827b8e-6fa6-43fc-bb9a-518fbdc1b645","2023-09-29","Code","Start to Start","Code_17","C201265"
"http://www.cdisc.org","808fd57b-6083-471a-9334-cb258cc01e96","2023-09-29","Code","Fixed Reference","Code_19","C201264"
"http://www.cdisc.org","50357a1b-7184-45e6-a678-678d3c5df555","2023-09-29","Code","Start to Start","Code_20","C201265"
"http://www.cdisc.org","32cb54b8-c1b7-4e87-b0ca-7ffbb4ae642b","2023-09-29","Code","After","Code_21","C201264"
"http://www.cdisc.org","54090d65-a98e-4e52-bc1c-026ee58a614a","2023-09-29","Code","Start to Start","Code_22","C201265"
"http://www.cdisc.org","a1388cc9-18d5-4244-bcac-99d826e90d71","2023-09-29","Code","After","Code_24","C201264"
"http://www.cdisc.org","d92759a9-3b1e-438f-b644-05f11a152138","2023-09-29","Code","Start to Start","Code_25","C201265"
"http://www.cdisc.org","13208838-83e7-4cf7-bba9-8306645d64f2","2023-09-29","Code","After","Code_27","C201264"
"http://www.cdisc.org","c9e17195-7017-4ce6-a87a-b9f9c107d25f","2023-09-29","Code","Start to Start","Code_28","C201265"
"http://www.cdisc.org","2643f227-dc92-45e2-b30f-b6b7c010b4a0","2023-09-29","Code","After","Code_30","C201264"
"http://www.cdisc.org","d5f94db1-7a60-4474-b08e-37f76f8b584a","2023-09-29","Code","Start to Start","Code_31","C201265"
"http://www.cdisc.org","8fceb4e7-e917-4352-b247-e262f0497a9d","2023-09-29","Code","After","Code_35","C201264"
"http://www.cdisc.org","5ac41b94-672c-47f7-ab97-b1caee348e09","2023-09-29","Code","Start to Start","Code_36","C201265"
"http://www.cdisc.org","87d3791d-93c8-413d-b47b-e6e0350d0aff","2023-09-29","Code","After","Code_40","C201264"
"http://www.cdisc.org","4bbcc289-039d-47e7-8c5e-52d331787a14","2023-09-29","Code","Start to Start","Code_41","C201265"
"http://www.cdisc.org","3aefc7f6-95ca-4949-b2f5-7ec6f1ede0f1","2023-09-29","Code","After","Code_45","C201264"
"http://www.cdisc.org","0eb18938-fa27-46f0-a292-abab4a42484f","2023-09-29","Code","Start to Start","Code_46","C201265"
"http://www.cdisc.org","fb054660-99c9-4722-ab13-17353732a9d3","2023-09-29","Code","After","Code_50","C201264"
"http://www.cdisc.org","a29bdc2c-da09-47d9-b3c1-0bfda7340f98","2023-09-29","Code","Start to Start","Code_51","C201265"
"http://www.cdisc.org","c188b179-a22e-42b5-8dfd-f0895b37baeb","2023-09-29","Code","After","Code_53","C201264"
"http://www.cdisc.org","884095ca-a524-45da-90da-8a0d097f3356","2023-09-29","Code","Start to Start","Code_54","C201265"
"http://www.cdisc.org","5d7bd4fe-d5ef-4c86-b9ce-be9a4393add4","2023-09-29","Code","After","Code_33","C201264"
"http://www.cdisc.org","ae5d2c1c-40ae-433e-aaea-0ddde652c78b","2023-09-29","Code","Start to Start","Code_34","C201265"
"http://www.cdisc.org","6ba319b0-e6b9-4ac6-b83f-bf463f125124","2023-09-29","Code","After","Code_38","C201264"
"http://www.cdisc.org","f98cf2d6-a4f6-46c9-92a7-303acb4e01bb","2023-09-29","Code","Start to Start","Code_39","C201265"
"http://www.cdisc.org","de80d5af-d1a5-46a6-870f-66443bf27d1d","2023-09-29","Code","After","Code_43","C201264"
"http://www.cdisc.org","87b3ff16-b724-4756-89ec-875931606324","2023-09-29","Code","Start to Start","Code_44","C201265"
"http://www.cdisc.org","188e534d-d480-4923-9250-173fb3891ffe","2023-09-29","Code","After","Code_48","C201264"
"http://www.cdisc.org","4a21b0d8-4b67-48d0-ba6e-85c148804f2b","2023-09-29","Code","Start to Start","Code_49","C201265"
"http://www.cdisc.org","7e9072db-8457-4ba5-888a-16c427b1a713","2023-09-29","Code","Fixed Reference","Code_56","C201264"
"http://www.cdisc.org","8be28a06-0076-4df4-af9a-c9ca870f5c33","2023-09-29","Code","Start to Start","Code_57","C201265"
"http://www.cdisc.org","5d7b22be-731e-462c-879f-85febd2fbccf","2023-09-29","Code","Fixed Reference","Code_58","C201264"
"http://www.cdisc.org","69ac4cc2-14b3-4208-ae36-1c8093d1b52a","2023-09-29","Code","Start to Start","Code_59","C201265"
"http://www.cdisc.org","5b91fe91-c195-4c86-996e-8ab0d28f4d62","2023-09-29","Code","Fixed Reference","Code_60","C201264"
"http://www.cdisc.org","b5526b98-64fc-48cb-831a-7c1cea4ae01a","2023-09-29","Code","Start to Start","Code_61","C201265"
"http://www.cdisc.org","8e31c80c-b583-420f-a724-b5e265d6ca34","2023-09-29","Code","After","Code_62","C201264"
"http://www.cdisc.org","7362fdf5-862d-4b5e-9754-8cef3e89fe42","2023-09-29","Code","Start to Start","Code_63","C201265"
"http://www.cdisc.org","3026068d-6bb5-428a-ad61-3d7ed36405ea","2023-09-29","Code","After","Code_64","C201264"
"http://www.cdisc.org","d328ddb0-b653-46cb-ab59-6a43c3206b06","2023-09-29","Code","End to Start","Code_65","C201265"
"http://www.cdisc.org","d1348401-fe1f-4ad5-8898-7ed850e14895","2023-09-29","Code","After","Code_66","C201264"
"http://www.cdisc.org","258427e3-7031-45ce-bb1f-75079a1aead3","2023-09-29","Code","Start to Start","Code_67","C201265"
"http://www.cdisc.org","041eaed0-ead7-4f46-90a0-3688d82a0e86","2023-09-29","Code","After","Code_68","C201264"
"http://www.cdisc.org","a8583b58-0f6f-441b-93ff-72a16faa77a8","2023-09-29","Code","End to Start","Code_69","C201265"
"http://www.cdisc.org","10ed6e2d-d2b5-421d-b30d-133cc09fbd37","2023-09-29","Code","After","Code_70","C201264"
"http://www.cdisc.org","31fa5961-d715-4933-b723-bcefe263a6a2","2023-09-29","Code","Start to Start","Code_71","C201265"
"http://www.cdisc.org","b1aeeed2-d080-4c48-bfcc-2a3153e29e90","2023-09-29","Code","Clinical Study Sponsor","Code_349","C70793"
"ISO 3166 1 alpha3","a0f5545a-72af-42e8-82dd-4f8f86d9dca0","2020-08","Code","United Kingdom of Great Britain and Northern Ireland","Code_350","GBR"
"http://www.cdisc.org","18d52ca8-6fed-4a25-94fa-50949282ece8","2023-09-29","Code","Study Acronym","Code_3","C94108"
"http://www.cdisc.org","6c98f68e-4331-4d47-af1e-dfdcc09b7251","2023-09-29","Code","Brief Study Title","Code_5","C99905x1"
"http://www.cdisc.org","b1134a87-1dad-436e-ab00-d7e0c19e1988","2023-09-29","Code","Official Study Title","Code_6","C99905x2"
"http://www.cdisc.org","122199de-c450-43b4-9967-36aedb8e9fd1","2023-09-29","Code","Public Study Title","Code_7","C99905x3"
"http://www.cdisc.org","2bbad223-d7c3-4fab-b59b-971ab0e77667","2023-09-29","Code","Final","Code_8","C25508"
"http://www.cdisc.org","bcd8b37a-6de9-43d1-bdc1-578f6c320039","2023-09-29","Code","Protocol Effective Date","Code_11","C99903x1"
"http://www.cdisc.org","389a7c51-b3df-4ada-8e8d-6322cef0fa8d","2023-09-29","Code","Region","Code_13","C41129"
"ISO 3166 1 alpha3","c18aec34-9c4a-4cb5-af95-c6e528161131","2020-08","Code","Europe","Code_12","150"
