"decode","uuid:ID","codeSystem","instanceType","code","codeSystemVersion","id"
"Yes","bc60ca41-c718-452a-9f1d-2b385861cec1","http://www.cdisc.org","Code","C49488","2023-12-15","Code_168"
"Disabling Adverse Event","b0a9a0ba-ebbe-4e60-a4a6-fabbc6bad2a7","http://www.cdisc.org","Code","C113380","2023-12-15","Code_169"
"No","270662f5-82a3-4203-a495-11e0878cd176","http://www.cdisc.org","Code","C49487","2023-12-15","Code_170"
"Yes","5c3dcd23-1935-4a1b-9a73-13fbab257320","http://www.cdisc.org","Code","C49488","2023-12-15","Code_171"
"Death Related to Adverse Event","76d976ac-f170-4535-8f8d-2a84d9ecc37b","http://www.cdisc.org","Code","C48275","2023-12-15","Code_172"
"No","2c44d332-394c-4baf-967d-da1b2c602df8","http://www.cdisc.org","Code","C49487","2023-12-15","Code_173"
"Yes","8d03b517-5f66-4ed2-a327-23f6a3703dbe","http://www.cdisc.org","Code","C49488","2023-12-15","Code_174"
"Adverse Event associated with Hospitalization","934f2f2f-dfcd-49d7-85a1-70b76816920e","http://www.cdisc.org","Code","C83052","2023-12-15","Code_175"
"No","ee551252-95dd-440b-96d1-15f299d21786","http://www.cdisc.org","Code","C49487","2023-12-15","Code_176"
"Yes","72960245-df90-4312-8a49-346fb43aa9eb","http://www.cdisc.org","Code","C49488","2023-12-15","Code_177"
"Life Threatening Adverse Event","2aaf999e-2682-4d81-92cf-82d8be32c910","http://www.cdisc.org","Code","C84266","2023-12-15","Code_178"
"No","eeaa6bd3-a5c6-47fa-a6ea-9c9e51d5c1c7","http://www.cdisc.org","Code","C49487","2023-12-15","Code_179"
"Yes","59c0f941-a3f3-477f-8baf-51d63e185eb8","http://www.cdisc.org","Code","C49488","2023-12-15","Code_180"
"Adverse Event Occurred with Overdose","b85e8d88-1810-4335-970b-28050d340600","http://www.cdisc.org","Code","C83214","2023-12-15","Code_181"
"No","11042cf5-83e2-4f87-a2e0-a49bc93716a9","http://www.cdisc.org","Code","C49487","2023-12-15","Code_182"
"Yes","1b08f8aa-3887-424c-aff6-f867294fcf34","http://www.cdisc.org","Code","C49488","2023-12-15","Code_183"
"Adverse Event Associated with Serious Medical Event","9e4a2fd7-bbf3-424a-a322-48ddcb579d5b","http://www.cdisc.org","Code","C83053","2023-12-15","Code_184"
"No","709d2209-0e54-48f9-8dac-4395c710e143","http://www.cdisc.org","Code","C49487","2023-12-15","Code_185"
"Yes","546663c6-3cf8-4cca-a203-95957d344ac4","http://www.cdisc.org","Code","C49488","2023-12-15","Code_186"
"Adverse Event Concomitant Treatment","509a2da8-2c47-44e5-8aed-a6b6546c61fc","http://www.cdisc.org","Code","C83199","2023-12-15","Code_187"
"Adverse Event Start Date Time","7e495bfe-725e-4fbb-87f2-f38c9af109b5","http://www.cdisc.org","Code","C83215","2023-12-15","Code_188"
"Adverse Event End Date Time","6a9e7689-d6f1-40fd-bd5a-cea1f1b17c6a","http://www.cdisc.org","Code","C83201","2023-12-15","Code_189"
"Solicited Adverse Event","539de54f-b1f4-4644-86d5-6c17dd3cd2b6","http://www.cdisc.org","Code","C179175","2023-12-15","Code_190"
"SYSBP","ec399167-f232-45b1-89ac-b3cf8f6d7f02","http://www.cdisc.org","Code","C25298","2023-12-15","Code_191"
"Clinical Test Result","a0dd2ce3-c590-4df2-9cba-bf1b10c1d320","http://www.cdisc.org","Code","C77140","2023-12-15","Code_192"
"Unit of Pressure","f9dd446b-3c80-4e68-94f7-a0c327ec6b4b","http://www.cdisc.org","Code","C49669","2023-12-15","Code_193"
"Sitting","247aff70-725d-4509-99f6-68946842e709","http://www.cdisc.org","Code","C62122","2023-12-15","Code_194"
"Standing","b7d7f466-335f-4b72-ae25-b3695ed543aa","http://www.cdisc.org","Code","C62166","2023-12-15","Code_195"
"Supine Position","0d7c4362-ed8a-40a9-99e9-2f6c89fa28a1","http://www.cdisc.org","Code","C62167","2023-12-15","Code_196"
"Body Position","8452c79d-75cb-4413-a076-e51063d36862","http://www.cdisc.org","Code","C62164","2023-12-15","Code_197"
"Brachial Artery","87b4e4b6-7e57-41e6-a0bc-3053c2cda886","http://www.cdisc.org","Code","C12681","2023-12-15","Code_198"
"Common Carotid Artery","c1f749df-fb09-4f63-a830-53ec9c3480b9","http://www.cdisc.org","Code","C12687","2023-12-15","Code_199"
"Dorsalis Pedis Artery","93917a6c-ee26-42f0-8bcb-2f0285a27c07","http://www.cdisc.org","Code","C32478","2023-12-15","Code_200"
"Femoral Artery","d1239d6b-410f-48cc-8fad-09faa3c753bc","http://www.cdisc.org","Code","C12715","2023-12-15","Code_201"
"Radial Artery","fb5fcf65-1614-4f86-baa2-5819b6091a1e","http://www.cdisc.org","Code","C12838","2023-12-15","Code_202"
"Anatomic Site","8e8cb9d1-5cd8-45cd-abfb-5c3aebe81578","http://www.cdisc.org","Code","C13717","2023-12-15","Code_203"
"Left","69280a13-17a3-48b8-bb7d-ef78f7348bf6","http://www.cdisc.org","Code","C25229","2023-12-15","Code_204"
"Right","42ba77f6-dd90-4850-a05d-08ca3ab454ff","http://www.cdisc.org","Code","C25228","2023-12-15","Code_205"
"Laterality","6dbadb3b-8b53-4945-a7ca-920d62f2862e","http://www.cdisc.org","Code","C25185","2023-12-15","Code_206"
"SYSBP","80a380ce-b9da-4e15-aa5d-ea2eee3cf0df","http://www.cdisc.org","Code","C25298","2023-12-15","Code_207"
"DIABP","17e119d9-9a95-4e2e-a1e4-59a5422c0cca","http://www.cdisc.org","Code","C25299","2023-12-15","Code_208"
"Clinical Test Result","4169c20e-4414-4b34-bb39-9f9a545d2ba5","http://www.cdisc.org","Code","C77140","2023-12-15","Code_209"
"Unit of Pressure","e51d1252-1ff2-4e01-9c41-dfc4ee7c4347","http://www.cdisc.org","Code","C49669","2023-12-15","Code_210"
"Sitting","d69861bd-6243-49e6-8e23-dc9fd9146b73","http://www.cdisc.org","Code","C62122","2023-12-15","Code_211"
"Standing","a7c06b3e-dc55-4146-828f-8e8499f5baa1","http://www.cdisc.org","Code","C62166","2023-12-15","Code_212"
"Supine Position","fa4a3341-46c3-498f-a4a4-8034d675548b","http://www.cdisc.org","Code","C62167","2023-12-15","Code_213"
"Body Position","14d44717-5134-407c-973c-9c511067ac13","http://www.cdisc.org","Code","C62164","2023-12-15","Code_214"
"Brachial Artery","dbbc0875-4df8-4b31-bc0c-7b5f6df46539","http://www.cdisc.org","Code","C12681","2023-12-15","Code_215"
"Common Carotid Artery","f96860bb-e70a-48b6-8a8d-4b3b77c23f88","http://www.cdisc.org","Code","C12687","2023-12-15","Code_216"
"Dorsalis Pedis Artery","22656b08-f155-4297-be09-a2416a60284e","http://www.cdisc.org","Code","C32478","2023-12-15","Code_217"
"Femoral Artery","fd9d26c2-a287-4107-86b0-57284695e5c7","http://www.cdisc.org","Code","C12715","2023-12-15","Code_218"
"Radial Artery","146dc6dd-36b2-4178-ba48-ca72be0b3eec","http://www.cdisc.org","Code","C12838","2023-12-15","Code_219"
"Anatomic Site","00e577da-2a71-41d0-8f20-aeb12af36231","http://www.cdisc.org","Code","C13717","2023-12-15","Code_220"
"Left","7bd61da1-35be-4bb0-8b37-cb7ed5910368","http://www.cdisc.org","Code","C25229","2023-12-15","Code_221"
"Right","6aecffd1-8868-4edf-a323-3df5793c68a5","http://www.cdisc.org","Code","C25228","2023-12-15","Code_222"
"Laterality","a62a0bff-782e-4e6b-8c33-1e67432925fb","http://www.cdisc.org","Code","C25185","2023-12-15","Code_223"
"DIABP","86cec249-fa8a-48db-afec-9196058f9c97","http://www.cdisc.org","Code","C25299","2023-12-15","Code_224"
"TEMP","91db6125-d066-4fc3-8206-a2596a125596","http://www.cdisc.org","Code","C174446","2023-12-15","Code_225"
"Clinical Test Result","dc42cc75-28a1-4dd6-9b95-1f630b7cf6e1","http://www.cdisc.org","Code","C77140","2023-12-15","Code_226"
"Degree Celsius","19dcb280-58d2-49eb-918e-d80744d3ecdf","http://www.cdisc.org","Code","C42559","2023-12-15","Code_227"
"Degree Fahrenheit","95ad6862-bd3f-4d9a-8e99-4188df5f5025","http://www.cdisc.org","Code","C44277","2023-12-15","Code_228"
"Kelvin","7adadc64-3061-4cba-a334-52698456e6fd","http://www.cdisc.org","Code","C42537","2023-12-15","Code_229"
"Unit of Temperature","5501edda-2ca3-414d-a508-30322a5b7965","http://www.cdisc.org","Code","C44276","2023-12-15","Code_230"
"Axilla","08fa7f3b-0183-4893-9e91-e0ee13b396d2","http://www.cdisc.org","Code","C12674","2023-12-15","Code_231"
"Ear","dad699d8-b726-4ab8-b4aa-66e4c349f043","http://www.cdisc.org","Code","C12394","2023-12-15","Code_232"
"Forehead","e81d5d8a-fec4-4631-9c29-b063b3744b74","http://www.cdisc.org","Code","C89803","2023-12-15","Code_233"
"Oral Cavity","21241855-de05-4fc8-8bf6-69c724b6d45f","http://www.cdisc.org","Code","C12421","2023-12-15","Code_234"
"Rectum","321dcdbe-13c2-497e-b57f-7903f215547a","http://www.cdisc.org","Code","C12390","2023-12-15","Code_235"
"Anatomic Site","aa44be03-b325-472e-9811-9e16b4decb0e","http://www.cdisc.org","Code","C13717","2023-12-15","Code_236"
"TEMP","6c29ab08-4458-4a34-bf89-54dbd2c4a09b","http://www.cdisc.org","Code","C174446","2023-12-15","Code_237"
"WEIGHT","83aef658-d815-4959-871c-d5850839e574","http://www.cdisc.org","Code","C25208","2023-12-15","Code_238"
"Clinical Test Result","77494669-ce2e-4565-97fb-577a9fefbaa9","http://www.cdisc.org","Code","C77140","2023-12-15","Code_239"
"Pound","e59a4a7b-9bbf-4989-a11b-532021106999","http://www.cdisc.org","Code","C48531","2023-12-15","Code_240"
"Gram","98e6264d-d184-43b1-bd51-f864e7ad735b","http://www.cdisc.org","Code","C48155","2023-12-15","Code_241"
"Kilogram","c8d1d224-f4c7-45d8-aca0-6d26b088274d","http://www.cdisc.org","Code","C28252","2023-12-15","Code_242"
"Unit of Weight","034fe179-97d8-44e9-9e2d-b9813c02f0a1","http://www.cdisc.org","Code","C48208","2023-12-15","Code_243"
"WEIGHT","cce0ba8b-fe68-4422-9660-dc08eb982c8c","http://www.cdisc.org","Code","C25208","2023-12-15","Code_244"
"HEIGHT","1a44769a-eead-4b26-b52e-3fcb3ffc734d","http://www.cdisc.org","Code","C25347","2023-12-15","Code_245"
"Clinical Test Result","4f9d6ce1-0d05-49f0-aa11-0f4a1d462e7c","http://www.cdisc.org","Code","C77140","2023-12-15","Code_246"
"Centimeter","9284ac5a-0287-41ac-806f-0898157b1cef","http://www.cdisc.org","Code","C49668","2023-12-15","Code_247"
"Inch","27f16c82-4734-492f-ab6c-152f56a35a3a","http://www.cdisc.org","Code","C48500","2023-12-15","Code_248"
"Meter","2fe7f612-fc07-41b3-a9d3-33d41448ceae","http://www.cdisc.org","Code","C41139","2023-12-15","Code_249"
"Unit of Height","963bb335-9b5c-4df0-8263-a5c13244f3cb","http://www.cdisc.org","Code","C168688","2023-12-15","Code_250"
"HEIGHT","4293c49d-9ee2-41a5-99dc-432e3640053e","http://www.cdisc.org","Code","C25347","2023-12-15","Code_251"
"ALT","53ffb1e6-724f-4c3b-bf84-646b070b2996","http://www.cdisc.org","Code","C64433","2023-12-15","Code_252"
"Laboratory Test Result","b491c839-25f0-41fe-a793-d9b5601dfab7","http://www.cdisc.org","Code","C36292","2023-12-15","Code_253"
"Unit per Liter","4121671f-f9de-4f10-9cdc-a986de47ef1e","http://www.cdisc.org","Code","C67456","2023-12-15","Code_254"
"Microkatal per Liter","9cd15dcb-93d8-44d7-9633-94d73df1e046","http://www.cdisc.org","Code","C67397","2023-12-15","Code_255"
"International Unit per Liter","4268e093-9807-4531-bb3e-50b0358534d3","http://www.cdisc.org","Code","C67376","2023-12-15","Code_256"
"Nanokatal per Liter","e1b1972c-7634-4ba1-8324-756b8a2949a1","http://www.cdisc.org","Code","C70510","2023-12-15","Code_257"
"Unit of Catalytic Activity Concentration","79fbe0b8-4ab3-428d-9c04-8f1a3bd8c578","http://www.cdisc.org","Code","C67365","2023-12-15","Code_258"
"Biospecimen Type","3fb00b16-67d2-4460-8529-d5e08b5ae710","http://www.cdisc.org","Code","C70713","2023-12-15","Code_259"
"No","fd5b6bd7-53ad-49a0-baa7-fefb5bea50e9","http://www.cdisc.org","Code","C49487","2023-12-15","Code_260"
"Yes","ac403233-fdfd-4aa0-afa2-735cf1a648e0","http://www.cdisc.org","Code","C49488","2023-12-15","Code_261"
"Laboratory Test Fasting Status","0c77e8c9-3868-444d-8813-2df2c8521ea5","http://www.cdisc.org","Code","C83309","2023-12-15","Code_262"
"ALT","8751d1d0-725b-4e3a-b69c-8402babcebae","http://www.cdisc.org","Code","C64433","2023-12-15","Code_263"
"ALB","2c9e27ef-354a-46dd-bac4-3a470b103c62","http://www.cdisc.org","Code","C64431","2023-12-15","Code_264"
"Laboratory Test Result","68705169-ac4b-45db-a11e-a11582b2292c","http://www.cdisc.org","Code","C36292","2023-12-15","Code_265"
"Biospecimen Type","138b19b3-114a-4f80-ada1-f77fc7c9fcc7","http://www.cdisc.org","Code","C70713","2023-12-15","Code_266"
"No","cb5716b5-3b37-4262-bb81-33ddb722f0ef","http://www.cdisc.org","Code","C49487","2023-12-15","Code_267"
"Yes","fc3ff8d2-87aa-4201-ae79-f1d79c13f4fb","http://www.cdisc.org","Code","C49488","2023-12-15","Code_268"
"Laboratory Test Fasting Status","af95521b-e527-4c5f-beb3-5cb1891b4be0","http://www.cdisc.org","Code","C83309","2023-12-15","Code_269"
"ALB","33cf0e38-1b03-4eaa-bdc9-e622336fbf2f","http://www.cdisc.org","Code","C64431","2023-12-15","Code_270"
"ALP","bb5ef228-23b2-43e0-8451-770e95b90a41","http://www.cdisc.org","Code","C64432","2023-12-15","Code_271"
"Laboratory Test Result","866769ff-337a-4c13-b249-7afff6b9701c","http://www.cdisc.org","Code","C36292","2023-12-15","Code_272"
"Unit per Liter","c9a7d6f8-8496-4dcb-86d1-ca3df6ba053a","http://www.cdisc.org","Code","C67456","2023-12-15","Code_273"
"Microkatal per Liter","b790abe5-15f6-4857-bd89-0f12403e996f","http://www.cdisc.org","Code","C67397","2023-12-15","Code_274"
"International Unit per Liter","52ac5c80-4e39-4baf-a346-92429b229acf","http://www.cdisc.org","Code","C67376","2023-12-15","Code_275"
"Unit of Catalytic Activity Concentration","614e4a48-8d20-42c8-90ad-a794592ae033","http://www.cdisc.org","Code","C67365","2023-12-15","Code_276"
"Biospecimen Type","1798369f-b3bf-4a2c-ad6b-d7eb12a64c7f","http://www.cdisc.org","Code","C70713","2023-12-15","Code_277"
"No","8b1fb077-43a2-4085-9162-cdeaa45acb02","http://www.cdisc.org","Code","C49487","2023-12-15","Code_278"
"Yes","bc029472-7d08-4cea-9346-b29d81e40f70","http://www.cdisc.org","Code","C49488","2023-12-15","Code_279"
"Laboratory Test Fasting Status","c79579b0-0ec7-4532-ba8e-13b21ab12835","http://www.cdisc.org","Code","C83309","2023-12-15","Code_280"
"ALP","4acf2954-0b6d-46c8-9f02-b65e15750bfe","http://www.cdisc.org","Code","C64432","2023-12-15","Code_281"
"AST","fcc1919a-c402-40ad-8416-c324295553cc","http://www.cdisc.org","Code","C64467","2023-12-15","Code_282"
"Laboratory Test Result","3a747279-ce68-4038-8504-b38f8de04825","http://www.cdisc.org","Code","C36292","2023-12-15","Code_283"
"Unit per Liter","aa4575b6-33d9-4922-b7e7-97527f1d84b4","http://www.cdisc.org","Code","C67456","2023-12-15","Code_284"
"Microkatal per Liter","b378b6e8-276f-45a4-b3bb-900c4b18e959","http://www.cdisc.org","Code","C67397","2023-12-15","Code_285"
"International Unit per Liter","743abcee-f982-4377-b428-7c6e2c6b3fd6","http://www.cdisc.org","Code","C67376","2023-12-15","Code_286"
"Unit of Catalytic Activity Concentration","08f879ec-46cf-46e6-9d05-884c99445e18","http://www.cdisc.org","Code","C67365","2023-12-15","Code_287"
"Biospecimen Type","44a5363d-d2a6-4aec-8a32-a4458c7b964d","http://www.cdisc.org","Code","C70713","2023-12-15","Code_288"
"No","33e39bf1-6657-49b9-b751-338a8acc0f20","http://www.cdisc.org","Code","C49487","2023-12-15","Code_289"
"Yes","d572057d-9097-4b9a-81be-2d151761f945","http://www.cdisc.org","Code","C49488","2023-12-15","Code_290"
"Laboratory Test Fasting Status","3053a500-cc4a-472c-bd0c-f5ef923b27a6","http://www.cdisc.org","Code","C83309","2023-12-15","Code_291"
"AST","5d100e8a-f67c-41f3-89a5-4da91a97f9b1","http://www.cdisc.org","Code","C64467","2023-12-15","Code_292"
"CREAT","51f956ea-12f7-4e00-83d9-93f5c984b39f","http://www.cdisc.org","Code","C64547","2023-12-15","Code_293"
"Laboratory Test Result","854f6aba-7d12-4f68-b409-a52e53a5a4ab","http://www.cdisc.org","Code","C36292","2023-12-15","Code_294"
"Milligram per Deciliter","121d1813-0272-4cca-8020-e6e0c3b7e634","http://www.cdisc.org","Code","C67015","2023-12-15","Code_295"
"Microgram per Milliliter","eccf2aa7-fea8-48df-a034-c657fe29d438","http://www.cdisc.org","Code","C64572","2023-12-15","Code_296"
"Millimole per Liter","dce5c03e-3137-4727-ad64-b7a42f408a43","http://www.cdisc.org","Code","C64387","2023-12-15","Code_297"
"Micromole per Liter","4fb304f8-51ae-43b9-8aaa-839d1e359114","http://www.cdisc.org","Code","C48508","2023-12-15","Code_298"
"Unit of Concentration","e61204c5-70f0-4fb8-9dbb-06141f14a4fd","http://www.cdisc.org","Code","C48207","2023-12-15","Code_299"
"Biospecimen Type","b59438a6-d079-4f8a-9912-a6b72fe04158","http://www.cdisc.org","Code","C70713","2023-12-15","Code_300"
"No","74d1a5f6-4b85-427b-a1ed-b85f9f8ef95c","http://www.cdisc.org","Code","C49487","2023-12-15","Code_301"
"Yes","18a46897-f042-4ba5-9dbf-96d9b1442078","http://www.cdisc.org","Code","C49488","2023-12-15","Code_302"
"Laboratory Test Fasting Status","8d3acdf4-544a-482f-8163-c9f0a019c23c","http://www.cdisc.org","Code","C83309","2023-12-15","Code_303"
"CREAT","b375c696-97c5-4618-afc6-42d148bd168e","http://www.cdisc.org","Code","C64547","2023-12-15","Code_304"
"K","921f6336-717c-4080-992f-0dba83ad1fe8","http://www.cdisc.org","Code","C64853","2023-12-15","Code_305"
"Laboratory Test Result","6274662e-b8ac-4d23-8936-bc86856b7823","http://www.cdisc.org","Code","C36292","2023-12-15","Code_306"
"Milliequivalent per Liter","dbbc6888-c993-49c0-a6d7-fd8a52888d6b","http://www.cdisc.org","Code","C67474","2023-12-15","Code_307"
"Milliequivalent per Deciliter","9b2ff69d-0196-48a4-bfea-10ae30873663","http://www.cdisc.org","Code","C67473","2023-12-15","Code_308"
"Millimole per Liter","94842294-b9c4-496f-ab90-fb4901ee87ab","http://www.cdisc.org","Code","C64387","2023-12-15","Code_309"
"Molarity Unit","fdf0d0ee-20e3-4402-86c3-997e764828f1","http://www.cdisc.org","Code","C64567","2023-12-15","Code_310"
"Biospecimen Type","4c38db5e-e661-404a-82a0-4699884d5a79","http://www.cdisc.org","Code","C70713","2023-12-15","Code_311"
"No","3601b9cd-41a6-41d4-a11f-b82677a25cff","http://www.cdisc.org","Code","C49487","2023-12-15","Code_312"
"Yes","f21bc2ff-63e8-4c95-8226-1241ce027573","http://www.cdisc.org","Code","C49488","2023-12-15","Code_313"
"Laboratory Test Fasting Status","dffeed87-a7ff-4f0e-9c16-340f26cdf582","http://www.cdisc.org","Code","C83309","2023-12-15","Code_314"
"K","aa538a9d-2836-4961-b546-ce68f6815f92","http://www.cdisc.org","Code","C64853","2023-12-15","Code_315"
"SODIUM","c78ade1f-4c75-4092-89e5-5afd3383ac09","http://www.cdisc.org","Code","C64809","2023-12-15","Code_316"
"Laboratory Test Result","4c634a1e-741e-4869-832a-3a30ab5dd81c","http://www.cdisc.org","Code","C36292","2023-12-15","Code_317"
"Milliequivalent per Liter","5dc6d310-5e21-4298-a796-77806cb512d1","http://www.cdisc.org","Code","C67474","2023-12-15","Code_318"
"Milliequivalent per Deciliter","b5d537bf-deb9-412e-85db-363e755b69c1","http://www.cdisc.org","Code","C67473","2023-12-15","Code_319"
"Millimole per Liter","1d63deb9-9e6d-483a-918e-9e606450b38a","http://www.cdisc.org","Code","C64387","2023-12-15","Code_320"
"Molarity Unit","ab902517-2465-4c7f-aeaa-68d6161444f3","http://www.cdisc.org","Code","C64567","2023-12-15","Code_321"
"Biospecimen Type","7e3523af-b8fd-4148-a079-a3a560f2d901","http://www.cdisc.org","Code","C70713","2023-12-15","Code_322"
"No","2471bb9b-cc6b-4ce4-8864-49bac6767c2a","http://www.cdisc.org","Code","C49487","2023-12-15","Code_323"
"Yes","397257e0-c9b4-4cd7-9830-f9626eb0c8df","http://www.cdisc.org","Code","C49488","2023-12-15","Code_324"
"Laboratory Test Fasting Status","9e3f2bcf-6db4-460e-9c43-ffae6387209e","http://www.cdisc.org","Code","C83309","2023-12-15","Code_325"
"SODIUM","13f76074-9756-4ea3-9bbd-5419a33cce69","http://www.cdisc.org","Code","C64809","2023-12-15","Code_326"
"SYSBP","39e81940-412c-422c-846f-40d783288d40","http://www.cdisc.org","Code","C25298","2023-12-15","Code_327"
"Clinical Test Result","05be0d77-7e39-4124-b997-4281c115baac","http://www.cdisc.org","Code","C77140","2023-12-15","Code_328"
"Unit of Pressure","d20b2d9f-1265-4df8-9610-86cbf032e595","http://www.cdisc.org","Code","C49669","2023-12-15","Code_329"
"Sitting","6e562766-f91d-4a61-825a-b51cba0b3645","http://www.cdisc.org","Code","C62122","2023-12-15","Code_330"
"Standing","a9c64421-00af-4b75-9f0e-c314561b8c47","http://www.cdisc.org","Code","C62166","2023-12-15","Code_331"
"Supine Position","e9edf4de-7f83-4017-8166-9ab9b75963e3","http://www.cdisc.org","Code","C62167","2023-12-15","Code_332"
"Body Position","6f782c7b-61aa-4dfe-9f0a-bfb5c3e745bc","http://www.cdisc.org","Code","C62164","2023-12-15","Code_333"
"Brachial Artery","bed8fedf-d832-4850-a966-e46da9472e0a","http://www.cdisc.org","Code","C12681","2023-12-15","Code_334"
"Common Carotid Artery","dbcae9c9-ec4e-45c9-b061-0768ef7a3827","http://www.cdisc.org","Code","C12687","2023-12-15","Code_335"
"Dorsalis Pedis Artery","786c3636-b4e5-4916-9556-dd3cd8e6682b","http://www.cdisc.org","Code","C32478","2023-12-15","Code_336"
"Femoral Artery","8a2b78d9-d50a-4b5c-91f8-c7d649698cc8","http://www.cdisc.org","Code","C12715","2023-12-15","Code_337"
"Radial Artery","4b32e413-5e77-4e3b-b407-00b91baf302e","http://www.cdisc.org","Code","C12838","2023-12-15","Code_338"
"Anatomic Site","ec4381c9-5f76-4c8a-99d1-cee4076659d7","http://www.cdisc.org","Code","C13717","2023-12-15","Code_339"
"Left","582326c8-5c74-4d56-9dec-9d8f90dda577","http://www.cdisc.org","Code","C25229","2023-12-15","Code_340"
"Right","a6548b6f-2e71-4f0e-a418-0b9a14e5d1f6","http://www.cdisc.org","Code","C25228","2023-12-15","Code_341"
"Laterality","cb98f6e2-2bd7-48f9-a469-de1287e6e98a","http://www.cdisc.org","Code","C25185","2023-12-15","Code_342"
"SYSBP","1a111c07-9ce1-4ca3-9cf7-96e7c9ff41f9","http://www.cdisc.org","Code","C25298","2023-12-15","Code_343"
"DIABP","c9d82e6a-da06-44ee-a351-3c34c9b8bd4b","http://www.cdisc.org","Code","C25299","2023-12-15","Code_344"
"Clinical Test Result","0d4593d7-b4ec-4089-b2f6-1acbb477b5fe","http://www.cdisc.org","Code","C77140","2023-12-15","Code_345"
"Unit of Pressure","d76204a3-2435-4ecf-80d9-9adc16d9b930","http://www.cdisc.org","Code","C49669","2023-12-15","Code_346"
"Sitting","b0c793c8-4d67-446b-936a-712b2a8aec3b","http://www.cdisc.org","Code","C62122","2023-12-15","Code_347"
"Standing","3b69e27c-6893-46de-b54b-ccd6438f35e9","http://www.cdisc.org","Code","C62166","2023-12-15","Code_348"
"Supine Position","e7e354a9-7d7d-45e8-82e7-c7212314a4a3","http://www.cdisc.org","Code","C62167","2023-12-15","Code_349"
"Body Position","0b7a25c4-17f1-440a-b5b4-449f867faf2f","http://www.cdisc.org","Code","C62164","2023-12-15","Code_350"
"Brachial Artery","84dbeb62-8bf8-46c3-99ed-3d828d79ad1e","http://www.cdisc.org","Code","C12681","2023-12-15","Code_351"
"Common Carotid Artery","31d4b0c3-0113-4d03-96e5-1d65c6472334","http://www.cdisc.org","Code","C12687","2023-12-15","Code_352"
"Dorsalis Pedis Artery","a6a50879-07b0-4306-9071-eb40bab25b1e","http://www.cdisc.org","Code","C32478","2023-12-15","Code_353"
"Femoral Artery","76e31477-8bbd-472e-965e-23b0077c6c01","http://www.cdisc.org","Code","C12715","2023-12-15","Code_354"
"Radial Artery","242c9631-0bcf-410e-ab24-7340afbb85fe","http://www.cdisc.org","Code","C12838","2023-12-15","Code_355"
"Anatomic Site","5491d1d4-59be-4bcb-95f9-09cc2d7ad15f","http://www.cdisc.org","Code","C13717","2023-12-15","Code_356"
"Left","147a4418-ae43-4bb2-9f99-e454f8c3f4cb","http://www.cdisc.org","Code","C25229","2023-12-15","Code_357"
"Right","e98a2e6d-8598-4ca7-be0f-705d0014c4d8","http://www.cdisc.org","Code","C25228","2023-12-15","Code_358"
"Laterality","0c254352-be83-4314-be0a-e4b4d26a6c13","http://www.cdisc.org","Code","C25185","2023-12-15","Code_359"
"DIABP","99c184c7-1351-4522-b71e-0e636c0e65d3","http://www.cdisc.org","Code","C25299","2023-12-15","Code_360"
"HR","0e73ffb6-614c-4060-9af7-fddaccf1a79e","http://www.cdisc.org","Code","C49677","2023-12-15","Code_361"
"Clinical Test Result","5f48fdb4-e090-488f-bc1d-a29ad4ce2430","http://www.cdisc.org","Code","C77140","2023-12-15","Code_362"
"Count per Minute","67482501-a42f-446d-8883-652ab91e9a8c","http://www.cdisc.org","Code","C73688","2023-12-15","Code_363"
"Sitting","253922dd-0e9e-4374-9985-ca781430ceab","http://www.cdisc.org","Code","C62122","2023-12-15","Code_364"
"Standing","9dd3ebc0-fd70-4454-810c-466d5268cd60","http://www.cdisc.org","Code","C62166","2023-12-15","Code_365"
"Supine Position","caf53670-7479-442d-8a42-7ad5b3a41c6d","http://www.cdisc.org","Code","C62167","2023-12-15","Code_366"
"Body Position","35a1a392-b8a1-4dba-ba94-8307a30e89ca","http://www.cdisc.org","Code","C62164","2023-12-15","Code_367"
"Brachial Artery","8b1aba1f-51e3-4bde-823b-d0bceaa4b963","http://www.cdisc.org","Code","C12681","2023-12-15","Code_368"
"Common Carotid Artery","96f00f6d-340a-4716-a063-a2bfcf72175b","http://www.cdisc.org","Code","C12687","2023-12-15","Code_369"
"Dorsalis Pedis Artery","3db651a9-c4a0-4954-beba-afa1fb203ff0","http://www.cdisc.org","Code","C32478","2023-12-15","Code_370"
"Femoral Artery","c2cb9245-2ece-41d4-8e96-dd6c7bcda575","http://www.cdisc.org","Code","C12715","2023-12-15","Code_371"
"Radial Artery","1f79e6bf-727a-4d04-a4be-81791bc9cab7","http://www.cdisc.org","Code","C12838","2023-12-15","Code_372"
"Anatomic Site","cb3c6573-158f-40fc-b5da-a81b0740e1da","http://www.cdisc.org","Code","C13717","2023-12-15","Code_373"
"Left","5b7013e7-0f9b-4ff1-8f0a-1adf551d3a93","http://www.cdisc.org","Code","C25229","2023-12-15","Code_374"
"Right","64acf005-3560-4766-8613-6a59f33424de","http://www.cdisc.org","Code","C25228","2023-12-15","Code_375"
"Laterality","2660ce64-e637-4366-a698-aa3ef21b40f4","http://www.cdisc.org","Code","C25185","2023-12-15","Code_376"
"HR","ad1f5255-d5f2-418a-a207-5e0e23f1727e","http://www.cdisc.org","Code","C49677","2023-12-15","Code_377"
