"instanceType","uuid:ID","id","codeSystemVersion","decode","code","codeSystem"
"Code","d8aacfc4-1d4d-4547-a513-b9d20aa33888","Code_247","2023-09-29","Beats per Minute","C49673","http://www.cdisc.org"
"Code","410cd045-ef6c-4422-b793-f359b0bdc2f9","Code_248","","Count per Minute","C73688","NCI Thesaurus"
"Code","39de4fd7-8fd7-43f0-a690-8e018e8b6058","Code_249","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","06ebf277-d260-46ed-98ad-e679a72850e0","Code_250","","Vital Signs Laterality","C123975","NCI Thesaurus"
"Code","ef990c1b-0d9b-4dcc-81d8-149157220aaf","Code_251","","Test Method","C82535","NCI Thesaurus"
"Code","c0eef5df-0575-4511-a872-31c1a500622a","Code_252","","Vital Signs Position","C83114","NCI Thesaurus"
"Code","0dcb342a-f37f-4913-8dee-6fd81d08e32a","Code_245","","Heart Rate","C49677","NCI Thesaurus"
"Code","6591f386-a8c0-4e96-8e42-e2a5c4bd99b4","Code_254","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","d60fdf7b-dec1-41e1-9ad4-b45addf9ea37","Code_255","2023-09-29","Pascal","C42547","http://www.cdisc.org"
"Code","92c09561-2d6d-45bb-8e13-54a2fef839cf","Code_256","","Unit of Pressure","C49669","NCI Thesaurus"
"Code","5a67d46e-e5c7-4ea8-90c0-bf5209888cbf","Code_257","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","09c7d69b-4d57-4fcf-8709-fb54dec4ab34","Code_258","","Vital Signs Laterality","C123975","NCI Thesaurus"
"Code","2ddceec3-8b12-483f-a97f-d76282b54c5f","Code_259","","Test Method","C82535","NCI Thesaurus"
"Code","b19310a4-3877-4616-9925-ba61d27429ea","Code_260","","Vital Signs Position","C83114","NCI Thesaurus"
"Code","9c5914a0-6fe9-4be2-8223-7956fbf44ca1","Code_253","","Systolic Blood Pressure","C25298","NCI Thesaurus"
"Code","15675988-45a8-45dc-a425-6a078b199a47","Code_262","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","9043af75-ba95-4076-b17f-82773763b284","Code_263","2023-09-29","Pascal","C42547","http://www.cdisc.org"
"Code","29076b1f-798d-4101-87c8-9a7fb0b05122","Code_264","","Unit of Pressure","C49669","NCI Thesaurus"
"Code","4dc0de01-a70e-4692-b6dd-f98d478aeae7","Code_265","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","77f0e12f-5782-41ac-ae1c-877d240cc4e5","Code_266","","Vital Signs Laterality","C123975","NCI Thesaurus"
"Code","56c759cc-b435-4418-8ef2-9946f801f58a","Code_267","","Test Method","C82535","NCI Thesaurus"
"Code","6343097c-c58c-4104-b515-4011102736bd","Code_268","","Vital Signs Position","C83114","NCI Thesaurus"
"Code","11fde65b-d540-41f0-94d3-e18162930ce4","Code_261","","Diastolic Blood Pressure","C25299","NCI Thesaurus"
"Code","03619b4a-803f-4059-a954-32249e8d59cb","Code_270","","Vital Signs Result","C173522","NCI Thesaurus"
"Code","64f87452-0845-4a21-a8ff-cb88fcfd8299","Code_271","2023-09-29","Beats per Minute","C49673","http://www.cdisc.org"
"Code","fba176d9-7abf-4f1c-88eb-1cd23209e785","Code_272","","Count per Minute","C73688","NCI Thesaurus"
"Code","b5d3e54b-b019-4df8-976e-f8630d465a06","Code_273","","Vital Signs Location","C83088","NCI Thesaurus"
"Code","6e51bca4-4e21-47da-ad32-0d54489038ef","Code_274","","Vital Signs Laterality","C123975","NCI Thesaurus"
"Code","8d0f70dd-5fda-4b67-b7f3-2ffa6701ecfc","Code_275","","Test Method","C82535","NCI Thesaurus"
"Code","39a69d27-f50e-4b81-b2e9-b7adfce4c466","Code_276","","Vital Signs Position","C83114","NCI Thesaurus"
"Code","a08e11e5-9b3e-4dd6-81cf-85bd102e233e","Code_269","","Heart Rate","C49677","NCI Thesaurus"
"Code","5dcc2cfc-891e-455c-94b7-84a071ddc8ce","Code_122","2023-09-29","Placebo Comparator Arm","C174268","http://www.cdisc.org"
"Code","bc944e96-e3cc-4aed-af3f-b5b9caeeb8b5","Code_123","2023-09-29","Data Generated Within Study","C188866","http://www.cdisc.org"
"Code","8994e288-2fcd-422e-8dcc-61f086859237","Code_124","2023-09-29","Active Comparator Arm","C174267","http://www.cdisc.org"
"Code","8997a95d-72b2-472c-8d27-c7a0464a1fc5","Code_125","2023-09-29","Data Generated Within Study","C188866","http://www.cdisc.org"
"Code","2755935b-512a-4ec7-8970-21c3e6a6bf74","Code_126","2023-09-29","Active Comparator Arm","C174267","http://www.cdisc.org"
"Code","199a5b03-7b68-4f4f-9068-05fcca0d384b","Code_127","2023-09-29","Data Generated Within Study","C188866","http://www.cdisc.org"
"Code","1dda8d35-4df6-461a-9fc7-c744404db223","Code_135","2023-09-29","Double Blind Study","C15228","http://www.cdisc.org"
"Code","2076c010-faa7-4ea6-a311-caef156d891e","Code_128","2023-09-29","Trial Screening","C48262","http://www.cdisc.org"
"Code","ecc6609b-a9d0-413a-8a5a-afbf3dcf1eb9","Code_129","2023-09-29","Treatment Epoch","C101526","http://www.cdisc.org"
"Code","9150d958-3a10-4781-b5aa-b7155a7133ec","Code_130","2023-09-29","Treatment Epoch","C101526","http://www.cdisc.org"
"Code","bb5f81c0-88d8-4f36-b3cc-4266e2d61400","Code_131","2023-09-29","Treatment Epoch","C101526","http://www.cdisc.org"
"Code","1f323c3d-ef92-4273-8b6a-b538006d89c1","Code_132","2023-09-29","Clinical Study Follow-up","C99158","http://www.cdisc.org"
"Code","faab09e4-0b74-4ac8-bebd-2daf06e1519a","Code_330","1","Alzheimer's disease; unspecified","G30.9","ICD-10-CM"
"Code","efc10bbe-cb04-42cd-b329-33841fd5b07f","Code_331","January 31, 2018","Alzheimer's disease","26929004","SNOMED"
"Code","65b3f5b2-68f4-4d9f-9d7d-d94a98f0fdcc","Code_141","2023-09-29","Sponsor","C70793","http://www.cdisc.org"
"Code","5e5e465d-f484-42e3-9142-540ee21895f8","Code_335","2023-09-29","Trial Primary Objective","C85826","http://www.cdisc.org"
"Code","ec68c5b9-0f0d-4b53-9e21-94b597fd61d4","Code_334","2023-09-29","Primary Endpoint","C94496","http://www.cdisc.org"
"Code","444a473d-9422-496a-8b74-7c04860a6e04","Code_336","2023-09-29","Primary Endpoint","C94496","http://www.cdisc.org"
"Code","abdfdf8e-d479-45c1-a9fe-c60287f2796f","Code_338","2023-09-29","Trial Primary Objective","C85826","http://www.cdisc.org"
"Code","1e459d58-0c87-474b-8202-c54909495bf8","Code_337","2023-09-29","Primary Endpoint","C94496","http://www.cdisc.org"
"Code","c135e5e5-e76d-4886-a9f9-deab66403b9a","Code_339","2023-09-29","Primary Endpoint","C94496","http://www.cdisc.org"
"Code","af7f9e0e-245c-442f-a1fb-0a522bad2273","Code_340","2023-09-29","Primary Endpoint","C94496","http://www.cdisc.org"
"Code","dc8c5b27-a4a1-4620-8436-0538938165e9","Code_342","2023-09-29","Trial Secondary Objective","C85827","http://www.cdisc.org"
"Code","908884c3-95b1-4545-bfca-49b1a9e51ebe","Code_341","2023-09-29","Secondary Endpoint","C139173","http://www.cdisc.org"
"Code","e41c9ba5-f056-4e23-9f04-ada1cb53ca7f","Code_343","2023-09-29","Secondary Endpoint","C139173","http://www.cdisc.org"
"Code","9f0805a2-6206-4d5f-bc2a-b7984fdf1fc7","Code_344","2023-09-29","Secondary Endpoint","C139173","http://www.cdisc.org"
"Code","d3cbe410-bf17-4bca-aa5a-7c0529fb5ce8","Code_345","2023-09-29","Inclusion Criteria","C25532","http://www.cdisc.org"
"Code","67b2b5af-189d-4ef7-a71a-58cbcaf668c5","Code_346","2023-09-29","Inclusion Criteria","C25532","http://www.cdisc.org"
"Code","d9efbaa4-d222-4d63-a099-99b818d88b1e","Code_347","2023-09-29","Inclusion Criteria","C25532","http://www.cdisc.org"
"Code","044c1aab-7a31-454b-9408-d569d84859b5","Code_348","2023-09-29","Exclusion Criteria","C25370","http://www.cdisc.org"
"Code","713b330a-f920-4226-abea-af6b8d4e5178","Code_332","2023-09-29","Year","C29848","http://www.cdisc.org"
"Code","533b4094-b8b2-40cf-93d3-a06f84846339","Code_14","2023-09-29","Before","C201264","http://www.cdisc.org"
"Code","6dcab38a-cdde-4d7a-81cf-176d04ccd378","Code_15","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","b5ddaf8f-38ee-4b9e-a5f4-72a2a6521bcb","Code_16","2023-09-29","Before","C201264","http://www.cdisc.org"
"Code","6105c593-4b19-484e-ab4b-da4af79d4af3","Code_17","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","99abfc60-ef38-440a-a9f0-724bec1c64d1","Code_19","2023-09-29","Fixed Reference","C201264","http://www.cdisc.org"
"Code","90807fd5-b762-4e78-9e70-88cfe65fe14e","Code_20","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","5ecb2d8b-d8d6-45aa-a040-00e490db74ae","Code_21","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","c44cd999-8b3d-4bac-abad-4ed550ffd0a7","Code_22","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","c0c1cbf8-21dc-4d21-a90e-d195aa209067","Code_24","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","824da451-c125-442b-bba8-3f2c9aba1565","Code_25","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","f4d1c628-cf4b-480e-82f7-a8daf7bf53af","Code_27","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","17e9b119-1490-474a-aa20-8b8878820adf","Code_28","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","a36118b9-ffd2-4ca9-8f71-deafcb37498a","Code_30","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","4948c0a9-7ea7-4825-b57c-b78dd8cd0428","Code_31","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","56f8d5b7-c8ac-4787-a820-f3463a67f46e","Code_35","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","9b097e96-a067-4125-97fe-90167ed871d5","Code_36","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","40eae04e-aebb-44f6-9216-c7d098bdc277","Code_40","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","6ba348e6-9a4e-4c9e-8ad2-1c82baacee75","Code_41","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","959e8149-132d-4cd6-8932-aaf916e8d91b","Code_45","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","4e1b0958-de84-4361-83ed-ec8852bee659","Code_46","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","8cbf3e85-7f59-4df7-98ec-2572ee752634","Code_50","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","90d5a912-34bf-46dd-ad75-df4bce5056fc","Code_51","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","2af5a521-a72a-4b00-9622-7854cf0b177c","Code_53","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","4598fa9b-2355-42cc-8175-a31723dcdb25","Code_54","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","6b49dda0-9ec8-4c4d-ae6d-ad03ea17d230","Code_33","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","f210b3ba-569e-4711-a66f-d90470526236","Code_34","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","b711e953-c0b8-4d95-bf79-9b2c37c3a4ee","Code_38","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","6a6b3916-6e16-4ae4-b7dd-c8807efd5adb","Code_39","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","fc7782e5-fc17-41e0-b778-050f48fb1f9b","Code_43","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","d3197100-5cb2-49bf-bc92-eb1fac85e351","Code_44","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","4691d5b6-3eaa-422d-97be-356a3044669f","Code_48","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","7c69c050-3d13-4475-8d5b-e89bc45dad44","Code_49","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","0394b6ed-4369-45b6-8570-5c88bf7a6182","Code_56","2023-09-29","Fixed Reference","C201264","http://www.cdisc.org"
"Code","13b0d0f3-52c4-4d1e-a6ea-3be65cd5156c","Code_57","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","097d3180-bc28-4c5c-995e-6ccb77f2444e","Code_58","2023-09-29","Fixed Reference","C201264","http://www.cdisc.org"
"Code","4acc71cf-5798-4d1f-9887-9fa70b5da9a6","Code_59","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","ea5c89be-004b-4b9f-a46c-77cb0d455b92","Code_60","2023-09-29","Fixed Reference","C201264","http://www.cdisc.org"
"Code","2945f697-65ec-44aa-9cc4-cd661666ede9","Code_61","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","582fd116-f0d4-436b-85cd-957422cf106a","Code_62","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","1e9ad371-c2a8-4ccd-a2cb-125593e46e0e","Code_63","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","e6fa3b7f-c0e4-4ae3-8eff-b2dc1117343e","Code_64","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","33a91ac0-7e32-4c56-b91c-39d665f6c471","Code_65","2023-09-29","End to Start","C201265","http://www.cdisc.org"
"Code","fedb0f9e-264e-4087-9a41-bcd11d3e5490","Code_66","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","1e1a81c2-dfa9-4381-887f-c89b442a23ef","Code_67","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","ef3886aa-1e99-4b55-b77f-21023d96771d","Code_68","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","3f2b7673-ca93-4f29-aa50-44774bbd66f6","Code_69","2023-09-29","End to Start","C201265","http://www.cdisc.org"
"Code","289da328-1c58-4981-a7f7-644453963150","Code_70","2023-09-29","After","C201264","http://www.cdisc.org"
"Code","3eb0d8f1-d8ab-44f2-9e43-0fb630169eb9","Code_71","2023-09-29","Start to Start","C201265","http://www.cdisc.org"
"Code","c9dad2b4-3cbd-4b99-81d7-b00931ad3748","Code_349","2023-09-29","Clinical Study Sponsor","C70793","http://www.cdisc.org"
"Code","a03d9053-493e-4354-8378-30f8599df672","Code_350","2020-08","United Kingdom of Great Britain and Northern Ireland","GBR","ISO 3166 1 alpha3"
"Code","34d30906-905b-4a17-ac38-25e8ff061010","Code_3","2023-09-29","Study Acronym","C94108","http://www.cdisc.org"
"Code","28863b2c-e92d-40f8-a6d7-771dffbaa10a","Code_5","2023-09-29","Brief Study Title","C99905x1","http://www.cdisc.org"
"Code","093c3120-6c82-4bf3-9015-554163245734","Code_6","2023-09-29","Official Study Title","C99905x2","http://www.cdisc.org"
"Code","8317297a-a386-4dab-b48b-5e81958bd941","Code_7","2023-09-29","Public Study Title","C99905x3","http://www.cdisc.org"
"Code","0520007a-3dcc-4c74-a615-4ac648acda72","Code_8","2023-09-29","Final","C25508","http://www.cdisc.org"
"Code","191e838f-aff5-46e6-a405-ad9e18ee0fe1","Code_11","2023-09-29","Protocol Effective Date","C99903x1","http://www.cdisc.org"
"Code","8e20d308-1c01-4bb0-b4dd-08354445062f","Code_13","2023-09-29","Region","C41129","http://www.cdisc.org"
"Code","1e07ef14-e9bd-4dba-a8a1-1a51e1f933d8","Code_12","2020-08","Europe","150","ISO 3166 1 alpha3"
