"code","codeSystemVersion","id","instanceType","decode","uuid:ID","codeSystem"
"C49487","2023-12-15","Code_173","Code","No","db94e323-2129-464c-a6f7-32a5df6a41f7","http://www.cdisc.org"
"C49488","2023-12-15","Code_174","Code","Yes","9b3795d2-698b-42ef-9fca-6c58e8ef778b","http://www.cdisc.org"
"C83052","2023-12-15","Code_175","Code","Adverse Event associated with Hospitalization","7ba74a05-a5f9-4c60-97c7-c7aa084bb934","http://www.cdisc.org"
"C49487","2023-12-15","Code_176","Code","No","647da729-0fc1-4752-aade-52fcd7458aa4","http://www.cdisc.org"
"C49488","2023-12-15","Code_177","Code","Yes","0756500a-7506-43e3-88de-35f8efeea141","http://www.cdisc.org"
"C84266","2023-12-15","Code_178","Code","Life Threatening Adverse Event","a7dfd233-0a99-44d1-96cf-e59c9b977b22","http://www.cdisc.org"
"C49487","2023-12-15","Code_179","Code","No","d82b26c2-b7c7-4a62-9e6e-8c08bbc6e530","http://www.cdisc.org"
"C49488","2023-12-15","Code_180","Code","Yes","9d4103fb-4bc4-4658-bb93-eaa5dfc52f2e","http://www.cdisc.org"
"C83214","2023-12-15","Code_181","Code","Adverse Event Occurred with Overdose","792de9f9-7de4-4ed5-8be5-b0446a36574d","http://www.cdisc.org"
"C49487","2023-12-15","Code_182","Code","No","933d4e82-0c7a-4cbe-a209-4a78cae39592","http://www.cdisc.org"
"C49488","2023-12-15","Code_183","Code","Yes","e9136cf9-70e3-45a7-be62-db58bc00f895","http://www.cdisc.org"
"C83053","2023-12-15","Code_184","Code","Adverse Event Associated with Serious Medical Event","af17cf6c-fdf7-4292-af78-9348987a2acb","http://www.cdisc.org"
"C49487","2023-12-15","Code_185","Code","No","15d8407e-92ac-4c68-bc6f-97ac4c25e851","http://www.cdisc.org"
"C49488","2023-12-15","Code_186","Code","Yes","1f00c93e-8c3b-4e89-a391-f25a756a2777","http://www.cdisc.org"
"C83199","2023-12-15","Code_187","Code","Adverse Event Concomitant Treatment","535f62b6-15ef-4d99-90de-0efc628727fa","http://www.cdisc.org"
"C83215","2023-12-15","Code_188","Code","Adverse Event Start Date Time","da4e06d9-cb93-4eb5-9ac8-3959a082abcc","http://www.cdisc.org"
"C83201","2023-12-15","Code_189","Code","Adverse Event End Date Time","ede884ab-379a-4d0b-9289-0a21a23585cd","http://www.cdisc.org"
"C179175","2023-12-15","Code_190","Code","Solicited Adverse Event","47c56396-e9f8-4e84-8b62-983dafabefed","http://www.cdisc.org"
"C25298","2023-12-15","Code_191","Code","SYSBP","deefc9ff-a8ca-4713-bd43-135dff034d71","http://www.cdisc.org"
"C77140","2023-12-15","Code_192","Code","Clinical Test Result","d949866a-68e1-4da3-867a-b7da7ac92dfd","http://www.cdisc.org"
"C49669","2023-12-15","Code_193","Code","Unit of Pressure","b6036d2b-6e47-47a5-ae08-2e8daece2cfb","http://www.cdisc.org"
"C62122","2023-12-15","Code_194","Code","Sitting","0ce6107c-7953-44a2-becf-041241e8ebe7","http://www.cdisc.org"
"C62166","2023-12-15","Code_195","Code","Standing","9ec00803-bafb-43ab-9395-2927518d166f","http://www.cdisc.org"
"C62167","2023-12-15","Code_196","Code","Supine Position","1c1a3fe6-816f-4402-bb8f-a324664a841a","http://www.cdisc.org"
"C62164","2023-12-15","Code_197","Code","Body Position","33c38283-1c63-4ac7-8c87-368e4571fd2a","http://www.cdisc.org"
"C12681","2023-12-15","Code_198","Code","Brachial Artery","a8b3dd7f-550d-4046-a1ef-d8210e74fe27","http://www.cdisc.org"
"C12687","2023-12-15","Code_199","Code","Common Carotid Artery","31c6457c-73a3-4a1f-8318-42eb093eb7e1","http://www.cdisc.org"
"C32478","2023-12-15","Code_200","Code","Dorsalis Pedis Artery","633815a4-8827-45a2-84b0-a4cfc63527fc","http://www.cdisc.org"
"C12715","2023-12-15","Code_201","Code","Femoral Artery","5d442418-aa8e-4f9a-8f6b-8469892b05d8","http://www.cdisc.org"
"C12838","2023-12-15","Code_202","Code","Radial Artery","d7466cb5-540d-44fb-9400-f96d08674980","http://www.cdisc.org"
"C13717","2023-12-15","Code_203","Code","Anatomic Site","8b3b726b-f0e3-4fe6-925b-b4558ac90ad2","http://www.cdisc.org"
"C25229","2023-12-15","Code_204","Code","Left","f026839c-3a12-4221-9eb2-0bbda59fbb51","http://www.cdisc.org"
"C25228","2023-12-15","Code_205","Code","Right","58112673-6a07-4911-b154-03db9da0e190","http://www.cdisc.org"
"C25185","2023-12-15","Code_206","Code","Laterality","2fd59d0a-807b-4604-88f5-b619c204cb0f","http://www.cdisc.org"
"C25298","2023-12-15","Code_207","Code","SYSBP","979826c4-f047-457d-a252-7512b2bef915","http://www.cdisc.org"
"C25299","2023-12-15","Code_208","Code","DIABP","bd1f61a4-fce3-4440-a710-9b4249f65ebe","http://www.cdisc.org"
"C77140","2023-12-15","Code_209","Code","Clinical Test Result","01161439-7744-4311-b5df-c4ffb0b717f5","http://www.cdisc.org"
"C49669","2023-12-15","Code_210","Code","Unit of Pressure","596dfda7-de70-4f8b-b6b6-413abf8a1846","http://www.cdisc.org"
"C62122","2023-12-15","Code_211","Code","Sitting","bafe55e5-ab88-4c2a-af80-5c231061f274","http://www.cdisc.org"
"C62166","2023-12-15","Code_212","Code","Standing","19ee55f6-1a98-4989-a1be-83188ae9e9d7","http://www.cdisc.org"
"C62167","2023-12-15","Code_213","Code","Supine Position","fb42f5f1-3914-4a4d-90c4-35367030e6a0","http://www.cdisc.org"
"C62164","2023-12-15","Code_214","Code","Body Position","19c05efe-ba85-4952-8ed5-c145dd66fd71","http://www.cdisc.org"
"C12681","2023-12-15","Code_215","Code","Brachial Artery","985bbe6a-c3a4-4b77-be67-222c2ebbc5d0","http://www.cdisc.org"
"C12687","2023-12-15","Code_216","Code","Common Carotid Artery","246c23ff-ac38-4e9d-9b90-42e05e65afd5","http://www.cdisc.org"
"C32478","2023-12-15","Code_217","Code","Dorsalis Pedis Artery","a743f749-3b98-492c-bab7-c74f13e62a9d","http://www.cdisc.org"
"C12715","2023-12-15","Code_218","Code","Femoral Artery","291e3119-d80d-401a-af68-8388b1bfdbc9","http://www.cdisc.org"
"C12838","2023-12-15","Code_219","Code","Radial Artery","ce2a5e8f-5205-4836-8f42-a60e747aaf13","http://www.cdisc.org"
"C13717","2023-12-15","Code_220","Code","Anatomic Site","c40fa747-3e4a-458a-9771-541168a5ae41","http://www.cdisc.org"
"C25229","2023-12-15","Code_221","Code","Left","51d8ed46-ca02-4b69-b15f-b85226a38a41","http://www.cdisc.org"
"C25228","2023-12-15","Code_222","Code","Right","28569ef4-61bd-464f-bb90-6fa473e8ae51","http://www.cdisc.org"
"C25185","2023-12-15","Code_223","Code","Laterality","32c31b0b-74b1-4092-80c1-0f3b7f731b1b","http://www.cdisc.org"
"C25299","2023-12-15","Code_224","Code","DIABP","3ac281db-63a2-449b-9604-45fa8f58abaa","http://www.cdisc.org"
"C174446","2023-12-15","Code_225","Code","TEMP","0cdf8594-1afc-48ae-ab51-d2177f74d8c9","http://www.cdisc.org"
"C77140","2023-12-15","Code_226","Code","Clinical Test Result","8fabb806-cf29-486d-8faf-aa7a2547f333","http://www.cdisc.org"
"C42559","2023-12-15","Code_227","Code","Degree Celsius","3e6adc98-717a-4720-a3ca-6335d0e06168","http://www.cdisc.org"
"C44277","2023-12-15","Code_228","Code","Degree Fahrenheit","a9fd9a03-4110-4d3b-b633-4d26f8e503a7","http://www.cdisc.org"
"C42537","2023-12-15","Code_229","Code","Kelvin","9634da21-d26a-4fb7-9358-df904f8f98c7","http://www.cdisc.org"
"C44276","2023-12-15","Code_230","Code","Unit of Temperature","769bd479-2b85-4907-8212-1495d6133e4d","http://www.cdisc.org"
"C12674","2023-12-15","Code_231","Code","Axilla","e448bf92-d537-4690-afb9-0c0921672a60","http://www.cdisc.org"
"C12394","2023-12-15","Code_232","Code","Ear","b53a1c65-55a0-4882-a6c9-ed45c8cc1102","http://www.cdisc.org"
"C89803","2023-12-15","Code_233","Code","Forehead","1c8caac0-100d-48e5-b687-6cc08dc184a6","http://www.cdisc.org"
"C12421","2023-12-15","Code_234","Code","Oral Cavity","2ae10d8d-bfbb-4b94-a1ec-258f886153c2","http://www.cdisc.org"
"C12390","2023-12-15","Code_235","Code","Rectum","f6fe074f-0c66-4797-995a-c82b17cb95de","http://www.cdisc.org"
"C13717","2023-12-15","Code_236","Code","Anatomic Site","8b689c22-8e77-4e77-91c7-412793a82511","http://www.cdisc.org"
"C174446","2023-12-15","Code_237","Code","TEMP","68257971-8515-445c-8bfe-3b4014c16ef6","http://www.cdisc.org"
"C25208","2023-12-15","Code_238","Code","WEIGHT","9009fac6-c06a-4793-8046-87ad6f78d9e7","http://www.cdisc.org"
"C77140","2023-12-15","Code_239","Code","Clinical Test Result","5992b2bd-81c2-4b31-8480-54a3add16d5e","http://www.cdisc.org"
"C48531","2023-12-15","Code_240","Code","Pound","fa8353e7-8fc1-4b6d-b51f-06998d54e9b7","http://www.cdisc.org"
"C48155","2023-12-15","Code_241","Code","Gram","eaa0d7f0-e004-4063-8bac-51edf6d79532","http://www.cdisc.org"
"C28252","2023-12-15","Code_242","Code","Kilogram","f6aed508-6eb5-4c68-9603-5d40694b2778","http://www.cdisc.org"
"C48208","2023-12-15","Code_243","Code","Unit of Weight","4dc3fafd-1972-4c84-bb05-c16c534d88ac","http://www.cdisc.org"
"C25208","2023-12-15","Code_244","Code","WEIGHT","1e44110c-77bf-4e85-96d1-7fce92817aba","http://www.cdisc.org"
"C25347","2023-12-15","Code_245","Code","HEIGHT","d8c45239-f98a-477c-9af7-259eed34e72a","http://www.cdisc.org"
"C77140","2023-12-15","Code_246","Code","Clinical Test Result","db781ba1-0355-43ce-8bb2-c902dec7d29c","http://www.cdisc.org"
"C49668","2023-12-15","Code_247","Code","Centimeter","bf0d2a55-0898-4414-bcb7-e0ea318f1f73","http://www.cdisc.org"
"C48500","2023-12-15","Code_248","Code","Inch","3797e213-0618-4a30-8334-22704419f420","http://www.cdisc.org"
"C41139","2023-12-15","Code_249","Code","Meter","d7efc2b0-0290-44ec-aa96-1ca20da5d1a3","http://www.cdisc.org"
"C168688","2023-12-15","Code_250","Code","Unit of Height","e2266d4f-866d-470c-b457-7636b8c4d53b","http://www.cdisc.org"
"C25347","2023-12-15","Code_251","Code","HEIGHT","a17389ce-8437-4af0-90a1-e211ad550575","http://www.cdisc.org"
"C64433","2023-12-15","Code_252","Code","ALT","a8c783a0-4da2-4f1a-bc25-4bbf2d93660f","http://www.cdisc.org"
"C36292","2023-12-15","Code_253","Code","Laboratory Test Result","c23cda3b-9517-4ad6-a265-37e65e1bfb23","http://www.cdisc.org"
"C67456","2023-12-15","Code_254","Code","Unit per Liter","f88b9b53-f176-4ef2-8609-3adb33075bd3","http://www.cdisc.org"
"C67397","2023-12-15","Code_255","Code","Microkatal per Liter","5c1ae44d-1033-4a10-b0e8-552e39214f16","http://www.cdisc.org"
"C67376","2023-12-15","Code_256","Code","International Unit per Liter","7b19f29b-fa50-484a-82c1-366ce8b8e005","http://www.cdisc.org"
"C70510","2023-12-15","Code_257","Code","Nanokatal per Liter","27bb7c30-79cf-415e-8b12-84e05de2878a","http://www.cdisc.org"
"C67365","2023-12-15","Code_258","Code","Unit of Catalytic Activity Concentration","0054806b-8a6b-47c0-9391-2edc658dd4c6","http://www.cdisc.org"
"C70713","2023-12-15","Code_259","Code","Biospecimen Type","10fd901d-c602-4939-a237-69a2fb223e58","http://www.cdisc.org"
"C49487","2023-12-15","Code_260","Code","No","6fb6795f-62ad-455c-b31d-665a2aaf4c6b","http://www.cdisc.org"
"C49488","2023-12-15","Code_261","Code","Yes","de12678f-c1d1-4098-9acb-a05f28289724","http://www.cdisc.org"
"C83309","2023-12-15","Code_262","Code","Laboratory Test Fasting Status","21709454-b3c3-42ab-9faa-5fde024d464f","http://www.cdisc.org"
"C64433","2023-12-15","Code_263","Code","ALT","7a317a3d-a0d7-494f-921c-d66dfd87cb44","http://www.cdisc.org"
"C64431","2023-12-15","Code_264","Code","ALB","b2790d70-f6d5-4a9e-b6f0-59bfa80fa386","http://www.cdisc.org"
"C36292","2023-12-15","Code_265","Code","Laboratory Test Result","596631a1-28dc-43ba-ae03-c40efb84c966","http://www.cdisc.org"
"C70713","2023-12-15","Code_266","Code","Biospecimen Type","b50978fb-cb37-4f6e-8161-e0a496e15e7a","http://www.cdisc.org"
"C49487","2023-12-15","Code_267","Code","No","cf322681-90f7-48a3-a5da-f845c938b642","http://www.cdisc.org"
"C49488","2023-12-15","Code_268","Code","Yes","5cc9a55d-6f27-42cb-acf0-a339900668bc","http://www.cdisc.org"
"C83309","2023-12-15","Code_269","Code","Laboratory Test Fasting Status","63249f39-3716-49ab-982b-eeb6d0ceb107","http://www.cdisc.org"
"C64431","2023-12-15","Code_270","Code","ALB","39b3018b-90ca-45d7-875c-68a188f842ef","http://www.cdisc.org"
"C64432","2023-12-15","Code_271","Code","ALP","0a649ab4-be31-4864-bf42-19f5ad07ed46","http://www.cdisc.org"
"C36292","2023-12-15","Code_272","Code","Laboratory Test Result","e904e4a5-fa9c-4384-bb72-2e03b623bc7d","http://www.cdisc.org"
"C67456","2023-12-15","Code_273","Code","Unit per Liter","0ce16384-6ec8-4b7f-8bc1-b84862af6019","http://www.cdisc.org"
"C67397","2023-12-15","Code_274","Code","Microkatal per Liter","740a9f44-7297-424c-8e38-a0f1697ea973","http://www.cdisc.org"
"C67376","2023-12-15","Code_275","Code","International Unit per Liter","52e472ad-a5f4-4445-84ef-0b2b16567cd5","http://www.cdisc.org"
"C67365","2023-12-15","Code_276","Code","Unit of Catalytic Activity Concentration","c73e7ffb-2d66-4ea1-8f21-8b47f43cd475","http://www.cdisc.org"
"C70713","2023-12-15","Code_277","Code","Biospecimen Type","60387e09-fd1a-49a7-b281-ad1629beeef8","http://www.cdisc.org"
"C49487","2023-12-15","Code_278","Code","No","e30f93a3-d8c4-4905-888e-d2f6774e9f69","http://www.cdisc.org"
"C49488","2023-12-15","Code_279","Code","Yes","51b34b36-2e4a-4c75-8a13-510f4ac77110","http://www.cdisc.org"
"C83309","2023-12-15","Code_280","Code","Laboratory Test Fasting Status","ac03fe44-53b0-48a6-92d5-031193f0b14d","http://www.cdisc.org"
"C64432","2023-12-15","Code_281","Code","ALP","4fb00eaf-6377-419f-83bd-cc31bbf6bdb1","http://www.cdisc.org"
"C64467","2023-12-15","Code_282","Code","AST","6aa76b5c-498d-4870-a3c9-c2614bbdefaf","http://www.cdisc.org"
"C36292","2023-12-15","Code_283","Code","Laboratory Test Result","7dd1ddf3-9b70-445d-9b9a-236e0183c277","http://www.cdisc.org"
"C67456","2023-12-15","Code_284","Code","Unit per Liter","7f2a502a-0cca-4a41-85f1-a069b9ef090b","http://www.cdisc.org"
"C67397","2023-12-15","Code_285","Code","Microkatal per Liter","323766a3-11a8-4a09-b3cf-d32987ba277f","http://www.cdisc.org"
"C67376","2023-12-15","Code_286","Code","International Unit per Liter","833fd8c7-63e0-4789-8cb1-a50497e9b368","http://www.cdisc.org"
"C67365","2023-12-15","Code_287","Code","Unit of Catalytic Activity Concentration","53aa3c84-9104-40df-82c2-3b8884613fe3","http://www.cdisc.org"
"C70713","2023-12-15","Code_288","Code","Biospecimen Type","1a6a9c0d-b7ef-4d2f-98cb-0019a8e8738f","http://www.cdisc.org"
"C49487","2023-12-15","Code_289","Code","No","3a1c7f35-a533-423c-9a68-1dd758b7e692","http://www.cdisc.org"
"C49488","2023-12-15","Code_290","Code","Yes","d8d83e99-038a-48f7-a6ee-52d71a62872e","http://www.cdisc.org"
"C83309","2023-12-15","Code_291","Code","Laboratory Test Fasting Status","f6bf4b7d-1220-45ef-8cdc-bd3d68f39f93","http://www.cdisc.org"
"C64467","2023-12-15","Code_292","Code","AST","f7a891b1-87a8-479f-91cc-503d122b9491","http://www.cdisc.org"
"C64547","2023-12-15","Code_293","Code","CREAT","0d0ad84f-f3af-4469-8860-1a301064914d","http://www.cdisc.org"
"C36292","2023-12-15","Code_294","Code","Laboratory Test Result","929fb9a5-fc6e-4332-80ac-84c2a5143127","http://www.cdisc.org"
"C67015","2023-12-15","Code_295","Code","Milligram per Deciliter","2136b95b-3595-4234-8b47-af94f5729f57","http://www.cdisc.org"
"C64572","2023-12-15","Code_296","Code","Microgram per Milliliter","dfa0eaa8-927a-4205-a062-0f2875792b50","http://www.cdisc.org"
"C64387","2023-12-15","Code_297","Code","Millimole per Liter","cd47cd0c-4993-4de9-a2c0-a6f8f5523295","http://www.cdisc.org"
"C48508","2023-12-15","Code_298","Code","Micromole per Liter","fc0aef8b-8211-4a01-97cd-920850fc272f","http://www.cdisc.org"
"C48207","2023-12-15","Code_299","Code","Unit of Concentration","da52ebcb-2a96-48ef-8f80-7783da3443a2","http://www.cdisc.org"
"C70713","2023-12-15","Code_300","Code","Biospecimen Type","e87b9175-f6da-4269-856f-4c3bdee75239","http://www.cdisc.org"
"C49487","2023-12-15","Code_301","Code","No","b80a7a69-fa36-49f9-a77f-7e171a77b9e5","http://www.cdisc.org"
"C49488","2023-12-15","Code_302","Code","Yes","f4735106-743b-46c9-a481-da4940c862af","http://www.cdisc.org"
"C83309","2023-12-15","Code_303","Code","Laboratory Test Fasting Status","b32cc17b-aa42-4f4c-bb1e-e1d551df4a1c","http://www.cdisc.org"
"C64547","2023-12-15","Code_304","Code","CREAT","8ae8869b-ca13-4ea8-9cd0-e158faf3c7bf","http://www.cdisc.org"
"C64853","2023-12-15","Code_305","Code","K","e6782c99-3cfd-4ab4-a4f8-735bf4a7d610","http://www.cdisc.org"
"C36292","2023-12-15","Code_306","Code","Laboratory Test Result","fabae96a-c926-4c23-a60b-0cb92da0b084","http://www.cdisc.org"
"C67474","2023-12-15","Code_307","Code","Milliequivalent per Liter","6717e8ad-bccc-4d6d-807a-b92f3bc3bef5","http://www.cdisc.org"
"C67473","2023-12-15","Code_308","Code","Milliequivalent per Deciliter","f7a4eb99-da49-4db6-b890-b93f9a93cf8b","http://www.cdisc.org"
"C64387","2023-12-15","Code_309","Code","Millimole per Liter","48713ede-4b18-4f7c-b278-3efeb6101d76","http://www.cdisc.org"
"C64567","2023-12-15","Code_310","Code","Molarity Unit","f7026c25-1b72-497e-9206-ead3950a203b","http://www.cdisc.org"
"C70713","2023-12-15","Code_311","Code","Biospecimen Type","1d25a6fc-d737-416b-a208-ca82700afcff","http://www.cdisc.org"
"C49487","2023-12-15","Code_312","Code","No","b574bc32-b366-4165-80e3-7d6194546c15","http://www.cdisc.org"
"C49488","2023-12-15","Code_313","Code","Yes","3db76b6c-e2a0-4ea2-9deb-8a114603d9a1","http://www.cdisc.org"
"C83309","2023-12-15","Code_314","Code","Laboratory Test Fasting Status","b430fbfa-2dad-42eb-acdb-5743f97b66ac","http://www.cdisc.org"
"C64853","2023-12-15","Code_315","Code","K","63eca155-eb8a-414a-9b5e-61ce1c2e9de6","http://www.cdisc.org"
"C64809","2023-12-15","Code_316","Code","SODIUM","756b3bee-9f90-4f74-86f4-3527569b5444","http://www.cdisc.org"
"C36292","2023-12-15","Code_317","Code","Laboratory Test Result","87c0c967-3a2f-4403-a1c9-38c61999e9b2","http://www.cdisc.org"
"C67474","2023-12-15","Code_318","Code","Milliequivalent per Liter","61ae08ba-4dd6-427b-ba3e-e462e03b016b","http://www.cdisc.org"
"C67473","2023-12-15","Code_319","Code","Milliequivalent per Deciliter","d062e6a2-516d-461d-a242-b821ec072026","http://www.cdisc.org"
"C64387","2023-12-15","Code_320","Code","Millimole per Liter","57ea72ae-226c-465a-bc66-8c585241f2c1","http://www.cdisc.org"
"C64567","2023-12-15","Code_321","Code","Molarity Unit","70c15df8-6eaa-4ce1-a3f9-d0fc49fc9bec","http://www.cdisc.org"
"C70713","2023-12-15","Code_322","Code","Biospecimen Type","d6ec5570-1be9-4da5-8aac-bd26a21df258","http://www.cdisc.org"
"C49487","2023-12-15","Code_323","Code","No","a02d0609-0dc1-49f5-9dc1-8215a7b57482","http://www.cdisc.org"
"C49488","2023-12-15","Code_324","Code","Yes","027d5354-ea90-402a-8710-59a771c66b16","http://www.cdisc.org"
"C83309","2023-12-15","Code_325","Code","Laboratory Test Fasting Status","ef5024ed-8041-405e-9c00-5dabc09009fa","http://www.cdisc.org"
"C64809","2023-12-15","Code_326","Code","SODIUM","682f9057-338a-439d-8ced-27745c874b58","http://www.cdisc.org"
"C25298","2023-12-15","Code_327","Code","SYSBP","b99f4e28-adab-4c85-9481-ef0c623a5331","http://www.cdisc.org"
"C77140","2023-12-15","Code_328","Code","Clinical Test Result","2cfd4624-55dd-48cf-a5ae-fe4f7526e5bc","http://www.cdisc.org"
"C49669","2023-12-15","Code_329","Code","Unit of Pressure","c2d74d60-7ee1-4d6a-af24-5de28e7790ac","http://www.cdisc.org"
"C62122","2023-12-15","Code_330","Code","Sitting","24381b73-c72e-4548-ab31-3091ef091462","http://www.cdisc.org"
"C62166","2023-12-15","Code_331","Code","Standing","84ca4306-ac43-4a01-8895-e8df0767ea42","http://www.cdisc.org"
"C62167","2023-12-15","Code_332","Code","Supine Position","8bd622a5-00f1-43fc-b225-3048bc054ec6","http://www.cdisc.org"
"C62164","2023-12-15","Code_333","Code","Body Position","0e6cb0bb-1a17-4cd1-97a7-49d6c44df7f7","http://www.cdisc.org"
"C12681","2023-12-15","Code_334","Code","Brachial Artery","f88e30f8-3b6b-41c3-9542-db42f3a50f98","http://www.cdisc.org"
"C12687","2023-12-15","Code_335","Code","Common Carotid Artery","eed53dcf-aaab-45b2-ab02-fb1c65943411","http://www.cdisc.org"
"C32478","2023-12-15","Code_336","Code","Dorsalis Pedis Artery","9514865a-1ddd-47bf-9291-28b1b14e8a2c","http://www.cdisc.org"
"C12715","2023-12-15","Code_337","Code","Femoral Artery","7cac550c-92ab-41fb-a32c-2364500f4c58","http://www.cdisc.org"
"C12838","2023-12-15","Code_338","Code","Radial Artery","f5f4d56f-494b-44ec-b617-8d610b51837d","http://www.cdisc.org"
"C13717","2023-12-15","Code_339","Code","Anatomic Site","72d143de-4988-4be9-a13d-494b4e28dcb9","http://www.cdisc.org"
"C25229","2023-12-15","Code_340","Code","Left","24c86ecc-41c8-4b59-8988-0c8af2cd48c0","http://www.cdisc.org"
"C25228","2023-12-15","Code_341","Code","Right","b7cda5ca-f9f7-4855-8c5a-980b0bc05bbd","http://www.cdisc.org"
"C25185","2023-12-15","Code_342","Code","Laterality","2ad508dd-8d00-4e3a-9132-f28c4e680d7f","http://www.cdisc.org"
"C25298","2023-12-15","Code_343","Code","SYSBP","ff69bdb2-e035-4a82-9fd5-aa4f18ee8c3a","http://www.cdisc.org"
"C25299","2023-12-15","Code_344","Code","DIABP","2eb21d28-4bd6-4bd2-8ae7-12145c790e1f","http://www.cdisc.org"
"C77140","2023-12-15","Code_345","Code","Clinical Test Result","62de685e-976e-4703-a7d1-693c82b5bcaa","http://www.cdisc.org"
"C49669","2023-12-15","Code_346","Code","Unit of Pressure","e8cefc41-4e1c-4f40-b02d-2bcae551628a","http://www.cdisc.org"
"C62122","2023-12-15","Code_347","Code","Sitting","687fd44d-a65a-4876-b2a1-160facbbe3c7","http://www.cdisc.org"
"C62166","2023-12-15","Code_348","Code","Standing","a5413add-89b1-46e3-8160-a41fc8934f58","http://www.cdisc.org"
"C62167","2023-12-15","Code_349","Code","Supine Position","be664b5f-e91c-4477-86c7-97205abf1ab9","http://www.cdisc.org"
"C62164","2023-12-15","Code_350","Code","Body Position","17af6df9-1e11-44b5-9d5b-ec28db6dcba5","http://www.cdisc.org"
"C12681","2023-12-15","Code_351","Code","Brachial Artery","59b65495-e3d8-4694-a22d-84f9aa80c121","http://www.cdisc.org"
"C12687","2023-12-15","Code_352","Code","Common Carotid Artery","a4c92304-751a-41b1-b449-d70d5cc7a153","http://www.cdisc.org"
"C32478","2023-12-15","Code_353","Code","Dorsalis Pedis Artery","41e23727-051a-4211-89b8-89a8a38545cd","http://www.cdisc.org"
"C12715","2023-12-15","Code_354","Code","Femoral Artery","9da3fb99-8773-4816-940e-6f8e7085d7c6","http://www.cdisc.org"
"C12838","2023-12-15","Code_355","Code","Radial Artery","30229737-dad4-46ce-8374-2432c829b764","http://www.cdisc.org"
"C13717","2023-12-15","Code_356","Code","Anatomic Site","5b603926-3a7d-42c9-b197-91ce613c1564","http://www.cdisc.org"
"C25229","2023-12-15","Code_357","Code","Left","d94f8a20-7303-46f0-90ac-a6c218a30063","http://www.cdisc.org"
"C25228","2023-12-15","Code_358","Code","Right","ad7a4dac-a94b-485a-a318-2d989b6da9b1","http://www.cdisc.org"
"C25185","2023-12-15","Code_359","Code","Laterality","8b9e66d7-f856-49b8-aaa2-2b67b4937c6c","http://www.cdisc.org"
"C25299","2023-12-15","Code_360","Code","DIABP","c62d5859-6c3d-4b05-924c-5b2969f9fc8f","http://www.cdisc.org"
"C49677","2023-12-15","Code_361","Code","HR","2272a09a-a1dc-4f91-98e1-9a72a52399ae","http://www.cdisc.org"
"C77140","2023-12-15","Code_362","Code","Clinical Test Result","acd9f1cb-1566-404b-b190-dcb5acc92178","http://www.cdisc.org"
"C73688","2023-12-15","Code_363","Code","Count per Minute","01215962-cbd5-4176-8a4d-8be374967417","http://www.cdisc.org"
"C62122","2023-12-15","Code_364","Code","Sitting","fff94949-48e8-4c13-b372-978dbea2492b","http://www.cdisc.org"
"C62166","2023-12-15","Code_365","Code","Standing","9710e394-d10f-4ea9-8221-ac44a7179760","http://www.cdisc.org"
"C62167","2023-12-15","Code_366","Code","Supine Position","808b7f3e-17cb-4afe-855e-2859d0b1c4ec","http://www.cdisc.org"
"C62164","2023-12-15","Code_367","Code","Body Position","8535f202-1dd7-4250-82b6-e1e6165c1858","http://www.cdisc.org"
"C12681","2023-12-15","Code_368","Code","Brachial Artery","91562c78-a631-429a-9458-6d20c4ec0821","http://www.cdisc.org"
"C12687","2023-12-15","Code_369","Code","Common Carotid Artery","c5a03f81-6437-4bd8-a9ca-289229db7bce","http://www.cdisc.org"
"C32478","2023-12-15","Code_370","Code","Dorsalis Pedis Artery","db3e7098-c6b1-45a8-977a-8da102981a53","http://www.cdisc.org"
"C12715","2023-12-15","Code_371","Code","Femoral Artery","983c93ff-61b9-44c1-94bb-a39e77632099","http://www.cdisc.org"
"C12838","2023-12-15","Code_372","Code","Radial Artery","ad3d4213-9b4f-4f52-86e9-e274ace881b5","http://www.cdisc.org"
"C13717","2023-12-15","Code_373","Code","Anatomic Site","d827c9e9-9f5e-4a5c-acf7-8031effe22ad","http://www.cdisc.org"
"C25229","2023-12-15","Code_374","Code","Left","5821469c-41ab-4f6b-af59-2cb07698f2f3","http://www.cdisc.org"
"C25228","2023-12-15","Code_375","Code","Right","255d803a-965b-4736-bca8-7304281a3699","http://www.cdisc.org"
"C25185","2023-12-15","Code_376","Code","Laterality","310f2789-826d-46ed-8403-74a9972a9ca7","http://www.cdisc.org"
"C49677","2023-12-15","Code_377","Code","HR","4c911c1e-8c19-4105-a985-3d301fad8582","http://www.cdisc.org"
"C25298","2023-12-15","Code_378","Code","SYSBP","a5d55704-4190-401a-94cb-f5c5c1a85f9e","http://www.cdisc.org"
"C77140","2023-12-15","Code_379","Code","Clinical Test Result","2538fef0-1735-42ca-890b-1354d303a0b9","http://www.cdisc.org"
"C49669","2023-12-15","Code_380","Code","Unit of Pressure","7e86138c-b68b-4c57-999e-fca4a5428b03","http://www.cdisc.org"
"C62122","2023-12-15","Code_381","Code","Sitting","2f9df2bd-4a07-46cb-a88c-b7767e6933ca","http://www.cdisc.org"
"C62166","2023-12-15","Code_382","Code","Standing","cedcee16-d93d-4251-a010-6f896ef8ae60","http://www.cdisc.org"
"C62167","2023-12-15","Code_383","Code","Supine Position","fc31d526-2084-47e0-8f67-8e47d26f01eb","http://www.cdisc.org"
