"decode","uuid:ID","codeSystemVersion","id","instanceType","codeSystem","code"
"Vital Signs Result","76454898-2aa0-4aeb-8190-be6c9bb3b8bf","","Code_246","Code","NCI Thesaurus","C173522"
"Beats per Minute","2b5a953b-1af1-4813-8d27-bc703f81bd34","2023-09-29","Code_247","Code","http://www.cdisc.org","C49673"
"Count per Minute","438c9f5a-6acb-41d7-8d6a-7518068e7581","","Code_248","Code","NCI Thesaurus","C73688"
"Vital Signs Location","2b3f8fb3-79ea-4110-bdd2-3940c7583ec7","","Code_249","Code","NCI Thesaurus","C83088"
"Vital Signs Laterality","0528b1b8-cc12-48be-a819-00f436f8fa8a","","Code_250","Code","NCI Thesaurus","C123975"
"Test Method","e7b56a9a-2ec6-4e1d-ad6d-5647ed1bedac","","Code_251","Code","NCI Thesaurus","C82535"
"Vital Signs Position","7c4739c5-cdd4-442f-9d7e-6283538669f2","","Code_252","Code","NCI Thesaurus","C83114"
"Heart Rate","1a9b5481-04b9-4a6f-9150-dbc953bbb6cc","","Code_245","Code","NCI Thesaurus","C49677"
"Vital Signs Result","63038232-9458-4d5e-b324-a430811e6788","","Code_254","Code","NCI Thesaurus","C173522"
"Pascal","091fe154-616c-4885-b202-e0cb6cc687fa","2023-09-29","Code_255","Code","http://www.cdisc.org","C42547"
"Unit of Pressure","9803dfb1-d388-4d9d-bafb-48133ce2fce4","","Code_256","Code","NCI Thesaurus","C49669"
"Vital Signs Location","13570fd8-ec31-4c03-a5fe-5b26aa03719c","","Code_257","Code","NCI Thesaurus","C83088"
"Vital Signs Laterality","6007b2cc-ee79-4348-b923-535966e10381","","Code_258","Code","NCI Thesaurus","C123975"
"Test Method","dcd07a08-0a0f-4e0b-9657-f2e0128ff906","","Code_259","Code","NCI Thesaurus","C82535"
"Vital Signs Position","356734e1-8bd8-492c-8dde-bd3ccae5f0df","","Code_260","Code","NCI Thesaurus","C83114"
"Systolic Blood Pressure","8cc08cb0-c6a0-4fd7-adeb-d0b6f91b4edf","","Code_253","Code","NCI Thesaurus","C25298"
"Vital Signs Result","3fe690d3-83bd-465c-8b65-ea81f0c4ee38","","Code_262","Code","NCI Thesaurus","C173522"
"Pascal","63b61cda-5683-4c9f-9167-ec7d35028133","2023-09-29","Code_263","Code","http://www.cdisc.org","C42547"
"Unit of Pressure","7164f1f4-8690-4e92-ad67-e44abf0bee82","","Code_264","Code","NCI Thesaurus","C49669"
"Vital Signs Location","42a56f74-cdf6-4902-865f-883cca413460","","Code_265","Code","NCI Thesaurus","C83088"
"Vital Signs Laterality","93e7a7a7-1a22-4c04-838b-0efc72e38473","","Code_266","Code","NCI Thesaurus","C123975"
"Test Method","61c9f0ce-4bae-4d36-86f5-6908da9dc119","","Code_267","Code","NCI Thesaurus","C82535"
"Vital Signs Position","7417b53c-34f8-455e-b1d9-b51b1068730b","","Code_268","Code","NCI Thesaurus","C83114"
"Diastolic Blood Pressure","82144117-16f6-46d6-a66f-a1d16efa11ce","","Code_261","Code","NCI Thesaurus","C25299"
"Vital Signs Result","9caccb7a-e9fe-4ebc-b402-81f6a4cab2df","","Code_270","Code","NCI Thesaurus","C173522"
"Beats per Minute","917e983e-22c8-4749-bfc3-ba8bd3af23e3","2023-09-29","Code_271","Code","http://www.cdisc.org","C49673"
"Count per Minute","adec7b1a-525b-45e5-996e-3cd4391d78ff","","Code_272","Code","NCI Thesaurus","C73688"
"Vital Signs Location","2bc73a13-ebef-489b-a28d-4eeae7ae90d2","","Code_273","Code","NCI Thesaurus","C83088"
"Vital Signs Laterality","160e10ae-db08-4a7e-afe1-944621130fac","","Code_274","Code","NCI Thesaurus","C123975"
"Test Method","dd468eec-3b94-43f2-9f73-362f1ecc9077","","Code_275","Code","NCI Thesaurus","C82535"
"Vital Signs Position","27ebb36a-a82e-4fe0-b366-0d8df54171fa","","Code_276","Code","NCI Thesaurus","C83114"
"Heart Rate","b0da69cc-f586-4725-a58a-4e2ba3ca6935","","Code_269","Code","NCI Thesaurus","C49677"
"Placebo Comparator Arm","cc58fa5d-7ef4-4a9c-bfd7-34e99f521aa2","2023-09-29","Code_122","Code","http://www.cdisc.org","C174268"
"Data Generated Within Study","de07052b-5983-4387-86e6-7aafb080b714","2023-09-29","Code_123","Code","http://www.cdisc.org","C188866"
"Active Comparator Arm","e7cfc888-ee29-4f12-860b-57d398f4b129","2023-09-29","Code_124","Code","http://www.cdisc.org","C174267"
"Data Generated Within Study","4934edba-a866-4382-96be-3a7714267422","2023-09-29","Code_125","Code","http://www.cdisc.org","C188866"
"Active Comparator Arm","67c6a45c-c6b1-48f4-961b-3d7e14eea26f","2023-09-29","Code_126","Code","http://www.cdisc.org","C174267"
"Data Generated Within Study","ae340f4b-e622-41cc-9269-51ea32287c80","2023-09-29","Code_127","Code","http://www.cdisc.org","C188866"
"Double Blind Study","49a024f2-da97-4142-aca7-3056a502cac4","2023-09-29","Code_135","Code","http://www.cdisc.org","C15228"
"Trial Screening","757a0342-c646-43fe-99f0-7f14b505eb47","2023-09-29","Code_128","Code","http://www.cdisc.org","C48262"
"Treatment Epoch","628a13f6-5e0d-4cb2-80f2-6ee449a09226","2023-09-29","Code_129","Code","http://www.cdisc.org","C101526"
"Treatment Epoch","54d130cc-a03c-4153-a728-7a296e44b648","2023-09-29","Code_130","Code","http://www.cdisc.org","C101526"
"Treatment Epoch","ccd21779-1830-4624-8236-db9e957e1968","2023-09-29","Code_131","Code","http://www.cdisc.org","C101526"
"Clinical Study Follow-up","32f6ac36-6a69-41c7-ac56-89e40b23a8cf","2023-09-29","Code_132","Code","http://www.cdisc.org","C99158"
"Alzheimer's disease; unspecified","71aaaa68-d5b1-4750-98ab-5bc2cc51f8ab","1","Code_330","Code","ICD-10-CM","G30.9"
"Alzheimer's disease","04113355-ad1d-427e-bcf4-f25436f8d9e9","January 31, 2018","Code_331","Code","SNOMED","26929004"
"Sponsor","2bb50db9-0624-4053-9314-5181f882fc4c","2023-09-29","Code_141","Code","http://www.cdisc.org","C70793"
"Trial Primary Objective","00ec90b7-f668-4cfd-9d22-c3f06e6bc737","2023-09-29","Code_335","Code","http://www.cdisc.org","C85826"
"Primary Endpoint","ba0db914-b1c6-409b-9b87-31a4da75b107","2023-09-29","Code_334","Code","http://www.cdisc.org","C94496"
"Primary Endpoint","e3d07749-abb8-40a6-9d67-a94396fb2023","2023-09-29","Code_336","Code","http://www.cdisc.org","C94496"
"Trial Primary Objective","a63973fb-6d4c-4163-9a22-a9c22164ea63","2023-09-29","Code_338","Code","http://www.cdisc.org","C85826"
"Primary Endpoint","16de10d4-d2b1-4382-899a-9f6523b95b94","2023-09-29","Code_337","Code","http://www.cdisc.org","C94496"
"Primary Endpoint","8c172f58-98d0-4712-aba3-9098317ce44f","2023-09-29","Code_339","Code","http://www.cdisc.org","C94496"
"Primary Endpoint","c18463c1-6463-486f-9a45-b8421b7ee619","2023-09-29","Code_340","Code","http://www.cdisc.org","C94496"
"Trial Secondary Objective","d2a2bb70-02fa-496a-867e-2ac5c58295f7","2023-09-29","Code_342","Code","http://www.cdisc.org","C85827"
"Secondary Endpoint","3443f440-ef88-46a4-94f6-cc0c86e1d67b","2023-09-29","Code_341","Code","http://www.cdisc.org","C139173"
"Secondary Endpoint","06d886ec-a4db-46aa-bd3e-4e9e08df9c6e","2023-09-29","Code_343","Code","http://www.cdisc.org","C139173"
"Secondary Endpoint","a060cdfc-e01c-4ce8-a3d6-21f1dc2303db","2023-09-29","Code_344","Code","http://www.cdisc.org","C139173"
"Inclusion Criteria","85341e4c-6cb0-4582-93a4-96e239a73636","2023-09-29","Code_345","Code","http://www.cdisc.org","C25532"
"Inclusion Criteria","9e783b56-017a-4cca-b36b-44641ffa237b","2023-09-29","Code_346","Code","http://www.cdisc.org","C25532"
"Inclusion Criteria","6d6f2e65-8dac-4c45-84ea-ccaa656146cc","2023-09-29","Code_347","Code","http://www.cdisc.org","C25532"
"Exclusion Criteria","01a11b79-5136-4a98-ac58-5280210f66d3","2023-09-29","Code_348","Code","http://www.cdisc.org","C25370"
"Year","a6ebe95b-8ebb-4e9a-9f0e-a82f1f148a44","2023-09-29","Code_332","Code","http://www.cdisc.org","C29848"
"Before","07ddbec0-9cf5-44ff-8d05-f2e0f5ad74a6","2023-09-29","Code_14","Code","http://www.cdisc.org","C201264"
"Start to Start","677c595c-f284-4c6c-b907-9cbc070bb631","2023-09-29","Code_15","Code","http://www.cdisc.org","C201265"
"Before","481800f0-241f-4b4d-b8e6-7a3c1cb40c62","2023-09-29","Code_16","Code","http://www.cdisc.org","C201264"
"Start to Start","80fca1b7-8825-4982-b479-4ade81cdc3ae","2023-09-29","Code_17","Code","http://www.cdisc.org","C201265"
"Fixed Reference","e93a5744-bc0f-427d-9810-0a4c656d9e19","2023-09-29","Code_19","Code","http://www.cdisc.org","C201264"
"Start to Start","9848bad4-814a-498a-87fd-eab726df41e7","2023-09-29","Code_20","Code","http://www.cdisc.org","C201265"
"After","6a918cf9-dd4d-411f-a59e-eb3d5e35bc76","2023-09-29","Code_21","Code","http://www.cdisc.org","C201264"
"Start to Start","2cab7f25-c32a-472f-819a-1460d36c485f","2023-09-29","Code_22","Code","http://www.cdisc.org","C201265"
"After","d9573910-0974-4bf9-a6de-71aae40088a2","2023-09-29","Code_24","Code","http://www.cdisc.org","C201264"
"Start to Start","604df410-ae86-4a9a-ba1f-ab6ffca5da0b","2023-09-29","Code_25","Code","http://www.cdisc.org","C201265"
"After","3830fa16-2cb0-43dd-919c-54ec829c517f","2023-09-29","Code_27","Code","http://www.cdisc.org","C201264"
"Start to Start","1718a07d-a269-4ff3-b316-ca4340e0b5bc","2023-09-29","Code_28","Code","http://www.cdisc.org","C201265"
"After","8eb53f0e-217f-43c6-bdfd-231f39076fbe","2023-09-29","Code_30","Code","http://www.cdisc.org","C201264"
"Start to Start","2026b8a4-ad4d-4725-aa30-08792c90a57c","2023-09-29","Code_31","Code","http://www.cdisc.org","C201265"
"After","b9a1d4d2-a72e-49f3-afe8-706252dbf1d8","2023-09-29","Code_35","Code","http://www.cdisc.org","C201264"
"Start to Start","8207092c-1e06-4776-b07b-e132fdc60ba5","2023-09-29","Code_36","Code","http://www.cdisc.org","C201265"
"After","d5be0551-92b2-4c48-bc26-44cc7dc2b7e1","2023-09-29","Code_40","Code","http://www.cdisc.org","C201264"
"Start to Start","f5a5f128-eab3-4501-b0e7-d52d4c067bb5","2023-09-29","Code_41","Code","http://www.cdisc.org","C201265"
"After","b64eb30f-a9d2-4219-85e9-23897337017d","2023-09-29","Code_45","Code","http://www.cdisc.org","C201264"
"Start to Start","c7cb0d52-5837-4a30-9c27-49047d5190d8","2023-09-29","Code_46","Code","http://www.cdisc.org","C201265"
"After","f5b12483-930d-4196-9b03-d3d09e7d087e","2023-09-29","Code_50","Code","http://www.cdisc.org","C201264"
"Start to Start","73c8a3ec-8b27-4c22-adcb-de581781d8cb","2023-09-29","Code_51","Code","http://www.cdisc.org","C201265"
"After","bc733c8c-a2f8-4da5-b1e3-2da48b57e8e9","2023-09-29","Code_53","Code","http://www.cdisc.org","C201264"
"Start to Start","69f3ae2e-e5be-421f-895c-5ce1c247363c","2023-09-29","Code_54","Code","http://www.cdisc.org","C201265"
"After","60dedfa4-2aa7-4526-beea-378cdd040941","2023-09-29","Code_33","Code","http://www.cdisc.org","C201264"
"Start to Start","62bf4d0a-f40a-448f-b423-b70e8390b035","2023-09-29","Code_34","Code","http://www.cdisc.org","C201265"
"After","6940b6bb-8542-47ec-afae-125b42aca6f9","2023-09-29","Code_38","Code","http://www.cdisc.org","C201264"
"Start to Start","3e587dc5-be89-4231-b062-0a6b37391b65","2023-09-29","Code_39","Code","http://www.cdisc.org","C201265"
"After","62f83051-81c0-43c4-9e1e-4cdc393ceeec","2023-09-29","Code_43","Code","http://www.cdisc.org","C201264"
"Start to Start","57775583-8339-4299-b218-6a44be4b8d59","2023-09-29","Code_44","Code","http://www.cdisc.org","C201265"
"After","f1fabd3f-0043-4144-b203-0ef4fca86174","2023-09-29","Code_48","Code","http://www.cdisc.org","C201264"
"Start to Start","a8b327e0-1949-4ccb-b67d-1fa6e71f028e","2023-09-29","Code_49","Code","http://www.cdisc.org","C201265"
"Fixed Reference","216fcbbb-6139-41b9-8d9f-10f51d4bb7e3","2023-09-29","Code_56","Code","http://www.cdisc.org","C201264"
"Start to Start","00b6ba5c-0bbd-422b-8dde-8c7410906cdc","2023-09-29","Code_57","Code","http://www.cdisc.org","C201265"
"Fixed Reference","58b7ef65-bf53-4298-ac73-3fdc1fafc559","2023-09-29","Code_58","Code","http://www.cdisc.org","C201264"
"Start to Start","83d80eec-fb80-4072-99b7-b18103780bfa","2023-09-29","Code_59","Code","http://www.cdisc.org","C201265"
"Fixed Reference","f875dc9e-9691-4c35-94c0-345e78e0ccb2","2023-09-29","Code_60","Code","http://www.cdisc.org","C201264"
"Start to Start","28eb8ea8-4479-4add-bd55-d4d812e6fc79","2023-09-29","Code_61","Code","http://www.cdisc.org","C201265"
"After","8ee4bd4b-b374-44bc-8b89-2ea323526354","2023-09-29","Code_62","Code","http://www.cdisc.org","C201264"
"Start to Start","f8e1935e-8adc-4d5d-83c1-dacf559f536f","2023-09-29","Code_63","Code","http://www.cdisc.org","C201265"
"After","0752c90c-e607-4008-b98e-6ddef7770401","2023-09-29","Code_64","Code","http://www.cdisc.org","C201264"
"End to Start","6cafb4f7-253b-4d33-a56f-14bbd803aab7","2023-09-29","Code_65","Code","http://www.cdisc.org","C201265"
"After","64cbe9f2-bd69-4e96-8aca-6218c98d6418","2023-09-29","Code_66","Code","http://www.cdisc.org","C201264"
"Start to Start","2270c54e-9eeb-474f-88d0-c83ab91eb2b7","2023-09-29","Code_67","Code","http://www.cdisc.org","C201265"
"After","7f0fc43c-b951-4000-aedd-4c9ce7037b14","2023-09-29","Code_68","Code","http://www.cdisc.org","C201264"
"End to Start","21b309fe-2f77-49db-abb3-8b4f5ec15b7f","2023-09-29","Code_69","Code","http://www.cdisc.org","C201265"
"After","70d0b57e-7da8-4a4e-b633-9779a6096bcf","2023-09-29","Code_70","Code","http://www.cdisc.org","C201264"
"Start to Start","64d15378-7c9f-48a2-b0f8-c74ea8780254","2023-09-29","Code_71","Code","http://www.cdisc.org","C201265"
"Clinical Study Sponsor","24e6bffa-e1ba-442e-beeb-f8eafa924224","2023-09-29","Code_349","Code","http://www.cdisc.org","C70793"
"United Kingdom of Great Britain and Northern Ireland","23522b81-4272-4205-abec-6e5662696396","2020-08","Code_350","Code","ISO 3166 1 alpha3","GBR"
"Study Acronym","664ca239-8297-44ac-8581-5dbd19821ffd","2023-09-29","Code_3","Code","http://www.cdisc.org","C94108"
"Brief Study Title","a498f1a6-4ed7-491d-b174-af98fa53caca","2023-09-29","Code_5","Code","http://www.cdisc.org","C99905x1"
"Official Study Title","ab010e05-efc1-4bea-af40-d22a52bb60c4","2023-09-29","Code_6","Code","http://www.cdisc.org","C99905x2"
"Public Study Title","96ee636d-54c1-4623-99ea-03f91e862e41","2023-09-29","Code_7","Code","http://www.cdisc.org","C99905x3"
"Final","7049cdef-6495-4cf9-8c4f-bd035bab61ea","2023-09-29","Code_8","Code","http://www.cdisc.org","C25508"
"Protocol Effective Date","3c2ed81b-65ff-434f-b3d9-68ed004d693d","2023-09-29","Code_11","Code","http://www.cdisc.org","C99903x1"
"Region","0f9318ef-e75a-466e-afc2-ee32dc88cb12","2023-09-29","Code_13","Code","http://www.cdisc.org","C41129"
"Europe","560b5e70-e7e8-4055-ac17-c697e3f72fbc","2020-08","Code_12","Code","ISO 3166 1 alpha3","150"
