"decode","instanceType","codeSystem","uuid:ID","id","code","codeSystemVersion"
"Death Related to Adverse Event","Code","http://www.cdisc.org","1a46f51b-3cac-4f43-bae8-86930167ec39","Code_172","C48275","2023-12-15"
"No","Code","http://www.cdisc.org","48f7457c-5ff1-4fc3-8fae-b12afd12b83d","Code_173","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","40912937-2994-4c7e-94f9-8e1d189a294f","Code_174","C49488","2023-12-15"
"Adverse Event associated with Hospitalization","Code","http://www.cdisc.org","fbc3eb18-38dc-4150-89dc-4e6600863a69","Code_175","C83052","2023-12-15"
"No","Code","http://www.cdisc.org","5a87ee55-b6f5-40ae-93a9-7bc39f124a20","Code_176","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","af9a63f3-595d-4cca-8ec5-846c95c302d6","Code_177","C49488","2023-12-15"
"Life Threatening Adverse Event","Code","http://www.cdisc.org","d0d265f2-3fb3-4e84-8a89-836c58c1ae57","Code_178","C84266","2023-12-15"
"No","Code","http://www.cdisc.org","f10f492e-920f-4f9e-984d-395831b355fe","Code_179","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","f8db6705-f096-4b22-988b-c719e1edf744","Code_180","C49488","2023-12-15"
"Adverse Event Occurred with Overdose","Code","http://www.cdisc.org","10a9ff4e-987e-4f5b-8c76-fd8b762a2717","Code_181","C83214","2023-12-15"
"No","Code","http://www.cdisc.org","7517e77c-eb1b-4e86-92bb-aabaa339b4c3","Code_182","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","aaf69fbe-cd65-4f3d-9669-80fb7e028d1c","Code_183","C49488","2023-12-15"
"Adverse Event Associated with Serious Medical Event","Code","http://www.cdisc.org","6b9d917c-d848-4a75-a36c-1ada90dfb66e","Code_184","C83053","2023-12-15"
"No","Code","http://www.cdisc.org","2eb5599a-cc3f-414b-a2a4-3b13633fce1d","Code_185","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","579755db-9eaa-458d-8836-6172887079b4","Code_186","C49488","2023-12-15"
"Adverse Event Concomitant Treatment","Code","http://www.cdisc.org","2cc6fcf6-4fe2-4f8b-86d1-9d499c8107f3","Code_187","C83199","2023-12-15"
"Adverse Event Start Date Time","Code","http://www.cdisc.org","a81faee7-3f55-4162-a96e-d29cefa4aeb9","Code_188","C83215","2023-12-15"
"Adverse Event End Date Time","Code","http://www.cdisc.org","3a600bf4-9c9a-4d77-bb5b-8936d2d3df3e","Code_189","C83201","2023-12-15"
"Solicited Adverse Event","Code","http://www.cdisc.org","22146cc7-482b-4062-a4f9-bb790a354b3f","Code_190","C179175","2023-12-15"
"SYSBP","Code","http://www.cdisc.org","d78ee510-9e1e-4752-8fd7-c07a86fec56c","Code_191","C25298","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","b1ebdd9d-25e7-4b53-8da6-63fb3155c460","Code_192","C77140","2023-12-15"
"Unit of Pressure","Code","http://www.cdisc.org","7dff3ae1-5728-4829-baa5-4b3edc34cc29","Code_193","C49669","2023-12-15"
"Sitting","Code","http://www.cdisc.org","0a8cdb1a-d2ad-4825-a037-43557362f47e","Code_194","C62122","2023-12-15"
"Standing","Code","http://www.cdisc.org","2f02893a-f024-471e-ba32-12863a0d3a78","Code_195","C62166","2023-12-15"
"Supine Position","Code","http://www.cdisc.org","f0626fb6-bd58-4239-affe-3d6f39e34841","Code_196","C62167","2023-12-15"
"Body Position","Code","http://www.cdisc.org","ad457dc9-56d0-477a-8f44-5cd272ca6e30","Code_197","C62164","2023-12-15"
"Brachial Artery","Code","http://www.cdisc.org","df0b907e-e902-4ae8-94f3-78240dabd4d0","Code_198","C12681","2023-12-15"
"Common Carotid Artery","Code","http://www.cdisc.org","c3f48fe6-599a-49b1-bb10-a570bd3ab3a6","Code_199","C12687","2023-12-15"
"Dorsalis Pedis Artery","Code","http://www.cdisc.org","c1b377a2-bb2f-4e90-b712-d4bbb1f6f9e3","Code_200","C32478","2023-12-15"
"Femoral Artery","Code","http://www.cdisc.org","2fb92dbb-dc83-4b59-8dc5-a9b8f54823ce","Code_201","C12715","2023-12-15"
"Radial Artery","Code","http://www.cdisc.org","1858e601-f37d-4cb5-b125-ba4152995d5c","Code_202","C12838","2023-12-15"
"Anatomic Site","Code","http://www.cdisc.org","7176e56b-a9b8-4d42-88e3-4a936a00aa3a","Code_203","C13717","2023-12-15"
"Left","Code","http://www.cdisc.org","93a59fa2-acb1-4359-882b-136967732d43","Code_204","C25229","2023-12-15"
"Right","Code","http://www.cdisc.org","7ca97a3f-1dc3-48c7-94da-7882122dfc56","Code_205","C25228","2023-12-15"
"Laterality","Code","http://www.cdisc.org","bd33d9b0-7323-4862-b1f4-7c6c0bddb56c","Code_206","C25185","2023-12-15"
"SYSBP","Code","http://www.cdisc.org","b3bfa592-e4e5-4975-bac0-c200999fda54","Code_207","C25298","2023-12-15"
"DIABP","Code","http://www.cdisc.org","9c404e75-47b6-4a30-a459-2e66bea41892","Code_208","C25299","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","088aa1a7-e6a8-4409-8669-1f7bb52db7c9","Code_209","C77140","2023-12-15"
"Unit of Pressure","Code","http://www.cdisc.org","51c9385f-493e-4e09-87aa-523a436443d2","Code_210","C49669","2023-12-15"
"Sitting","Code","http://www.cdisc.org","19e44fd1-1ac0-402c-ad2f-9a5fe74a9611","Code_211","C62122","2023-12-15"
"Standing","Code","http://www.cdisc.org","1f3c88e1-61d9-4762-89d6-2a4a8c8b2ac1","Code_212","C62166","2023-12-15"
"Supine Position","Code","http://www.cdisc.org","ab1a8579-2339-4ff5-b7ed-e1dda59977f6","Code_213","C62167","2023-12-15"
"Body Position","Code","http://www.cdisc.org","79566633-1bd3-4bbd-b56f-55970cb4eeff","Code_214","C62164","2023-12-15"
"Brachial Artery","Code","http://www.cdisc.org","56c6e6d7-d726-460f-9d1d-504c32080055","Code_215","C12681","2023-12-15"
"Common Carotid Artery","Code","http://www.cdisc.org","ab8732c7-93e3-42df-a6b6-8f914737742e","Code_216","C12687","2023-12-15"
"Dorsalis Pedis Artery","Code","http://www.cdisc.org","46b417d0-d77e-4c5c-a599-9ea9dff37a10","Code_217","C32478","2023-12-15"
"Femoral Artery","Code","http://www.cdisc.org","8acc9118-7b3e-4cc3-ade1-1d1108022090","Code_218","C12715","2023-12-15"
"Radial Artery","Code","http://www.cdisc.org","fd08fe14-1988-4ea7-8b96-f23ac74d7d4a","Code_219","C12838","2023-12-15"
"Anatomic Site","Code","http://www.cdisc.org","e3bf3ca2-cd17-4f90-ba90-5c14b8054ede","Code_220","C13717","2023-12-15"
"Left","Code","http://www.cdisc.org","b3593ce1-176b-4a2d-95b5-6cee175af4a2","Code_221","C25229","2023-12-15"
"Right","Code","http://www.cdisc.org","821daae9-0989-4175-a12e-a4e9da5c7a7e","Code_222","C25228","2023-12-15"
"Laterality","Code","http://www.cdisc.org","f8cb4c2a-e959-443a-ab99-4bc5de3c62c5","Code_223","C25185","2023-12-15"
"DIABP","Code","http://www.cdisc.org","47660087-ac62-4929-a5b0-f4eea5e8e3ee","Code_224","C25299","2023-12-15"
"TEMP","Code","http://www.cdisc.org","0226fc77-275a-48a6-8a92-13be35915727","Code_225","C174446","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","379b4ef3-b29f-423c-9d66-34b9721d693e","Code_226","C77140","2023-12-15"
"Degree Celsius","Code","http://www.cdisc.org","7f89fed7-18f0-401f-810f-32acbebe73e6","Code_227","C42559","2023-12-15"
"Degree Fahrenheit","Code","http://www.cdisc.org","7271804a-c71b-4406-83d3-9844659c252a","Code_228","C44277","2023-12-15"
"Kelvin","Code","http://www.cdisc.org","5301e2d2-8629-443e-b89e-12b534d35b85","Code_229","C42537","2023-12-15"
"Unit of Temperature","Code","http://www.cdisc.org","ce9cf018-e748-428f-b6c5-07a92a509187","Code_230","C44276","2023-12-15"
"Axilla","Code","http://www.cdisc.org","ac1b3514-fa0b-4b86-8f0d-ea3eb222cbfa","Code_231","C12674","2023-12-15"
"Ear","Code","http://www.cdisc.org","4da38687-9f32-4994-8b70-2c041eb126c9","Code_232","C12394","2023-12-15"
"Forehead","Code","http://www.cdisc.org","dc68c1ec-de13-4dcd-94d1-32cb40b47ba2","Code_233","C89803","2023-12-15"
"Oral Cavity","Code","http://www.cdisc.org","9d3ad150-b00c-44ac-9da8-6636d2c31825","Code_234","C12421","2023-12-15"
"Rectum","Code","http://www.cdisc.org","944173c1-b111-4349-a1ce-847aca63c99f","Code_235","C12390","2023-12-15"
"Anatomic Site","Code","http://www.cdisc.org","8a29aad2-fb76-444a-bd90-0d2a91355839","Code_236","C13717","2023-12-15"
"TEMP","Code","http://www.cdisc.org","201683d2-fc02-4725-8ea6-cf53eca5018a","Code_237","C174446","2023-12-15"
"WEIGHT","Code","http://www.cdisc.org","2817b558-aac5-4b22-9401-5cf50c4c8246","Code_238","C25208","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","f730c4ba-a99e-45b4-bb8c-bf97daccc931","Code_239","C77140","2023-12-15"
"Pound","Code","http://www.cdisc.org","53958c2c-5f3d-4b48-b77d-dd50d3f327d2","Code_240","C48531","2023-12-15"
"Gram","Code","http://www.cdisc.org","799b031e-a19a-4e6f-9bd8-7b76f4470155","Code_241","C48155","2023-12-15"
"Kilogram","Code","http://www.cdisc.org","14651d2a-ea20-4a4c-baab-f72f0f2ff246","Code_242","C28252","2023-12-15"
"Unit of Weight","Code","http://www.cdisc.org","1edbcac6-34d5-4391-ae06-91fc8f85360c","Code_243","C48208","2023-12-15"
"WEIGHT","Code","http://www.cdisc.org","40ca9568-9dac-4f99-910e-dd49eb21e4a2","Code_244","C25208","2023-12-15"
"HEIGHT","Code","http://www.cdisc.org","281a2fd0-a450-46d5-b13d-a3076921fbbf","Code_245","C25347","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","a701864e-6459-41e9-b690-80545971bb2f","Code_246","C77140","2023-12-15"
"Centimeter","Code","http://www.cdisc.org","f1ebfc11-c9b1-4e9c-ba09-5c7db9e20e97","Code_247","C49668","2023-12-15"
"Inch","Code","http://www.cdisc.org","f3628434-cb9c-4db2-822d-7924f92e45a4","Code_248","C48500","2023-12-15"
"Meter","Code","http://www.cdisc.org","3480937f-5d78-4733-b740-d7f2c0857afb","Code_249","C41139","2023-12-15"
"Unit of Height","Code","http://www.cdisc.org","19997155-0ddb-459a-af15-0c712f2e4dcd","Code_250","C168688","2023-12-15"
"HEIGHT","Code","http://www.cdisc.org","183e60e2-8a2d-42ce-be07-39deb236d554","Code_251","C25347","2023-12-15"
"ALT","Code","http://www.cdisc.org","001e2373-444a-471b-80c5-b24147935aa7","Code_252","C64433","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","887b39ce-3988-46d4-a2ae-10d9a7c74214","Code_253","C36292","2023-12-15"
"Unit per Liter","Code","http://www.cdisc.org","ee30c986-ba8c-4f52-9612-4cc25260eff9","Code_254","C67456","2023-12-15"
"Microkatal per Liter","Code","http://www.cdisc.org","11bcf951-da0f-43f4-b18d-acc4d8d35658","Code_255","C67397","2023-12-15"
"International Unit per Liter","Code","http://www.cdisc.org","756ff4b2-f4d6-4024-9d2a-3876e8a4dbc5","Code_256","C67376","2023-12-15"
"Nanokatal per Liter","Code","http://www.cdisc.org","f7395e46-1070-4013-9a2a-235cd23ba64b","Code_257","C70510","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","http://www.cdisc.org","3196ac0b-dcc2-46b8-918f-d3a7b0a2d26e","Code_258","C67365","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","c5e1660f-61dd-4b49-b926-3a388fbea5ad","Code_259","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","2df0955f-90e9-4422-ab10-afcc547f1814","Code_260","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","c53804b6-f6fe-4d4f-bbe9-546ad0e74ab6","Code_261","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","ab352701-160e-4f03-8b39-3a55ff751f42","Code_262","C83309","2023-12-15"
"ALT","Code","http://www.cdisc.org","cb7b7f59-133c-4810-b785-c496295b3bc1","Code_263","C64433","2023-12-15"
"ALB","Code","http://www.cdisc.org","5301678f-e795-4254-b2b8-24296ae206a7","Code_264","C64431","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","27cbf572-a574-4eba-8aa8-ce647ef52e9f","Code_265","C36292","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","b79fc07e-f4bc-4e6e-a3de-e608f6997fcf","Code_266","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","b367722e-579e-490a-8f5d-99968151db30","Code_267","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","6fa5a087-7624-4599-af85-0da6802759bc","Code_268","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","3947cb9f-456b-46d5-b1f9-30349dc1f0e4","Code_269","C83309","2023-12-15"
"ALB","Code","http://www.cdisc.org","6a7b0134-ecea-42d6-9652-77d47a37e098","Code_270","C64431","2023-12-15"
"ALP","Code","http://www.cdisc.org","422c14f7-cdee-45a6-bb52-79ec2c28f001","Code_271","C64432","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","814ebbc0-1bf8-410f-a9c2-4d6b2c92b145","Code_272","C36292","2023-12-15"
"Unit per Liter","Code","http://www.cdisc.org","ba7cd671-5a8b-4954-803e-f8a3e0882de1","Code_273","C67456","2023-12-15"
"Microkatal per Liter","Code","http://www.cdisc.org","62252c07-4580-4c18-9827-4e0420d3423a","Code_274","C67397","2023-12-15"
"International Unit per Liter","Code","http://www.cdisc.org","ca979a68-b314-4c58-bafd-2de3073c8252","Code_275","C67376","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","http://www.cdisc.org","df8c1f0b-6123-4289-a57e-7a43c5b7fe7c","Code_276","C67365","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","0d51e0b9-28a3-443a-9c5a-3b9fdd2819e3","Code_277","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","65b1753f-85dc-414e-b85d-690917b599d1","Code_278","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","f3b11de8-a3b3-425a-a737-5d2d5edd2b4d","Code_279","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","80c30161-8708-4a6f-abcf-67bb92fa05a1","Code_280","C83309","2023-12-15"
"ALP","Code","http://www.cdisc.org","3d8f7f2a-2922-4581-a027-cd1fa63cd30d","Code_281","C64432","2023-12-15"
"AST","Code","http://www.cdisc.org","2f3c6a9a-89ae-4431-9852-2acfc61dcc69","Code_282","C64467","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","ceb0fb0a-2a7f-4c14-bd71-221e3592c362","Code_283","C36292","2023-12-15"
"Unit per Liter","Code","http://www.cdisc.org","67710b55-22ae-41d9-9443-ce6fba03b18c","Code_284","C67456","2023-12-15"
"Microkatal per Liter","Code","http://www.cdisc.org","8364c34b-fb21-4e93-af8f-354a4115cd6f","Code_285","C67397","2023-12-15"
"International Unit per Liter","Code","http://www.cdisc.org","bcee5958-0b38-44c9-939d-cda6c4519daf","Code_286","C67376","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","http://www.cdisc.org","ecd7bfdb-1be4-4d6f-a442-1ec58f7d7bcc","Code_287","C67365","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","18903b92-e9cd-41ec-9da7-6da3ae82e8b7","Code_288","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","db6d03b4-560b-4459-986d-e396d8bc12a4","Code_289","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","d5251345-69ad-422e-b68e-27f8b19f497e","Code_290","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","f6dcf7e6-be54-49c3-9e9f-8938ed461438","Code_291","C83309","2023-12-15"
"AST","Code","http://www.cdisc.org","99a37177-be9d-41c9-9ccc-b5f7f2606a63","Code_292","C64467","2023-12-15"
"CREAT","Code","http://www.cdisc.org","117813e4-eb49-4a45-8b4c-1aa74bc349fd","Code_293","C64547","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","b2a44b33-a6ad-4875-922f-c2b811710bfb","Code_294","C36292","2023-12-15"
"Milligram per Deciliter","Code","http://www.cdisc.org","7dcf6c1a-63ab-4028-bb4f-211f1c24035d","Code_295","C67015","2023-12-15"
"Microgram per Milliliter","Code","http://www.cdisc.org","fc842edd-332d-465e-8ab5-890c3e13c16e","Code_296","C64572","2023-12-15"
"Millimole per Liter","Code","http://www.cdisc.org","8ada5cc7-f413-49fc-b8e3-918ce34d769a","Code_297","C64387","2023-12-15"
"Micromole per Liter","Code","http://www.cdisc.org","b3edf2a6-ebd5-4021-ae7d-ff898a529f03","Code_298","C48508","2023-12-15"
"Unit of Concentration","Code","http://www.cdisc.org","4b873f9f-b684-4fcd-9eec-faaabeda6278","Code_299","C48207","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","10689353-4b39-476d-a4d3-3844e5c3e628","Code_300","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","1bffba9b-063e-4357-a2f4-c31c931ef65a","Code_301","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","43060b4d-3655-45ab-b5f7-d7e7cbdf9247","Code_302","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","991304a0-6aeb-4883-abd0-d06b1cfa750c","Code_303","C83309","2023-12-15"
"CREAT","Code","http://www.cdisc.org","76eb8058-dade-453b-a810-dccf8e167fd2","Code_304","C64547","2023-12-15"
"K","Code","http://www.cdisc.org","5699d296-d09c-4ffd-82c9-ba2eeea6f92c","Code_305","C64853","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","48b3711c-dac0-4ffa-a9f2-55b02e405d88","Code_306","C36292","2023-12-15"
"Milliequivalent per Liter","Code","http://www.cdisc.org","6eaf231b-fbfc-48af-b911-7fdbe7c64b8b","Code_307","C67474","2023-12-15"
"Milliequivalent per Deciliter","Code","http://www.cdisc.org","d5ce798f-13d4-4747-9190-200d81bbc5e2","Code_308","C67473","2023-12-15"
"Millimole per Liter","Code","http://www.cdisc.org","4b4e382e-78d7-4e4e-8684-7afb5add9f04","Code_309","C64387","2023-12-15"
"Molarity Unit","Code","http://www.cdisc.org","dc1dc82f-35ae-4326-9650-8f866ec36d00","Code_310","C64567","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","deefa4e3-c619-4158-9d2c-faf378925828","Code_311","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","ea9eac72-c359-418a-9e1e-73a11b68d1e6","Code_312","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","c8991fbd-4c14-4fa9-b2b9-6e8852291209","Code_313","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","f03f2e08-2546-4fc6-80ba-d8f0b2ed7c05","Code_314","C83309","2023-12-15"
"K","Code","http://www.cdisc.org","149b6664-2c11-4343-8b19-a12da8ac3277","Code_315","C64853","2023-12-15"
"SODIUM","Code","http://www.cdisc.org","7e53241c-a873-4e1f-9d7a-ad6f80adf441","Code_316","C64809","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","7b495d1d-5279-4761-bcc4-2baa9c05efa6","Code_317","C36292","2023-12-15"
"Milliequivalent per Liter","Code","http://www.cdisc.org","7610ae25-f588-4743-af03-4d03340acdc2","Code_318","C67474","2023-12-15"
"Milliequivalent per Deciliter","Code","http://www.cdisc.org","37208f6f-84bb-4565-8273-4c7acfdc6204","Code_319","C67473","2023-12-15"
"Millimole per Liter","Code","http://www.cdisc.org","f84dc5a2-2a00-4c20-a9ab-00f38502011f","Code_320","C64387","2023-12-15"
"Molarity Unit","Code","http://www.cdisc.org","b4596a13-7d39-44c3-a482-738db91a6bf8","Code_321","C64567","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","9e25cbc5-6306-4ac3-95dd-3a7b6dbd8cf5","Code_322","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","ce812116-daea-4653-a4b0-e8c52944a02e","Code_323","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","887d2823-4f52-458f-b377-7b087ecc48ed","Code_324","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","08fde1ac-80cf-432a-9225-f4476cf1891c","Code_325","C83309","2023-12-15"
"SODIUM","Code","http://www.cdisc.org","cd65b76a-9f51-401c-9539-34308b0907bc","Code_326","C64809","2023-12-15"
"SYSBP","Code","http://www.cdisc.org","37633386-c758-41e5-bece-ff91823aa811","Code_327","C25298","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","4e277e93-6791-4e17-aadb-2f9e569fef55","Code_328","C77140","2023-12-15"
"Unit of Pressure","Code","http://www.cdisc.org","c8972bb0-b482-4f19-88c2-dbd3b0348ba6","Code_329","C49669","2023-12-15"
"Sitting","Code","http://www.cdisc.org","6689b539-6aa7-4f0a-b0c2-90575976081a","Code_330","C62122","2023-12-15"
"Standing","Code","http://www.cdisc.org","04e78995-56f2-4206-b97b-cfe6619316c6","Code_331","C62166","2023-12-15"
"Supine Position","Code","http://www.cdisc.org","2a8efdcb-75c2-4aea-84b4-173f08a22aa8","Code_332","C62167","2023-12-15"
"Body Position","Code","http://www.cdisc.org","aeeff1a3-6c8f-4866-9f1c-a16e0c9d624f","Code_333","C62164","2023-12-15"
"Brachial Artery","Code","http://www.cdisc.org","9a5de8d3-846f-4503-9057-376f7be6e96c","Code_334","C12681","2023-12-15"
"Common Carotid Artery","Code","http://www.cdisc.org","1766228a-32e9-4822-87c6-0d001a5da7c4","Code_335","C12687","2023-12-15"
"Dorsalis Pedis Artery","Code","http://www.cdisc.org","cadd22ed-c014-4c42-96e7-6df391023a38","Code_336","C32478","2023-12-15"
"Femoral Artery","Code","http://www.cdisc.org","371d893f-4fa7-4ca8-a32f-dec603769e4d","Code_337","C12715","2023-12-15"
"Radial Artery","Code","http://www.cdisc.org","5339368e-f7b6-4428-8361-3fee4ca9dd2b","Code_338","C12838","2023-12-15"
"Anatomic Site","Code","http://www.cdisc.org","95aff9c9-f2af-42ae-9c29-ed56051026b3","Code_339","C13717","2023-12-15"
"Left","Code","http://www.cdisc.org","b2f6e7e5-beb5-4d5b-8ab7-00dc0a8fa2e5","Code_340","C25229","2023-12-15"
"Right","Code","http://www.cdisc.org","7b0734ec-7936-41b9-91aa-4e996f01e23a","Code_341","C25228","2023-12-15"
"Laterality","Code","http://www.cdisc.org","0d7fadf9-f8a7-4b00-95a1-82894671b26e","Code_342","C25185","2023-12-15"
"SYSBP","Code","http://www.cdisc.org","8f1585bd-b6f5-43f4-acce-078fba84ce96","Code_343","C25298","2023-12-15"
"DIABP","Code","http://www.cdisc.org","af87f0fe-e494-4618-b27e-84f535fefc46","Code_344","C25299","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","333067eb-77c3-4975-b37d-186ea9398c0b","Code_345","C77140","2023-12-15"
"Unit of Pressure","Code","http://www.cdisc.org","6a8c7801-f8eb-4b2b-b69c-d33d30066341","Code_346","C49669","2023-12-15"
"Sitting","Code","http://www.cdisc.org","398724d7-bb17-43e3-9f1d-7abce1eca55c","Code_347","C62122","2023-12-15"
"Standing","Code","http://www.cdisc.org","ae852d5f-ba05-476e-af86-4b335f9c0050","Code_348","C62166","2023-12-15"
"Supine Position","Code","http://www.cdisc.org","b20fa2c3-9010-4629-aa03-b59c7b65ed22","Code_349","C62167","2023-12-15"
"Body Position","Code","http://www.cdisc.org","fa1bc170-b215-48b1-bda1-35bb61e365e2","Code_350","C62164","2023-12-15"
"Brachial Artery","Code","http://www.cdisc.org","fd85e6d7-73bf-42bf-98cf-beb0cd411545","Code_351","C12681","2023-12-15"
"Common Carotid Artery","Code","http://www.cdisc.org","781ea649-63a1-4f87-aab0-8e155f03b13f","Code_352","C12687","2023-12-15"
"Dorsalis Pedis Artery","Code","http://www.cdisc.org","2307fb48-fcef-41ba-b3f4-65c585eeb428","Code_353","C32478","2023-12-15"
"Femoral Artery","Code","http://www.cdisc.org","c8c15b36-bb82-40b2-a6bc-6eae3b43b249","Code_354","C12715","2023-12-15"
"Radial Artery","Code","http://www.cdisc.org","3d6f1d43-eb10-4283-9261-ebecc1b64110","Code_355","C12838","2023-12-15"
"Anatomic Site","Code","http://www.cdisc.org","feb77ec0-a6f2-4b80-9ce0-88532de4d2aa","Code_356","C13717","2023-12-15"
"Left","Code","http://www.cdisc.org","f71d92dc-7b58-47b5-b2a5-b9ef6193858c","Code_357","C25229","2023-12-15"
"Right","Code","http://www.cdisc.org","84eaa6d0-4520-4b38-b2a8-10c79aa99636","Code_358","C25228","2023-12-15"
"Laterality","Code","http://www.cdisc.org","b2a1fb19-0ba8-441a-8d76-4fe74f7ad240","Code_359","C25185","2023-12-15"
"DIABP","Code","http://www.cdisc.org","1f539c5d-ccd1-4e6f-8d6c-91befe708c63","Code_360","C25299","2023-12-15"
"HR","Code","http://www.cdisc.org","bf4925f3-b0f0-4e1c-9bca-3aac5bb13d3e","Code_361","C49677","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","f111b8d9-c790-41fb-afb3-e5f4adf35753","Code_362","C77140","2023-12-15"
"Count per Minute","Code","http://www.cdisc.org","18d1ac32-195e-458d-a127-d3acf326bbfe","Code_363","C73688","2023-12-15"
"Sitting","Code","http://www.cdisc.org","53fb5b62-e1a1-44bd-b89a-18b69941c362","Code_364","C62122","2023-12-15"
"Standing","Code","http://www.cdisc.org","47c95486-0a45-49fa-b995-b82b08d1ad6d","Code_365","C62166","2023-12-15"
"Supine Position","Code","http://www.cdisc.org","b38c8a2d-fbb5-4566-a47b-4f02a9143ab4","Code_366","C62167","2023-12-15"
"Body Position","Code","http://www.cdisc.org","37e4dc2b-5d63-4643-ac27-c586650f9450","Code_367","C62164","2023-12-15"
"Brachial Artery","Code","http://www.cdisc.org","d2946cb6-868a-427e-8646-71a65ec2ce2a","Code_368","C12681","2023-12-15"
"Common Carotid Artery","Code","http://www.cdisc.org","78ad6118-4b82-4927-9242-a0e0ef28a215","Code_369","C12687","2023-12-15"
"Dorsalis Pedis Artery","Code","http://www.cdisc.org","bfd3fc34-b731-4dab-a485-4a68807e9da9","Code_370","C32478","2023-12-15"
"Femoral Artery","Code","http://www.cdisc.org","bb72f188-be3d-4290-8021-70f07a7ab9b6","Code_371","C12715","2023-12-15"
"Radial Artery","Code","http://www.cdisc.org","37c2ee9e-95e1-48fc-b7fd-d6cf04f0f640","Code_372","C12838","2023-12-15"
"Anatomic Site","Code","http://www.cdisc.org","99eb135a-f31c-41d1-9556-5242e6317d84","Code_373","C13717","2023-12-15"
"Left","Code","http://www.cdisc.org","4010a1fd-dc9a-4194-bd04-dc5211fe08d3","Code_374","C25229","2023-12-15"
"Right","Code","http://www.cdisc.org","6c21cd40-98fb-4cf2-84ef-bfa6a949d5fe","Code_375","C25228","2023-12-15"
"Laterality","Code","http://www.cdisc.org","ae5b532a-69c9-4bcb-915c-f43b52c1a6d7","Code_376","C25185","2023-12-15"
"HR","Code","http://www.cdisc.org","6b4c8d2d-af7e-44a0-87b6-d8138d69ff30","Code_377","C49677","2023-12-15"
"SYSBP","Code","http://www.cdisc.org","15840931-ace4-422e-b677-465966d967b6","Code_378","C25298","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","052e98d4-b425-468c-ba46-0439ef1d9759","Code_379","C77140","2023-12-15"
"Unit of Pressure","Code","http://www.cdisc.org","5bf6e333-a453-4c8c-bdee-317033c7d256","Code_380","C49669","2023-12-15"
